execution_date,symbol,target_weight
2021-01-15,VN:DGW,0.2
2021-01-15,VN:HCM,0.2
2021-01-15,VN:HSG,0.2
2021-01-15,VN:LPB,0.2
2021-01-15,VN:VIX,0.2
2021-01-29,VN:DGW,0.0
2021-01-29,VN:HCM,0.0
2021-01-29,VN:HSG,0.0
2021-01-29,VN:LPB,0.0
2021-01-29,VN:SJS,0.2
2021-01-29,VN:VIX,0.0
2021-02-19,VN:HDC,0.2
2021-02-19,VN:LPB,0.2
2021-02-19,VN:PVT,0.2
2021-02-19,VN:SJS,0.0
2021-02-19,VN:VIX,0.2
2021-02-19,VN:VPB,0.2
2021-03-05,VN:DCM,0.2
2021-03-05,VN:DGW,0.2
2021-03-05,VN:HDG,0.2
2021-03-05,VN:HSG,0.2
2021-03-05,VN:LPB,0.0
2021-03-05,VN:PVT,0.0
2021-03-05,VN:VIX,0.0
2021-03-05,VN:VPB,0.0
2021-03-19,VN:CTS,0.2
2021-03-19,VN:DGW,0.0
2021-03-19,VN:HDC,0.0
2021-03-19,VN:LPB,0.2
2021-04-02,VN:CTS,0.0
2021-04-02,VN:DXG,0.2
2021-04-02,VN:EVF,0.2
2021-04-02,VN:HDG,0.0
2021-04-16,VN:DCM,0.0
2021-04-16,VN:DXG,0.0
2021-04-16,VN:EVF,0.0
2021-04-16,VN:SJS,0.2
2021-05-05,VN:HSG,0.0
2021-05-05,VN:NKG,0.2
2021-05-05,VN:SJS,0.0
2021-05-05,VN:VND,0.2
2021-05-19,VN:DGW,0.2
2021-05-19,VN:FTS,0.2
2021-05-19,VN:NKG,0.0
2021-05-19,VN:VCI,0.2
2021-06-02,VN:BSI,0.2
2021-06-02,VN:CTS,0.2
2021-06-02,VN:DGW,0.0
2021-06-02,VN:EVF,0.2
2021-06-02,VN:FTS,0.0
2021-06-02,VN:LPB,0.0
2021-06-16,VN:BSI,0.0
2021-06-16,VN:EVF,0.0
2021-06-16,VN:HCM,0.2
2021-06-16,VN:NKG,0.2
2021-06-16,VN:VCI,0.0
2021-06-16,VN:VND,0.0
2021-06-30,VN:HCM,0.0
2021-06-30,VN:SJS,0.2
2021-07-28,VN:CTS,0.0
2021-07-28,VN:FRT,0.2
2021-07-28,VN:HDG,0.2
2021-07-28,VN:NKG,0.0
2021-08-11,VN:DGW,0.2
2021-08-11,VN:FRT,0.0
2021-08-11,VN:HDG,0.0
2021-08-11,VN:SSI,0.2
2021-08-11,VN:VCI,0.2
2021-08-11,VN:VND,0.2
2021-08-25,VN:CTS,0.2
2021-08-25,VN:DCM,0.2
2021-08-25,VN:DGW,0.0
2021-08-25,VN:NKG,0.2
