execution_date,symbol,target_weight
2021-01-05,VN:DBC,0.2
2021-01-05,VN:EVF,0.2
2021-01-05,VN:FTS,0.2
2021-01-05,VN:HCM,0.2
2021-01-05,VN:VRE,0.2
2021-01-15,VN:DBC,0.0
2021-01-15,VN:DCM,0.2
2021-01-15,VN:HCM,0.0
2021-01-15,VN:LPB,0.2
2021-01-15,VN:SHB,0.2
2021-01-15,VN:VRE,0.0
2022-04-21,VN:DCM,0.0
2022-04-21,VN:EVF,0.0
2022-04-21,VN:FTS,0.0
2022-04-21,VN:LPB,0.0
2022-04-21,VN:SHB,0.0
2022-04-21,VN:TCH,0.2
2022-05-17,VN:CTD,0.2
2022-05-17,VN:DBC,0.2
2022-05-17,VN:HCM,0.2
2022-05-17,VN:SHB,0.2
2022-05-17,VN:STB,0.2
2022-05-17,VN:TCH,0.0
2022-05-27,VN:CTD,0.0
2022-05-27,VN:DBC,0.0
2022-05-27,VN:HCM,0.0
2022-05-27,VN:HSG,0.2
2022-05-27,VN:TCH,0.2
2022-05-27,VN:VCG,0.2
2022-06-08,VN:HHV,0.2
2022-06-08,VN:HPG,0.2
2022-06-08,VN:TCH,0.0
2022-06-08,VN:VCG,0.0
2022-06-20,VN:HCM,0.2
2022-06-20,VN:HHV,0.0
2022-06-20,VN:HPG,0.0
2022-06-20,VN:MSB,0.2
2022-06-20,VN:SHB,0.0
2022-06-20,VN:SSI,0.2
2022-06-20,VN:STB,0.0
2022-06-20,VN:VCG,0.2
2022-06-30,VN:CTS,0.2
2022-06-30,VN:DBC,0.2
2022-06-30,VN:GVR,0.2
2022-06-30,VN:HHV,0.2
2022-06-30,VN:HSG,0.0
2022-06-30,VN:MSB,0.0
2022-06-30,VN:SSI,0.0
2022-06-30,VN:VCG,0.0
2022-07-12,VN:DBC,0.0
2022-07-12,VN:HCM,0.0
2022-07-12,VN:HSG,0.2
2022-07-12,VN:NKG,0.2
2022-07-22,VN:CTS,0.0
2022-07-22,VN:GVR,0.0
2022-07-22,VN:HHV,0.0
2022-07-22,VN:NKG,0.0
2022-10-12,VN:HSG,0.0
2022-10-12,VN:HT1,0.2
2022-10-12,VN:KDH,0.2
2022-10-12,VN:NLG,0.2
2022-10-12,VN:SHB,0.2
2022-10-12,VN:TCB,0.2
2022-10-24,VN:DBC,0.2
2022-10-24,VN:DXS,0.2
2022-10-24,VN:HT1,0.0
2022-10-24,VN:MSN,0.2
2022-10-24,VN:NLG,0.0
2022-10-24,VN:SHB,0.0
2022-11-03,VN:DBC,0.0
2022-11-03,VN:HPG,0.2
2022-11-03,VN:MSN,0.0
2022-11-03,VN:VTP,0.2
2022-11-15,VN:DXS,0.0
2022-11-15,VN:HSG,0.2
2022-11-15,VN:KDH,0.0
2022-11-15,VN:PDR,0.2
2022-11-15,VN:PLX,0.2
2022-11-15,VN:VTP,0.0
2022-11-25,VN:CTD,0.2
2022-11-25,VN:DIG,0.2
2022-11-25,VN:HPG,0.0
2022-11-25,VN:HSG,0.0
2022-11-25,VN:PLX,0.0
2022-11-25,VN:SJS,0.2
2022-12-07,VN:ANV,0.2
2022-12-07,VN:DGW,0.2
2022-12-07,VN:DIG,0.0
2022-12-07,VN:HHV,0.2
2022-12-07,VN:SJS,0.0
2022-12-07,VN:TCB,0.0
2022-12-19,VN:ANV,0.0
2022-12-19,VN:CTD,0.0
2022-12-19,VN:DGW,0.0
2022-12-19,VN:DIG,0.2
2022-12-19,VN:DXS,0.2
2022-12-19,VN:HHV,0.0
2022-12-29,VN:BSI,0.2
2022-12-29,VN:CII,0.2
2022-12-29,VN:DGW,0.2
2022-12-29,VN:DIG,0.0
2022-12-29,VN:DXS,0.0
2022-12-29,VN:VGC,0.2
2023-01-11,VN:BSI,0.0
2023-01-11,VN:CII,0.0
2023-01-11,VN:DIG,0.2
2023-01-11,VN:DXS,0.2
2023-01-11,VN:FTS,0.2
2023-01-11,VN:VGC,0.0
2023-01-30,VN:DGW,0.0
2023-01-30,VN:DIG,0.0
2023-01-30,VN:DXS,0.0
2023-01-30,VN:FTS,0.0
2023-02-09,VN:EIB,0.2
2023-02-21,VN:EIB,0.0
2023-03-15,VN:DIG,0.2
2023-03-15,VN:PDR,0.0
2023-04-28,VN:DIG,0.0
2023-04-28,VN:MSN,0.2
2025-04-15,VN:CMG,0.2
2025-04-15,VN:CTR,0.2
2025-04-15,VN:MSN,0.0
2025-04-25,VN:CMG,0.0
2026-01-07,VN:CTR,0.0
2026-01-07,VN:PAN,0.2
2026-03-11,VN:CTS,0.2
2026-03-11,VN:DIG,0.2
2026-03-11,VN:HDC,0.2
2026-03-11,VN:PAN,0.0
2026-03-11,VN:PDR,0.2
2026-03-23,VN:DGC,0.2
2026-03-23,VN:DIG,0.0
2026-03-23,VN:DXS,0.2
2026-03-23,VN:PDR,0.0
2026-04-02,VN:DGC,0.0
2026-04-02,VN:DXS,0.0
