,value
Start Index,2018-01-02 00:00:00
End Index,2026-05-29 00:00:00
Total Duration,2096 days 00:00:00
Start Value,100000000.0
Min Value,67923740.06177872
Max Value,128897653.2263077
End Value,124457368.92421061
Total Return [%],24.457368924210616
Benchmark Return [%],229.86766241157684
Position Coverage [%],50.333969465648856
Max Gross Exposure [%],100.0
Max Drawdown [%],39.954260907197025
Max Drawdown Duration,770 days 00:00:00
Total Orders,136
Total Fees Paid,3751545.103924246
Total Trades,69
Win Rate [%],55.223880597014926
Best Trade [%],110.14127659574464
Worst Trade [%],-50.639359999999996
Avg Winning Trade [%],15.269993543007503
Avg Losing Trade [%],-15.096273611782157
Avg Winning Trade Duration,33 days 01:56:45.405405405
Avg Losing Trade Duration,16 days 12:48:00
Profit Factor,1.2496279339575451
Expectancy,260312.35079867044
Sharpe Ratio,0.320654478193271
Calmar Ratio,0.0972012354490435
Omega Ratio,1.0836764234399439
Sortino Ratio,0.43460150577478485
