,value
Start Index,2018-01-02 00:00:00
End Index,2026-05-29 00:00:00
Total Duration,2096 days 00:00:00
Start Value,100000000.0
Min Value,99840255.59105432
Max Value,664310912.4285657
End Value,627669739.0446956
Total Return [%],527.6697390446956
Benchmark Return [%],256.86086965389916
Position Coverage [%],64.07442748091603
Max Gross Exposure [%],100.0
Max Drawdown [%],19.920635040227147
Max Drawdown Duration,348 days 00:00:00
Total Orders,286
Total Fees Paid,28915037.938028745
Total Trades,144
Win Rate [%],63.38028169014085
Best Trade [%],111.25617844919151
Worst Trade [%],-36.81788178031544
Avg Winning Trade [%],16.40756127681991
Avg Losing Trade [%],-8.572334001689729
Avg Winning Trade Duration,19 days 21:52:00
Avg Losing Trade Duration,13 days 09:13:50.769230769
Profit Factor,2.6097214471031975
Expectancy,3466935.861063523
Sharpe Ratio,1.74531991866861
Calmar Ratio,1.8922543939944
Omega Ratio,1.4213729419611327
Sortino Ratio,2.6716038913310287
