Order Id,Column,Index,Size,Price,Fees,Side
0,VN:ANV,2022-04-19,2026188.6354276051,20.2984296,65805.51579607569,Buy
1,VN:ANV,2022-04-26,2026188.6354276051,17.4050131,56425.34358830176,Sell
2,VN:ANV,2022-06-02,1633629.4709513546,25.373037,66320.22561718264,Buy
3,VN:ANV,2022-06-09,1633629.4709513546,26.129776699999997,68298.19725839685,Sell
0,VN:BSI,2021-06-02,1784430.965670678,15.325092,43754.50994648412,Buy
1,VN:BSI,2021-06-09,1784430.965670678,14.1899,40513.43513563257,Sell
2,VN:BSI,2021-08-18,1604843.8779023818,19.6530115,50464.02430099249,Buy
3,VN:BSI,2021-08-25,1604843.8779023818,19.7949105,50828.385487280924,Sell
4,VN:BSI,2021-10-15,1546104.0378821318,23.020753,56947.96666941952,Buy
5,VN:BSI,2021-10-22,1546104.0378821318,23.460639999999998,58036.144376478485,Sell
6,VN:BSI,2022-05-12,2044479.257800134,17.77876625,58157.310123843316,Buy
7,VN:BSI,2022-05-19,2044479.257800134,18.181995999999998,59476.341899848,Sell
0,VN:CII,2022-05-05,2279355.1856452706,17.049889999999998,62180.40829789031,Buy
1,VN:CII,2022-05-12,2279355.1856452706,15.2674015,55679.72924856541,Sell
0,VN:CMG,2025-04-14,2307467.1633724817,30.496,112589.62978273151,Buy
1,VN:CMG,2025-05-08,2307467.1633724817,30.678,113261.56422070561,Sell
0,VN:CTD,2022-05-12,1189486.1845474858,30.558,58157.310123843316,Buy
1,VN:CTD,2022-06-23,1189486.1845474858,34.299,65277.09863007075,Sell
2,VN:CTD,2022-11-14,1904139.2610870972,17.911,54568.0612885296,Buy
3,VN:CTD,2022-12-12,1904139.2610870972,25.989,79178.68041022812,Sell
0,VN:CTR,2022-12-05,958679.7972523025,48.018516000000005,73655.00989317833,Buy
1,VN:CTR,2022-12-12,958679.7972523025,48.4802325,74363.23114215118,Sell
2,VN:CTR,2025-04-14,828268.0283059077,84.958632,112589.62978273151,Buy
