execution_date,symbol,target_weight
2021-01-05,VN:BSI,0.2
2021-01-05,VN:DCM,0.2
2021-01-05,VN:HCM,0.2
2021-01-05,VN:NKG,0.2
2021-01-05,VN:VPB,0.2
2021-01-15,VN:BSI,0.0
2021-01-15,VN:DCM,0.0
2021-01-15,VN:FTS,0.2
2021-01-15,VN:LPB,0.2
2021-01-15,VN:NKG,0.0
2021-01-15,VN:VIX,0.2
2021-01-27,VN:DXG,0.2
2021-01-27,VN:FTS,0.0
2021-01-27,VN:HCM,0.0
2021-01-27,VN:HDC,0.2
2021-01-27,VN:HDG,0.2
2021-01-27,VN:LPB,0.0
2021-01-27,VN:NKG,0.2
2021-01-27,VN:PVT,0.2
2021-01-27,VN:VIX,0.0
2021-01-27,VN:VPB,0.0
2021-02-08,VN:BCM,0.2
2021-02-08,VN:HDG,0.0
2021-02-08,VN:NKG,0.0
2021-02-08,VN:PVT,0.0
2021-02-08,VN:SJS,0.2
2021-02-08,VN:VIB,0.2
2021-02-25,VN:BCM,0.0
2021-02-25,VN:PVD,0.2
2021-03-09,VN:DCM,0.2
2021-03-09,VN:DGW,0.2
2021-03-09,VN:DXG,0.0
2021-03-09,VN:SJS,0.0
2021-03-09,VN:VIB,0.0
2021-03-09,VN:VPB,0.2
2021-03-19,VN:DXG,0.2
2021-03-19,VN:HDC,0.0
2021-03-19,VN:LPB,0.2
2021-03-19,VN:PVD,0.0
2021-03-31,VN:DXG,0.0
2021-03-31,VN:SHB,0.2
2021-04-12,VN:DCM,0.0
2021-04-12,VN:DGW,0.0
2021-04-12,VN:EVF,0.2
2021-04-12,VN:SJS,0.2
2021-04-23,VN:EVF,0.0
2021-04-23,VN:NKG,0.2
2021-05-07,VN:HSG,0.2
2021-05-07,VN:VPB,0.0
2021-05-19,VN:FTS,0.2
2021-05-19,VN:HSG,0.0
2021-05-19,VN:NKG,0.0
2021-05-19,VN:STB,0.2
2021-05-31,VN:STB,0.0
2021-05-31,VN:VND,0.2
2021-06-10,VN:NKG,0.2
2021-06-10,VN:SJS,0.0
2021-06-10,VN:STB,0.2
2021-06-10,VN:VND,0.0
2021-06-22,VN:ANV,0.2
2021-06-22,VN:DCM,0.2
2021-06-22,VN:FTS,0.0
2021-06-22,VN:HCM,0.2
2021-06-22,VN:HSG,0.2
2021-06-22,VN:LPB,0.0
2021-06-22,VN:NKG,0.0
2021-06-22,VN:SHB,0.0
2021-06-22,VN:SJS,0.2
2021-06-22,VN:STB,0.0
2021-07-02,VN:BSI,0.2
2021-07-02,VN:DCM,0.0
2021-07-02,VN:HSG,0.0
2021-07-02,VN:LPB,0.2
2021-07-02,VN:NKG,0.2
2021-07-02,VN:SJS,0.0
2021-07-14,VN:ANV,0.0
2021-07-14,VN:BSI,0.0
2021-07-14,VN:CII,0.2
2021-07-14,VN:FTS,0.2
2021-07-14,VN:HCM,0.0
2021-07-14,VN:LPB,0.0
2021-07-14,VN:NKG,0.0
2021-07-14,VN:SJS,0.2
2021-07-14,VN:SSI,0.2
2021-07-14,VN:VND,0.2
2021-07-26,VN:CII,0.0
2021-07-26,VN:CTR,0.2
2021-07-26,VN:FTS,0.0
2021-07-26,VN:HDC,0.2
2021-07-26,VN:HDG,0.2
2021-07-26,VN:SSI,0.0
2021-08-05,VN:FRT,0.2
2021-08-05,VN:HDG,0.0
