Order Id,Column,Index,Size,Price,Fees,Side
0,VN:ANV,2021-06-22,2500186.7323781587,13.1242329,52500.85275075349,Buy
1,VN:ANV,2021-07-14,2500186.7323781587,11.11011795,44443.791189994285,Sell
2,VN:ANV,2022-03-17,2739375.0150034036,17.87241115,78334.77849948521,Buy
3,VN:ANV,2022-04-08,2739375.0150034036,17.7166118,77651.90994469517,Sell
4,VN:ANV,2022-11-15,3923598.5312183453,7.4156117,46553.413078728925,Buy
5,VN:ANV,2022-11-25,3923598.5312183453,9.00467135,56529.14445274227,Sell
6,VN:ANV,2022-12-19,2895880.1946052103,11.76825335,54527.12288217827,Buy
7,VN:ANV,2023-01-11,2895880.1946052103,12.6664175,58688.684119761354,Sell
8,VN:ANV,2023-11-01,3882796.6670284793,12.397943999999999,77021.91302592917,Buy
9,VN:ANV,2023-11-13,3882796.6670284793,13.8046338,85760.9377731019,Sell
10,VN:ANV,2024-01-09,2746995.9879775336,15.0921126,66332.75641968846,Buy
11,VN:ANV,2024-01-19,2746995.9879775336,14.4722154,63608.18822551469,Sell
12,VN:ANV,2025-07-07,3229089.648647312,22.8460036,118034.86998035014,Buy
13,VN:ANV,2025-07-17,3229089.648647312,22.265172999999997,115033.98345542658,Sell
14,VN:ANV,2025-08-08,3850863.5680762394,26.524597399999998,163428.16925688088,Buy
15,VN:ANV,2025-08-20,3850863.5680762394,26.379389749999998,162533.48949817402,Sell
16,VN:ANV,2025-09-03,2534582.2221982456,25.99216935,105406.86456140131,Buy
17,VN:ANV,2025-10-17,2534582.2221982456,30.929229449999998,125428.28017641667,Sell
18,VN:ANV,2025-10-29,3778018.41896128,29.6,178926.95232200623,Buy
19,VN:ANV,2025-11-10,3778018.41896128,27.6,166837.29338133015,Sell
0,VN:BCM,2021-02-08,344889.6380081605,52.042,28717.994465953107,Buy
1,VN:BCM,2021-02-25,344889.6380081605,54.463,30053.958967741513,Sell
2,VN:BCM,2022-02-11,608581.9285897892,74.96,72990.88218734413,Buy
3,VN:BCM,2022-02-23,608581.9285897892,78.845,76773.82745545909,Sell
4,VN:BCM,2022-08-25,519897.67673664744,85.858,71419.79956680813,Buy
5,VN:BCM,2022-09-08,519897.67673664744,83.394,69370.15496604156,Sell
6,VN:BCM,2025-06-13,1342424.8422778267,58.487,125623.04280048521,Buy
7,VN:BCM,2025-06-25,1342424.8422778267,60.748,130479.39890990948,Sell
8,VN:BCM,2026-04-24,108854.4269462322,54.2,9439.855904777534,Buy
