execution_date,symbol,target_weight
2022-04-21,VN:DIG,0.2
2022-05-05,VN:CII,0.2
2022-05-05,VN:DIG,0.0
2022-05-17,VN:CII,0.0
2022-05-17,VN:CTD,0.2
2022-05-17,VN:HCM,0.2
2022-05-17,VN:HSG,0.2
2022-05-17,VN:STB,0.2
2022-05-17,VN:VCI,0.2
2022-05-27,VN:BSI,0.2
2022-05-27,VN:CII,0.2
2022-05-27,VN:CTD,0.0
2022-05-27,VN:DXG,0.2
2022-05-27,VN:GEX,0.2
2022-05-27,VN:HCM,0.0
2022-05-27,VN:HDC,0.2
2022-05-27,VN:HSG,0.0
2022-05-27,VN:STB,0.0
2022-05-27,VN:VCI,0.0
2022-06-08,VN:BSI,0.0
2022-06-08,VN:CII,0.0
2022-06-08,VN:GEX,0.0
2022-06-08,VN:NKG,0.2
2022-06-20,VN:DIG,0.2
2022-06-20,VN:HCM,0.2
2022-06-20,VN:HDC,0.0
2022-06-20,VN:HSG,0.2
2022-06-20,VN:NKG,0.0
2022-06-20,VN:SSI,0.2
2022-06-30,VN:HCM,0.0
2022-06-30,VN:HDC,0.2
2022-06-30,VN:HSG,0.0
2022-06-30,VN:VND,0.2
2022-07-12,VN:DGW,0.2
2022-07-12,VN:SSI,0.0
2022-07-12,VN:SZC,0.2
2022-07-12,VN:VND,0.0
2022-10-12,VN:DGW,0.0
2022-10-12,VN:DIG,0.0
2022-10-12,VN:DXG,0.0
2022-10-12,VN:GVR,0.2
2022-10-12,VN:HDC,0.0
2022-10-12,VN:HT1,0.2
2022-10-12,VN:KBC,0.2
2022-10-12,VN:NLG,0.2
2022-10-12,VN:STB,0.2
2022-10-12,VN:SZC,0.0
2022-10-24,VN:DXS,0.2
2022-10-24,VN:GVR,0.0
2022-10-24,VN:HT1,0.0
2022-10-24,VN:STB,0.0
2022-11-03,VN:GVR,0.2
2022-11-03,VN:SZC,0.2
2022-11-15,VN:ANV,0.2
2022-11-15,VN:CTD,0.2
2022-11-15,VN:DIG,0.2
2022-11-15,VN:DXS,0.0
2022-11-15,VN:GVR,0.0
2022-11-15,VN:SZC,0.0
2022-11-25,VN:ANV,0.0
2022-11-25,VN:DXS,0.2
2022-11-25,VN:NLG,0.0
2022-11-25,VN:VTP,0.2
2022-12-07,VN:DIG,0.0
2022-12-07,VN:DXS,0.0
2022-12-07,VN:KBC,0.0
2022-12-07,VN:PDR,0.2
2022-12-07,VN:SIP,0.2
2022-12-07,VN:VTP,0.0
2022-12-19,VN:CTD,0.0
2022-12-29,VN:DGW,0.2
2022-12-29,VN:SIP,0.0
2023-01-11,VN:DGW,0.0
2026-01-07,VN:CTS,0.2
2026-01-07,VN:PAN,0.2
2026-01-07,VN:PDR,0.0
2026-01-19,VN:CTS,0.0
2026-01-19,VN:HDC,0.2
2026-01-19,VN:PAN,0.0
2026-03-11,VN:GEE,0.2
2026-03-11,VN:HDC,0.0
