Order Id,Column,Index,Size,Price,Fees,Side
0,VN:ANV,2021-06-22,3064799.2339632376,13.1242329,64357.0223012402,Buy
1,VN:ANV,2021-07-14,3064799.2339632376,11.11011795,54480.44957184195,Sell
2,VN:ANV,2022-04-21,3473237.4792860276,21.144197499999997,117502.11076228147,Buy
3,VN:ANV,2022-05-05,3473237.4792860276,20.253915499999998,112554.65346702753,Sell
4,VN:ANV,2022-09-20,3501216.1990309465,20.3874578,114209.43601027131,Buy
5,VN:ANV,2022-10-12,3501216.1990309465,14.1554838,79298.25469708824,Sell
6,VN:ANV,2022-11-15,8081341.043179805,7.4156117,95884.939506391,Buy
7,VN:ANV,2022-11-25,8081341.043179805,9.00467135,116431.7122577605,Sell
8,VN:ANV,2023-11-01,40398.8263358874,12.397943999999999,801.3798185249325,Buy
9,VN:ANV,2023-11-13,40398.8263358874,13.8046338,892.3056056267543,Sell
10,VN:ANV,2023-12-15,6013946.74394328,14.4483732,139026.79513826777,Buy
11,VN:ANV,2023-12-27,6013946.74394328,14.8060062,142468.05244367043,Sell
12,VN:ANV,2025-07-07,3753740.5003656736,22.8460036,137212.75037571788,Buy
13,VN:ANV,2025-07-17,3753740.5003656736,22.265172999999997,133724.29062039725,Sell
14,VN:ANV,2025-09-03,6743850.523935016,25.99216935,280459.6878227283,Buy
15,VN:ANV,2025-10-17,6743850.523935016,30.929229449999998,333731.3603700621,Sell
0,VN:BCM,2022-01-13,828460.2356749387,73.823,97855.07196516958,Buy
1,VN:BCM,2022-01-25,828460.2356749387,72.97,96724.38943552044,Sell
2,VN:BCM,2022-02-11,807898.7902143528,74.96,96896.1493031486,Buy
3,VN:BCM,2022-03-07,807898.7902143528,72.591,93833.88972872014,Sell
4,VN:BCM,2022-08-25,839689.2125490506,85.858,115350.45825766027,Buy
5,VN:BCM,2022-09-30,839689.2125490506,85.858,115350.45825765822,Sell
6,VN:BCM,2026-04-24,8322.755215363248,54.2,721.7493322763476,Buy
7,VN:BCM,2026-05-11,8322.755215363248,52.0,692.4532339182223,Sell
0,VN:BID,2023-02-09,94103.41043893286,31.916808,4805.56877299957,Buy
1,VN:BID,2023-03-15,94103.41043893286,33.9478776,5111.377694917528,Sell
2,VN:BID,2023-04-18,2386431.6237069103,32.3520372,123529.4794646758,Buy
3,VN:BID,2023-04-28,2386431.6237069103,31.554116999999998,120482.7882671165,Sell
0,VN:BMP,2023-04-28,1415783.900243704,53.523,121243.20270839005,Buy
1,VN:BMP,2023-06-06,1415783.900243704,57.82,130977.00017934554,Sell
2,VN:BMP,2023-06-16,15556.519315593958,65.933,1641.1007808560971,Buy
3,VN:BMP,2023-06-28,15556.519315593958,67.776,1686.9738450139137,Sell
4,VN:BMP,2024-01-09,940545.4519885303,82.983,124878.85318778455,Buy
5,VN:BMP,2024-01-31,940545.4519885303,81.638,122854.79937510344,Sell
6,VN:BMP,2024-09-26,903983.7757582085,106.138,153515.2479862796,Buy
7,VN:BMP,2024-10-08,903983.7757582085,101.386,146642.07854243479,Sell
8,VN:BMP,2024-10-18,859988.0339848703,107.056,147307.00634605484,Buy
9,VN:BMP,2024-11-21,859988.0339848703,104.55,143858.7983249891,Sell
10,VN:BMP,2024-12-25,868292.9978611501,119.796,166428.84475483894,Buy
11,VN:BMP,2025-01-07,868292.9978611501,117.531,163282.15093059014,Sell
12,VN:BMP,2025-12-24,13633.38101097099,166.526,3632.499849972781,Buy
13,VN:BMP,2026-01-07,13633.38101097099,167.566,3655.185795974984,Sell
0,VN:BSI,2021-05-31,2319418.1297653485,14.1899,52659.698111291975,Buy
1,VN:BSI,2021-06-10,2319418.1297653485,13.9770515,51869.802639622336,Sell
2,VN:BSI,2021-08-17,2236877.8593483577,19.227314500000002,68814.64655964423,Buy
3,VN:BSI,2021-08-27,2236877.8593483577,20.381431,72945.23479317801,Sell
4,VN:BSI,2021-10-14,1752878.5246477053,22.874124,64152.89716757089,Buy
5,VN:BSI,2021-10-26,1752878.5246477053,23.42398275,65695.03411870929,Sell
6,VN:BSI,2022-12-29,5584917.2035617,13.16115645,117606.35052219525,Buy
7,VN:BSI,2023-01-11,5584917.2035617,13.83995535,123672.00756918527,Sell
8,VN:BSI,2023-03-03,5396123.342507975,12.897179099999999,111351.6307104256,Buy
9,VN:BSI,2023-03-15,5396123.342507975,13.7268222,118514.60110700269,Sell
10,VN:BSI,2023-04-06,3407841.333359388,18.855525,102810.61993151158,Buy
11,VN:BSI,2023-07-10,3407841.333359388,26.6103054,145093.91781669846,Sell
12,VN:BSI,2024-01-19,2044713.6340570904,42.3120384,138425.60288196802,Buy
13,VN:BSI,2024-05-13,2044713.6340570904,45.7829478,149780.8281183745,Sell
14,VN:BSI,2024-07-30,2382069.471816981,38.7598082,147725.68935472242,Buy
15,VN:BSI,2024-08-21,2382069.471816981,45.0758848,171798.22255555054,Sell
16,VN:BSI,2025-03-11,516327.6911854369,51.982673600000005,42944.15014645457,Buy
17,VN:BSI,2025-03-21,516327.6911854369,50.8012492,41968.14673403525,Sell
18,VN:BSI,2025-12-02,136922.04635253147,39.05,8554.88945610635,Buy
19,VN:BSI,2025-12-12,136922.04635253147,37.05,8116.738907778065,Sell
0,VN:CII,2022-05-05,4096486.2250287123,17.049889999999998,111751.42323720765,Buy
1,VN:CII,2022-05-17,4096486.2250287123,15.4999,101592.20294291606,Sell
2,VN:CII,2022-05-27,3656396.7317155036,17.01114025,99519.1641805665,Buy
3,VN:CII,2022-06-08,3656396.7317155036,16.5073935,96572.1274280668,Sell
4,VN:CII,2022-12-29,7295726.381993732,10.074935,117606.35052219525,Buy
5,VN:CII,2023-01-11,7295726.381993732,10.84993,126652.99287005642,Sell
6,VN:CII,2023-08-01,5764384.007476306,16.042396500000002,147959.2541219102,Buy
7,VN:CII,2023-08-11,5764384.007476306,16.23614525,149746.20163545982,Sell
8,VN:CII,2023-12-15,5933246.862448614,13.226850899999999,125565.0745640099,Buy
9,VN:CII,2023-12-27,5933246.862448614,13.306053599999998,126316.96123803692,Sell
10,VN:CII,2025-09-15,7699624.6803012,23.65,291353.7979025974,Buy
11,VN:CII,2025-10-29,7699624.6803012,25.05,308600.9571864721,Sell
0,VN:CMG,2024-06-04,1772181.6305252232,56.084,159025.65530620262,Buy
1,VN:CMG,2024-06-14,1772181.6305252232,57.312,162507.63777385856,Sell
2,VN:CMG,2024-06-26,1827762.0116071585,53.055,155155.06164130848,Buy
3,VN:CMG,2024-07-08,1827762.0116071585,52.236,152759.96230129842,Sell
4,VN:CMG,2024-09-16,2263801.7253848347,41.265,149465.24511680834,Buy
5,VN:CMG,2024-09-26,2263801.7253848347,42.165,152725.1196013625,Sell
6,VN:CMG,2025-04-02,3283723.474551288,34.95,183625.81669690806,Buy
7,VN:CMG,2025-05-22,3283723.474551288,30.178,158553.93122401406,Sell
0,VN:CTD,2022-01-25,815718.38543681,72.837,95063.1680640975,Buy
1,VN:CTD,2022-02-11,815718.38543681,62.904,82099.11890802736,Sell
2,VN:CTD,2022-05-17,1872350.6410603167,30.558,91544.46542323387,Buy
3,VN:CTD,2022-06-20,1872350.6410603167,32.975,98785.21982234232,Sell
4,VN:CTD,2022-11-15,3591519.069369194,16.686,95884.939506391,Buy
5,VN:CTD,2022-12-19,3591519.069369194,24.632,141546.07634672322,Sell
6,VN:CTD,2023-04-28,1780986.6076319758,39.067,111324.48608057201,Buy
7,VN:CTD,2023-06-28,1780986.6076319758,45.887,130758.61194305356,Sell
8,VN:CTD,2023-12-27,1446936.677698317,61.536,142461.9126381498,Buy
9,VN:CTD,2024-01-19,1446936.677698317,60.918,141031.18165124173,Sell
10,VN:CTD,2025-02-17,1354209.2285663362,79.399,172036.57366230167,Buy
11,VN:CTD,2025-03-21,1354209.2285663362,77.965,168929.47600827907,Sell
0,VN:CTR,2022-11-15,1090322.479713546,34.8134241,60732.57422725111,Buy
1,VN:CTR,2022-11-25,1090322.479713546,41.554485,72492.46260547097,Sell
2,VN:CTR,2022-12-07,1348475.5711960054,44.2324407,95434.18518132716,Buy
3,VN:CTR,2022-12-19,1348475.5711960054,50.696471700000004,109380.72581324742,Sell
4,VN:CTR,2024-06-26,677719.2634402615,143.085668,155155.06164130848,Buy
5,VN:CTR,2024-07-18,677719.2634402615,128.547552,139390.64361358195,Sell
6,VN:CTR,2025-04-15,741051.7165050406,81.83371679999999,97028.82608420402,Buy
7,VN:CTR,2025-05-12,741051.7165050406,91.1108088,108028.5140054441,Sell
