,value
Start Index,2018-01-02 00:00:00
End Index,2026-05-29 00:00:00
Total Duration,2096 days 00:00:00
Start Value,100000000.0
Min Value,99840255.59105432
Max Value,1168791738.0321171
End Value,1124879354.1398947
Total Return [%],1024.8793541398948
Benchmark Return [%],237.48324735978392
Position Coverage [%],64.07442748091603
Max Gross Exposure [%],100.0
Max Drawdown [%],25.44125476523602
Max Drawdown Duration,119 days 00:00:00
Total Orders,501
Total Fees Paid,77114397.51913905
Total Trades,251
Win Rate [%],58.23293172690763
Best Trade [%],86.0488648648649
Worst Trade [%],-36.817881780315446
Avg Winning Trade [%],14.055958169173364
Avg Losing Trade [%],-6.744162972790818
Avg Winning Trade Duration,14 days 04:18:12.413793103
Avg Losing Trade Duration,11 days 18:27:41.538461538
Profit Factor,2.488098487510407
Expectancy,4171645.9551198795
Sharpe Ratio,2.0746591169530473
Calmar Ratio,2.060418010618959
Omega Ratio,1.4568897168267718
Sortino Ratio,3.180727068604403
