,value
Start Index,2018-01-02 00:00:00
End Index,2026-05-29 00:00:00
Total Duration,2096 days 00:00:00
Start Value,100000000.0
Min Value,93996502.14372125
Max Value,702518480.8701626
End Value,563458688.3775976
Total Return [%],463.4586883775976
Benchmark Return [%],243.5915388111839
Position Coverage [%],64.07442748091603
Max Gross Exposure [%],100.0
Max Drawdown [%],42.84076946621453
Max Drawdown Duration,341 days 00:00:00
Total Orders,644
Total Fees Paid,60515044.21992197
Total Trades,323
Win Rate [%],55.3125
Best Trade [%],204.05116176145162
Worst Trade [%],-36.817881780315446
Avg Winning Trade [%],13.73095011539059
Avg Losing Trade [%],-8.4194175015694
Avg Winning Trade Duration,16 days 08:40:40.677966101
Avg Losing Trade Duration,13 days 23:39:51.608391608
Profit Factor,1.6599430644629187
Expectancy,1481508.911721942
Sharpe Ratio,1.222005808337589
Calmar Ratio,0.8200442439865998
Omega Ratio,1.2439898512211716
Sortino Ratio,1.727207422189899
