execution_date,symbol,target_weight
2021-01-05,VN:ANV,0.2
2021-01-05,VN:DXG,0.2
2021-01-05,VN:EVF,0.2
2021-01-05,VN:SZC,0.2
2021-01-05,VN:VCI,0.2
2021-01-15,VN:ANV,0.0
2021-01-15,VN:DGW,0.2
2021-01-15,VN:DXG,0.0
2021-01-15,VN:FTS,0.2
2021-01-15,VN:LPB,0.2
2021-01-15,VN:SZC,0.0
2021-01-15,VN:VCI,0.0
2021-01-15,VN:VIX,0.2
2021-01-27,VN:BCM,0.2
2021-01-27,VN:DGW,0.0
2021-01-27,VN:DXG,0.2
2021-01-27,VN:EVF,0.0
2021-01-27,VN:FTS,0.0
2021-01-27,VN:HDC,0.2
2021-01-27,VN:LPB,0.0
2021-01-27,VN:NKG,0.2
2021-01-27,VN:PVT,0.2
2021-01-27,VN:VIX,0.0
2021-02-08,VN:NKG,0.0
2021-02-08,VN:PVT,0.0
2021-02-08,VN:SJS,0.2
2021-02-08,VN:VPB,0.2
2021-02-25,VN:BCM,0.0
2021-02-25,VN:DXG,0.0
2021-02-25,VN:NKG,0.2
2021-02-25,VN:VIB,0.2
2021-03-09,VN:DGW,0.2
2021-03-09,VN:HDC,0.0
2021-03-09,VN:SJS,0.0
2021-03-09,VN:VIX,0.2
2021-03-19,VN:DCM,0.2
2021-03-19,VN:VIX,0.0
2021-03-31,VN:DCM,0.0
2021-03-31,VN:DGW,0.0
2021-03-31,VN:HSG,0.2
2021-03-31,VN:LPB,0.2
2021-03-31,VN:SHB,0.2
2021-03-31,VN:VIB,0.0
2021-04-12,VN:EVF,0.2
2021-04-12,VN:HSG,0.0
2021-04-23,VN:EVF,0.0
2021-04-23,VN:SJS,0.2
2021-04-23,VN:VND,0.2
2021-04-23,VN:VPB,0.0
2021-05-07,VN:HSG,0.2
2021-05-07,VN:SJS,0.0
2021-05-19,VN:FTS,0.2
2021-05-19,VN:VND,0.0
2021-05-31,VN:HSG,0.0
2021-05-31,VN:VND,0.2
2021-06-22,VN:DBC,0.2
2021-06-22,VN:DCM,0.2
2021-06-22,VN:FTS,0.0
2021-06-22,VN:HSG,0.2
2021-06-22,VN:LPB,0.0
2021-06-22,VN:NKG,0.0
2021-06-22,VN:SHB,0.0
2021-06-22,VN:SJS,0.2
2021-06-22,VN:VCI,0.2
2021-06-22,VN:VND,0.0
2021-07-02,VN:DCM,0.0
2021-07-02,VN:HCM,0.2
2021-07-02,VN:HSG,0.0
2021-07-02,VN:NKG,0.2
