,value
Start Index,2018-01-02 00:00:00
End Index,2026-05-29 00:00:00
Total Duration,2096 days 00:00:00
Start Value,100000000.0
Min Value,84236039.40599197
Max Value,1032580794.1983708
End Value,982130945.8163383
Total Return [%],882.1309458163382
Benchmark Return [%],236.78238904419237
Position Coverage [%],64.07442748091603
Max Gross Exposure [%],100.0
Max Drawdown [%],32.87777292143735
Max Drawdown Duration,253 days 00:00:00
Total Orders,757
Total Fees Paid,83041520.15969253
Total Trades,381
Win Rate [%],56.64893617021277
Best Trade [%],282.88600495692197
Worst Trade [%],-36.817881780315446
Avg Winning Trade [%],13.168974742481875
Avg Losing Trade [%],-6.927433062447941
Avg Winning Trade Duration,17 days 11:09:17.746478873
Avg Losing Trade Duration,13 days 11:55:34.969325153
Profit Factor,2.2411993291417898
Expectancy,2424629.4924696153
Sharpe Ratio,1.5601745009616594
Calmar Ratio,1.4861059680235773
Omega Ratio,1.3193885006613986
Sortino Ratio,2.238815617867005
