Order Id,Column,Index,Size,Price,Fees,Side
0,VN:ANV,2021-06-22,2449416.1763814515,13.1242329,51434.73338857224,Buy
1,VN:ANV,2021-07-02,2449416.1763814515,14.01217605,54914.641093079605,Sell
2,VN:ANV,2022-04-21,2620055.485365369,21.144197499999997,88638.35302963795,Buy
3,VN:ANV,2022-05-05,2620055.485365369,20.253915499999998,84906.21184944267,Sell
4,VN:ANV,2022-09-30,3779582.158542265,17.449527200000002,105523.07468818878,Buy
5,VN:ANV,2022-10-12,3779582.158542265,14.1554838,85602.90242562251,Sell
6,VN:ANV,2022-11-15,7222115.403377662,7.4156117,85690.24557446019,Buy
7,VN:ANV,2022-11-25,7222115.403377662,9.00467135,104052.44105470166,Sell
8,VN:ANV,2023-11-01,6585125.119803664,12.397943999999999,130627.2199493106,Buy
9,VN:ANV,2023-11-13,6585125.119803664,13.8046338,145448.38528971316,Sell
10,VN:ANV,2024-12-13,4982609.234144546,19.89344805,158594.0447246477,Buy
11,VN:ANV,2025-01-07,4982609.234144546,18.15095625,144702.59555168587,Sell
12,VN:ANV,2025-09-15,7048965.273592419,28.267089199999997,318805.9682501429,Buy
13,VN:ANV,2025-09-25,7048965.273592419,27.25063565,307342.0550082713,Sell
14,VN:ANV,2025-10-07,6561170.192988411,29.186737649999998,306398.6449596042,Buy
15,VN:ANV,2025-10-17,6561170.192988411,30.929229449999998,324691.10137510294,Sell
0,VN:BCM,2022-02-11,643828.3943134089,74.96,77218.20230037301,Buy
1,VN:BCM,2022-03-07,643828.3943134089,72.591,74777.83515456747,Sell
2,VN:BCM,2022-08-25,826416.3473139034,85.858,113527.12759628339,Buy
3,VN:BCM,2022-09-30,826416.3473139034,85.858,113527.12759628339,Sell
4,VN:BCM,2026-04-24,4178423.659897474,54.2,362352.899786309,Buy
5,VN:BCM,2026-05-11,4178423.659897474,52.0,347644.84850346984,Sell
0,VN:BID,2023-02-21,1999623.9032747608,33.5489175,107336.3477791887,Buy
1,VN:BID,2023-03-15,1999623.9032747608,33.9478776,108612.78002304932,Sell
0,VN:BMP,2023-05-15,1243681.3567367608,57.327,114074.43382023726,Buy
1,VN:BMP,2023-05-25,1243681.3567367608,57.82,115055.44967443123,Sell
2,VN:BMP,2024-09-26,881803.599772138,106.138,149748.5927561843,Buy
3,VN:BMP,2024-10-08,881803.599772138,101.386,143044.0636263968,Sell
4,VN:BMP,2024-10-18,866202.8553941358,107.056,148371.54061931936,Buy
5,VN:BMP,2024-11-21,866202.8553941358,104.55,144898.41365033106,Sell
6,VN:BMP,2024-12-25,823262.4008735952,119.796,157797.66812008515,Buy
7,VN:BMP,2025-01-07,823262.4008735952,117.531,154814.1651793192,Sell
0,VN:BSI,2021-08-17,1841693.9482313644,19.227314500000002,56657.32600862587,Buy
1,VN:BSI,2021-08-27,1841693.9482313644,20.381431,60058.17300639219,Sell
2,VN:BSI,2021-10-14,1808976.437672957,22.874124,66206.00215745518,Buy
3,VN:BSI,2021-10-26,1808976.437672957,23.42398275,67797.49259393247,Sell
4,VN:BSI,2023-04-06,3700621.248117772,18.855525,111643.45033506537,Buy
5,VN:BSI,2023-06-16,3700621.248117772,24.17278305,143126.9033295538,Sell
6,VN:BSI,2023-11-23,2448243.0663026916,35.4528603,138875.55105611673,Buy
7,VN:BSI,2023-12-15,2448243.0663026916,37.3535964,146321.0934204307,Sell
8,VN:BSI,2024-01-19,2153165.286333019,42.3120384,145767.6996429915,Buy
9,VN:BSI,2024-02-19,2153165.286333019,44.625978,153739.37071721762,Sell
10,VN:BSI,2024-03-22,1883745.2685112914,51.6504375,155674.0276114611,Buy
11,VN:BSI,2024-04-03,1883745.2685112914,52.890048,159410.20427413614,Sell
12,VN:BSI,2024-04-15,1965944.5281812502,48.344809500000004,152069.1419239839,Buy
13,VN:BSI,2024-04-26,1965944.5281812502,42.3120384,133092.9925898799,Sell
14,VN:BSI,2024-07-30,2346600.554944887,38.7598082,145526.05989068383,Buy
15,VN:BSI,2024-08-09,2346600.554944887,44.1216574,165657.4491838851,Sell
16,VN:BSI,2025-03-11,2413403.825293511,51.982673600000005,200728.29330435843,Buy
17,VN:BSI,2025-03-21,2413403.825293511,50.8012492,196166.28663835028,Sell
0,VN:BVH,2026-02-10,2905424.198851165,74.9,348186.03599032364,Buy
1,VN:BVH,2026-03-11,2905424.198851165,74.5,346326.5645030589,Sell
0,VN:CII,2022-05-05,3143983.8180633537,17.049889999999998,85767.3252156163,Buy
1,VN:CII,2022-05-17,3143983.8180633537,15.4999,77970.29565056029,Sell
2,VN:CII,2022-12-29,6901935.613295975,10.074935,111258.48428502734,Buy
3,VN:CII,2023-01-11,6901935.613295975,10.84993,119816.82923002944,Sell
4,VN:CII,2023-11-01,7084524.741641011,11.52399285,130627.2199493106,Buy
5,VN:CII,2023-11-13,7084524.741641011,13.42485765,152173.97787909379,Sell
6,VN:CII,2023-12-15,6769656.297680322,13.226850899999999,143265.9751898618,Buy
7,VN:CII,2023-12-27,6769656.297680322,13.306053599999998,144123.85528081906,Sell
8,VN:CII,2025-09-25,7484869.187451735,26.1,312568.1372679845,Buy
9,VN:CII,2025-10-29,7484869.187451735,25.05,299993.5570330656,Sell
0,VN:CMG,2024-06-26,1727247.2215293522,53.055,146622.56214118368,Buy
1,VN:CMG,2024-07-08,1727247.2215293522,52.236,144359.1773820916,Sell
2,VN:CMG,2024-09-16,2218476.731149061,41.265,146472.70769738563,Buy
3,VN:CMG,2024-09-26,2218476.731149061,42.165,149667.31419024026,Sell
4,VN:CMG,2024-11-21,2175273.326802501,44.212,153877.0949193475,Buy
5,VN:CMG,2024-12-03,2175273.326802501,47.733,166131.71473322203,Sell
6,VN:CMG,2025-04-15,4210132.683006394,29.132,196239.33651414764,Buy
7,VN:CMG,2025-05-22,4210132.683006394,30.178,203285.41457242714,Sell
0,VN:CTD,2022-05-17,1654042.8731226716,30.558,80870.78738701217,Buy
1,VN:CTD,2022-06-30,1654042.8731226716,35.624,94277.79729939529,Sell
2,VN:CTD,2022-11-15,3209661.0022796127,16.686,85690.24557446019,Buy
3,VN:CTD,2022-12-19,3209661.0022796127,24.632,126496.59169304228,Sell
4,VN:CTD,2023-04-28,1803559.8685775073,39.067,112735.47741714798,Buy
5,VN:CTD,2023-06-28,1803559.8685775073,45.887,132415.92270306573,Sell
6,VN:CTD,2023-11-23,1601188.3745955017,54.208,138875.55105611673,Buy
7,VN:CTD,2023-12-05,1601188.3745955017,56.857,145662.0278630023,Sell
8,VN:CTD,2023-12-27,1471398.383401037,61.536,144870.35347354593,Buy
9,VN:CTD,2024-01-19,1471398.383401037,60.918,143415.434752039,Sell
10,VN:CTD,2025-02-05,1555619.4328026993,71.602,178216.7402040622,Buy
11,VN:CTD,2025-03-11,1555619.4328026993,81.997,204089.80261043672,Sell
0,VN:CTR,2022-11-15,542021.6167725882,34.8134241,30191.405465714633,Buy
1,VN:CTR,2022-11-25,542021.6167725882,41.554485,36037.48663016363,Sell
2,VN:CTR,2022-12-07,1301666.2224029796,44.2324407,92121.39838981628,Buy
3,VN:CTR,2022-12-19,1301666.2224029796,50.696471700000004,105583.81569103771,Sell
4,VN:CTR,2024-06-26,640449.1981561689,143.085668,146622.5621411837,Buy
5,VN:CTR,2024-07-08,640449.1981561689,141.172758,144662.36746015179,Sell
0,VN:CTS,2021-03-19,2584354.575634672,8.62470675,35662.880564591585,Buy
1,VN:CTS,2021-03-31,2584354.575634672,8.27471865,34215.69120834729,Sell
2,VN:CTS,2021-06-10,2871588.7276624357,10.5996396,48700.48894823099,Buy
3,VN:CTS,2021-06-22,2871588.7276624357,10.999626000000001,50538.243248164246,Sell
4,VN:CTS,2021-07-02,2561799.4487831537,12.9495597,53078.67984231126,Buy
5,VN:CTS,2021-07-14,2561799.4487831537,9.8496651,40372.58659820587,Sell
6,VN:CTS,2021-08-27,2423419.494476726,14.649501899999999,56803.02158213413,Buy
7,VN:CTS,2021-09-10,2423419.494476726,15.074487450000001,58450.8908089196,Sell
8,VN:CTS,2021-12-31,2101597.854193909,23.174212049999998,77924.59890706341,Buy
9,VN:CTS,2022-01-13,2101597.854193909,21.6492639,72796.87449138827,Sell
10,VN:CTS,2022-07-22,6318643.989198002,9.53119415,96358.75620124489,Buy
11,VN:CTS,2022-08-03,6318643.989198002,11.232228800000001,113555.92798786671,Sell
12,VN:CTS,2023-06-28,4946324.890024119,15.26587395,120815.95565896931,Buy
13,VN:CTS,2023-07-10,4946324.890024119,15.82480755,125239.42314305056,Sell
14,VN:CTS,2023-09-06,4226009.556124623,20.960009999999997,141723.52409034825,Buy
15,VN:CTS,2023-09-18,4226009.556124623,22.0778772,149282.1120418335,Sell
16,VN:CTS,2024-03-12,3723855.7699713768,25.745878949999998,153398.30380950737,Buy
17,VN:CTS,2024-04-03,3723855.7699713768,27.42267975,163388.96674418356,Sell
18,VN:CTS,2024-04-15,3608357.2735790866,26.3397459,152069.1419239839,Buy
19,VN:CTS,2024-04-26,3608357.2735790866,24.802678500000003,143195.08059154983,Sell
20,VN:CTS,2024-05-23,3130539.8296480803,30.6016146,153279.31737094434,Buy
21,VN:CTS,2024-06-04,3130539.8296480803,30.6714813,153629.27015033006,Sell
22,VN:CTS,2024-06-14,3123346.609015479,29.9029476,149435.6319776441,Buy
23,VN:CTS,2024-06-26,3123346.609015479,27.702146550000002,138437.44878302776,Sell
24,VN:CTS,2026-01-07,8539574.70146183,24.947,340858.83212378924,Buy
25,VN:CTS,2026-02-27,8539574.70146183,24.83,339260.22373967554,Sell
26,VN:CTS,2026-03-23,10753074.183974432,19.121,328975.25035484013,Buy
27,VN:CTS,2026-04-14,10753074.183974432,21.937,377424.3013981554,Sell
0,VN:DBC,2021-11-29,1792754.686779966,28.33857,81286.56669462743,Buy
1,VN:DBC,2021-12-09,1792754.686779966,27.233544000000002,78116.90182980549,Sell
2,VN:DBC,2023-07-10,4198514.206777123,18.1664856,122035.59660609925,Buy
3,VN:DBC,2023-08-01,4198514.206777123,18.577661199999998,124797.71916302742,Sell
4,VN:DBC,2024-06-04,3570001.986679221,26.838552800000002,153301.8989049523,Buy
5,VN:DBC,2024-06-14,3570001.986679221,26.3152384,150312.72538869974,Sell
0,VN:DCM,2021-03-09,1756132.590595527,12.4147464,34883.105211229595,Buy
1,VN:DCM,2021-03-31,1756132.590595527,12.895078849999999,36232.74916285454,Sell
2,VN:DCM,2021-08-17,1499413.1144062865,18.2856165,43868.30909616873,Buy
3,VN:DCM,2021-09-10,1499413.1144062865,19.25004775,46182.03847887557,Sell
4,VN:DCM,2021-09-22,1961172.473024722,18.9028525,59314.806375434484,Buy
5,VN:DCM,2021-10-14,1961172.473024722,24.7665945,77714.50141434476,Sell
6,VN:DCM,2023-09-06,3078353.367171325,28.7742153,141723.52409034825,Buy
7,VN:DCM,2023-09-28,3078353.367171325,29.4016904,144814.0682293901,Sell
0,VN:DGC,2022-03-29,607661.511262144,89.124,86651.55924756371,Buy
1,VN:DGC,2022-05-05,607661.511262144,92.361,89798.75974669261,Sell
2,VN:DGC,2022-06-08,538975.0043103133,108.388,93469.47642749798,Buy
3,VN:DGC,2022-06-20,538975.0043103133,105.847,91278.21964997397,Sell
4,VN:DGC,2022-08-15,883881.6807269251,78.835,111489.29968017142,Buy
5,VN:DGC,2022-08-25,883881.6807269251,83.323,117836.27725313533,Sell
6,VN:DGC,2022-09-08,857096.2944527498,81.968,112407.1505019248,Buy
7,VN:DGC,2022-10-12,857096.2944527498,62.662,85931.78880479714,Sell
8,VN:DGC,2023-09-28,1011600.5091379156,84.776,137215.1116202815,Buy
9,VN:DGC,2023-10-20,1011600.5091379156,82.068,132832.04893428873,Sell
10,VN:DGC,2024-05-13,818589.0683002871,114.345,149762.50722367413,Buy
11,VN:DGC,2024-05-23,818589.0683002871,119.008,155869.83654444892,Sell
12,VN:DGC,2026-03-23,3976973.529434721,51.7,328975.25035484013,Buy
13,VN:DGC,2026-04-02,3976973.529434721,54.0,343610.5129431599,Sell
14,VN:DGC,2026-04-14,3861247.371393726,56.3,347821.16321514687,Buy
15,VN:DGC,2026-04-24,3861247.371393726,53.3,329287.17583245697,Sell
16,VN:DGC,2026-05-21,5114233.694016565,48.0,392773.1477004722,Buy
0,VN:DGW,2021-02-25,1067023.0598503973,18.656,31850.21152731042,Buy
1,VN:DGW,2021-03-09,1067023.0598503973,22.332,38126.01435612652,Sell
2,VN:DGW,2022-03-29,959180.059681331,56.462,86651.55924756371,Buy
3,VN:DGW,2022-04-08,959180.059681331,54.672,83904.46755663637,Sell
4,VN:DGW,2022-07-12,1381647.566963835,39.844,88080.58505297452,Buy
5,VN:DGW,2022-07-22,1381647.566963835,44.03,97334.30779746825,Sell
6,VN:DGW,2023-02-09,2284830.4665994486,29.486,107792.81782104216,Buy
7,VN:DGW,2023-02-21,2284830.4665994486,30.172,110300.64774118172,Sell
8,VN:DGW,2023-04-18,2885408.6302546165,24.578,113468.11730303675,Buy
9,VN:DGW,2023-04-28,2885408.6302546165,24.758,114299.11498855008,Sell
0,VN:DIG,2022-04-21,1206456.2971297072,45.9187546,88638.35302963793,Buy
1,VN:DIG,2022-05-17,1206456.2971297072,36.763392399999994,70965.48202372866,Sell
2,VN:DIG,2022-06-08,1442267.4174124433,39.03449,90077.07693170011,Buy
3,VN:DIG,2022-06-20,1442267.4174124433,24.0239543,55438.3464388729,Sell
4,VN:DIG,2022-06-30,2286395.641633398,25.124017199999997,91909.50948224403,Buy
5,VN:DIG,2022-08-03,2286395.641633398,34.177730499999996,125030.10248979335,Sell
6,VN:DIG,2023-01-11,5331619.7365722535,13.4115145,114408.15264883992,Buy
7,VN:DIG,2023-02-09,5331619.7365722535,12.805833199999999,109241.33285179554,Sell
8,VN:DIG,2023-03-15,6586842.826724837,10.166793250000001,107147.3107032912,Buy
9,VN:DIG,2023-04-06,6586842.826724837,13.7576181,144990.82895168764,Sell
0,VN:DPM,2021-10-04,2564090.3132187305,14.837774999999999,60872.632235550474,Buy
1,VN:DPM,2021-11-05,2564090.3132187305,19.9024022,81650.49070528505,Sell
2,VN:DPM,2022-03-07,1952448.7761656027,26.162232,81728.66856025692,Buy
3,VN:DPM,2022-04-08,1952448.7761656027,25.8783008,80841.69076192855,Sell
0,VN:DXG,2021-01-05,1452404.8527402363,11.475221,26666.666666666668,Buy
1,VN:DXG,2021-01-27,1452404.8527402363,14.175272999999999,32941.17647058824,Sell
2,VN:DXG,2021-04-12,1373397.7170592526,16.8078237,36934.12271730304,Buy
3,VN:DXG,2021-04-23,1373397.7170592526,16.23406265,35673.31933137101,Sell
4,VN:DXG,2022-03-07,1568335.7039375028,32.569824,81728.66856025692,Buy
5,VN:DXG,2022-03-17,1568335.7039375028,32.2596352,80950.30028825447,Sell
6,VN:DXG,2022-06-30,85435.17966896307,15.121704,2067.080797025468,Buy
7,VN:DXG,2022-07-22,85435.17966896307,17.060384,2332.0911556184046,Sell
8,VN:DXG,2024-07-18,7964690.995945728,11.538255600000001,147037.8247779846,Buy
9,VN:DXG,2024-07-30,7964690.995945728,11.2109292,142866.5389686801,Sell
10,VN:DXG,2026-04-02,16915004.258385137,12.697,343631.69450994575,Buy
11,VN:DXG,2026-04-14,16915004.258385137,13.488,365039.3238993579,Sell
0,VN:DXS,2022-08-03,5192513.503271592,12.8254395,106554.02846262857,Buy
1,VN:DXS,2022-08-15,5192513.503271592,13.43446875,111613.85662984836,Sell
2,VN:DXS,2022-11-25,13551682.143213406,4.5435628800000005,98516.67191594126,Buy
3,VN:DXS,2022-12-07,13551682.143213406,5.39548092,116988.54790018023,Sell
4,VN:DXS,2023-01-11,13776441.027107371,5.19038954,114408.15264883992,Buy
5,VN:DXS,2023-01-30,13776441.027107371,5.14306076,113364.91721435204,Sell
6,VN:DXS,2023-08-01,9339374.765083909,8.676943,129659.55598763436,Buy
7,VN:DXS,2023-08-11,9339374.765083909,8.95302755,133785.08731451363,Sell
8,VN:DXS,2023-11-01,14578930.797914129,5.6,130627.2199493106,Buy
9,VN:DXS,2023-11-13,14578930.797914129,7.0,163284.02493663825,Sell
10,VN:DXS,2024-07-30,16241747.755656675,5.6,145526.0598906838,Buy
11,VN:DXS,2024-08-09,16241747.755656675,5.58,145006.3239625028,Sell
12,VN:DXS,2024-09-04,15689678.085433738,5.94,149114.70052396227,Buy
13,VN:DXS,2024-09-26,15689678.085433738,5.97,149867.80507206309,Sell
14,VN:DXS,2024-12-03,13151597.896678504,7.65,160975.5582553449,Buy
15,VN:DXS,2024-12-13,13151597.896678504,7.74,162869.3883524666,Sell
16,VN:DXS,2025-06-13,16239016.083228562,9.0,233841.8315984913,Buy
17,VN:DXS,2025-09-25,16239016.083228562,13.1,340369.77710447065,Sell
18,VN:DXS,2025-12-24,22628549.952382237,9.49,343591.9024769719,Buy
19,VN:DXS,2026-01-07,22628549.952382237,8.81,318972.04012878006,Sell
