Order Id,Column,Index,Size,Price,Fees,Side
0,VN:ANV,2021-06-22,2449416.1763814515,13.1242329,51434.73338857224,Buy
1,VN:ANV,2021-07-02,2449416.1763814515,14.01217605,54914.641093079605,Sell
2,VN:ANV,2022-04-21,2624530.4182623755,21.144197499999997,88789.74321359563,Buy
3,VN:ANV,2022-04-27,2624530.4182623755,18.6068938,78134.97402796418,Sell
4,VN:ANV,2022-09-30,3703920.667641993,17.449527200000002,103410.66309865781,Buy
5,VN:ANV,2022-10-10,3703920.667641993,14.867709399999999,88110.10580344821,Sell
6,VN:ANV,2022-11-15,7394487.187007496,7.4156117,87735.43311915662,Buy
7,VN:ANV,2022-11-25,7394487.187007496,9.00467135,106535.8830732616,Sell
8,VN:ANV,2023-11-01,7106432.34981202,12.397943999999999,140968.24050041253,Buy
9,VN:ANV,2023-11-13,7106432.34981202,13.8046338,156962.7139418055,Sell
10,VN:ANV,2024-12-13,5377054.3167110365,19.89344805,171149.04113843082,Buy
11,VN:ANV,2025-01-07,5377054.3167110365,18.15095625,156157.88425039305,Sell
12,VN:ANV,2025-09-15,7453124.645239607,28.267089199999997,337085.0226651301,Buy
13,VN:ANV,2025-09-25,7453124.645239607,27.25063565,324963.8146583361,Sell
14,VN:ANV,2025-10-07,6937501.131608787,29.186737649999998,323972.84075975005,Buy
15,VN:ANV,2025-10-17,6937501.131608787,30.929229449999998,343314.5028946605,Sell
0,VN:BCM,2022-02-11,644928.0232630174,74.96,77350.08739807326,Buy
1,VN:BCM,2022-03-07,644928.0232630174,72.591,74905.5522186971,Sell
2,VN:BCM,2022-08-25,817545.0874991423,85.858,112308.45779600219,Buy
3,VN:BCM,2022-09-30,817545.0874991423,85.858,112308.45779600219,Sell
4,VN:BCM,2026-04-24,4265019.981049254,54.2,369862.5327565913,Buy
5,VN:BCM,2026-05-11,4265019.981049254,52.0,354849.6624232979,Sell
0,VN:BID,2023-02-21,2191201.1123843454,33.5489175,117619.88055246501,Buy
1,VN:BID,2023-03-15,2191201.1123843454,33.9478776,119018.60345633216,Sell
0,VN:BMP,2023-05-15,1341675.1798677298,57.327,123062.74085804375,Buy
1,VN:BMP,2023-05-25,1341675.1798677298,57.82,124121.05423992344,Sell
2,VN:BMP,2024-09-26,951611.019414041,106.138,161603.344605708,Buy
3,VN:BMP,2024-10-08,951611.019414041,101.386,154368.05570289912,Sell
4,VN:BMP,2024-10-18,934775.2520560889,107.056,160117.27901458665,Buy
5,VN:BMP,2024-11-21,934775.2520560889,104.55,156369.20416394257,Sell
6,VN:BMP,2024-12-25,888435.4438369422,119.796,170289.61988782455,Buy
7,VN:BMP,2025-01-07,888435.4438369422,117.531,167069.92983935945,Sell
0,VN:BSI,2021-08-17,1844803.4468497992,19.227314500000002,56752.985701224214,Buy
1,VN:BSI,2021-08-27,1844803.4468497992,20.381431,60159.57465685016,Sell
2,VN:BSI,2021-10-14,1812056.7248203256,22.874124,66318.73634971841,Buy
3,VN:BSI,2021-10-26,1812056.7248203256,23.42398275,67912.9367427405,Sell
4,VN:BSI,2023-04-06,4013386.3733900716,18.855525,121079.21135698534,Buy
5,VN:BSI,2023-06-16,4013386.3733900716,24.17278305,155223.5489596552,Sell
6,VN:BSI,2023-11-23,2642056.6673800005,35.4528603,149869.54549329076,Buy
7,VN:BSI,2023-12-15,2642056.6673800005,37.3535964,157904.50947078652,Sell
8,VN:BSI,2024-01-19,2323619.2431327733,42.3120384,157307.30662786055,Buy
9,VN:BSI,2024-02-19,2323619.2431327733,44.625978,165910.04995907168,Sell
10,VN:BSI,2024-03-22,2032870.7614117484,51.6504375,167997.8627325999,Buy
11,VN:BSI,2024-04-03,2032870.7614117484,52.890048,172029.81143818225,Sell
12,VN:BSI,2024-04-15,2121577.2730542747,48.344809500000004,164107.59856854146,Buy
13,VN:BSI,2024-04-26,2121577.2730542747,42.3120384,143629.21447366363,Sell
14,VN:BSI,2024-07-30,2532367.691428895,38.7598082,157046.53761865722,Buy
15,VN:BSI,2024-08-09,2532367.691428895,44.1216574,178771.61550728738,Sell
16,VN:BSI,2025-03-11,2604459.4000736233,51.982673600000005,216618.8206375664,Buy
17,VN:BSI,2025-03-21,2604459.4000736233,50.8012492,211695.66562307623,Sell
0,VN:BVH,2026-02-10,2978358.4006716185,74.9,356926.4707364868,Buy
1,VN:BVH,2026-03-11,2978358.4006716185,74.5,355020.3213600569,Sell
0,VN:CII,2022-05-05,3106334.8091085926,17.049889999999998,84740.266877556,Buy
1,VN:CII,2022-05-16,3106334.8091085926,14.4924065,72029.2268459226,Sell
2,VN:CII,2022-12-29,7632372.809009162,10.074935,123033.05591445556,Buy
3,VN:CII,2023-01-11,7632372.809009162,10.84993,132497.13713864447,Sell
4,VN:CII,2023-11-01,7645366.624186843,11.52399285,140968.24050041253,Buy
5,VN:CII,2023-11-13,7645366.624186843,13.42485765,164220.73377883105,Sell
6,VN:CII,2023-12-15,7305571.821415698,13.226850899999999,154607.53475377097,Buy
7,VN:CII,2023-12-27,7305571.821415698,13.306053599999998,155533.32837505106,Sell
8,VN:CII,2025-09-25,7914174.337171894,26.1,330495.9203202983,Buy
9,VN:CII,2025-10-29,7914174.337171894,25.05,317200.10743384954,Sell
0,VN:CMG,2024-06-26,1863983.6463406908,53.055,158229.84377056858,Buy
1,VN:CMG,2024-07-08,1863983.6463406908,52.236,155787.2796004037,Sell
2,VN:CMG,2024-09-16,2394101.026827983,41.265,158068.12619529077,Buy
3,VN:CMG,2024-09-26,2394101.026827983,42.165,161515.63167392305,Sell
4,VN:CMG,2024-11-21,2347477.4525275254,44.212,166058.67700983514,Buy
5,VN:CMG,2024-12-03,2347477.4525275254,47.733,179283.42598639417,Sell
6,VN:CMG,2025-04-15,4500499.58203591,29.132,209773.68611819224,Buy
7,VN:CMG,2025-05-22,4500499.58203591,30.178,217305.72221868756,Sell
0,VN:CTD,2022-05-17,1593506.939446556,30.558,77911.01608897257,Buy
1,VN:CTD,2022-06-30,1593506.939446556,35.624,90827.34593735059,Sell
2,VN:CTD,2022-11-15,3286266.6726281242,16.686,87735.43311915662,Buy
3,VN:CTD,2022-12-19,3286266.6726281242,24.632,129515.71308828154,Sell
4,VN:CTD,2023-04-28,1949281.6902207169,39.067,121844.1404669644,Buy
5,VN:CTD,2023-06-28,1949281.6902207169,45.887,143114.70227065287,Sell
6,VN:CTD,2023-11-23,1727945.4311781786,54.208,149869.54549329073,Buy
7,VN:CTD,2023-12-05,1727945.4311781786,56.857,157193.26940879633,Sell
8,VN:CTD,2023-12-27,1587880.6980990446,61.536,156338.9226211565,Buy
9,VN:CTD,2024-01-19,1587880.6980990446,60.918,154768.82618687616,Sell
10,VN:CTD,2025-02-05,1678769.053168071,71.602,192325.15479190435,Buy
11,VN:CTD,2025-03-11,1678769.053168071,81.997,220246.4416841957,Sell
0,VN:CTR,2022-11-15,1575100.61469285,34.8134241,87735.4331191566,Buy
1,VN:CTR,2022-11-25,1575100.61469285,41.554485,104723.99178679171,Sell
2,VN:CTR,2024-06-26,691149.9505080086,143.085668,158229.84377056858,Buy
3,VN:CTR,2024-07-08,691149.9505080086,141.172758,156114.4715276465,Sell
0,VN:CTS,2021-03-19,2584354.575634672,8.62470675,35662.880564591585,Buy
1,VN:CTS,2021-03-31,2584354.575634672,8.27471865,34215.69120834729,Sell
2,VN:CTS,2021-06-10,2871588.7276624357,10.5996396,48700.48894823099,Buy
3,VN:CTS,2021-06-22,2871588.7276624357,10.999626000000001,50538.243248164246,Sell
4,VN:CTS,2021-07-02,2561799.4487831537,12.9495597,53078.67984231126,Buy
5,VN:CTS,2021-07-12,2561799.4487831537,9.97466085,40884.92906772625,Sell
6,VN:CTS,2021-08-27,2427537.335836172,14.649501899999999,56899.540501844705,Buy
7,VN:CTS,2021-09-10,2427537.335836172,15.074487450000001,58550.209765550106,Sell
8,VN:CTS,2021-12-31,2105182.534590563,23.174212049999998,78057.51433689306,Buy
9,VN:CTS,2022-01-13,2105182.534590563,21.6492639,72921.04359843516,Sell
10,VN:CTS,2022-07-22,6255138.402948216,9.53119415,95390.30168579519,Buy
11,VN:CTS,2022-08-03,6255138.402948216,11.232228800000001,112414.63314812953,Sell
12,VN:CTS,2023-06-28,5337886.178925457,15.26587395,130379.99610707708,Buy
13,VN:CTS,2023-07-10,5337886.178925457,15.82480755,135153.63440848037,Sell
14,VN:CTS,2023-09-06,4560547.21785864,20.960009999999997,152942.5844668628,Buy
15,VN:CTS,2023-09-18,4560547.21785864,22.0778772,161099.5223050955,Sell
16,VN:CTS,2024-03-12,4018652.4372649635,25.745878949999998,165541.98270711393,Buy
17,VN:CTS,2024-04-03,4018652.4372649635,27.42267975,176323.5501018785,Sell
18,VN:CTS,2024-04-15,3894010.576060204,26.3397459,164107.59856854143,Buy
19,VN:CTS,2024-04-26,3894010.576060204,24.802678500000003,154531.0278297937,Sell
20,VN:CTS,2024-05-23,3378367.018888866,30.6016146,165413.5767830208,Buy
21,VN:CTS,2024-06-04,3378367.018888866,30.6714813,165791.23335101857,Sell
22,VN:CTS,2024-06-14,3370604.351532066,29.9029476,161265.60848671256,Buy
23,VN:CTS,2024-06-26,3370604.351532066,27.702146550000002,149396.76113313442,Sell
24,VN:CTS,2026-01-07,8753113.64312474,24.947,349382.2816880527,Buy
25,VN:CTS,2026-02-27,8753113.64312474,24.83,347743.6988140597,Sell
26,VN:CTS,2026-03-23,10975191.730295425,19.121,335770.6257199661,Buy
27,VN:CTS,2026-04-14,10975191.730295425,21.937,385220.44957998523,Sell
0,VN:DBC,2021-11-29,1795807.3505837505,28.33857,81424.97969765145,Buy
1,VN:DBC,2021-12-09,1795807.3505837505,27.233544000000002,78249.9175962336,Sell
2,VN:DBC,2023-07-10,4530875.279420461,18.1664856,131696.12883038045,Buy
3,VN:DBC,2023-08-01,4530875.279420461,18.577661199999998,134676.90540884584,Sell
4,VN:DBC,2024-06-04,3852618.91733242,26.838552800000002,165437.945969768,Buy
5,VN:DBC,2024-06-14,3852618.91733242,26.3152384,162212.13643832403,Sell
0,VN:DCM,2021-03-09,1756132.590595527,12.4147464,34883.105211229595,Buy
1,VN:DCM,2021-03-31,1756132.590595527,12.895078849999999,36232.74916285454,Sell
2,VN:DCM,2021-08-17,1505256.2194877253,18.2856165,44039.26074206829,Buy
3,VN:DCM,2021-09-10,1505256.2194877253,19.25004775,46362.006561797105,Sell
4,VN:DCM,2021-09-22,1964511.9051093557,18.9028525,59415.80604284184,Buy
5,VN:DCM,2021-10-14,1964511.9051093557,24.7665945,77846.83159082543,Sell
6,VN:DCM,2023-09-06,3322040.7331764577,28.7742153,152942.5844668628,Buy
7,VN:DCM,2023-09-28,3322040.7331764577,29.4016904,156277.78101286915,Sell
0,VN:DGC,2022-03-29,608699.3688579776,89.124,86799.55608015743,Buy
1,VN:DGC,2022-05-05,608699.3688579776,92.361,89952.13185134668,Sell
2,VN:DGC,2022-06-08,519643.90423055424,108.388,90117.0615867861,Buy
3,VN:DGC,2022-06-20,519643.90423055424,105.847,88004.39732974635,Sell
4,VN:DGC,2022-08-15,874384.6164674216,78.835,110291.37798273469,Buy
5,VN:DGC,2022-08-25,874384.6164674216,83.323,116570.15903666394,Sell
6,VN:DGC,2022-09-08,847894.968110798,81.968,111200.40759376944,Buy
7,VN:DGC,2022-09-29,847894.968110798,61.476,83400.30569532707,Sell
8,VN:DGC,2023-09-28,1091409.8773586082,84.776,148040.5820207254,Buy
9,VN:DGC,2023-10-20,1091409.8773586082,82.068,143311.721304106,Sell
10,VN:DGC,2024-05-13,883392.1498706943,114.345,161618.36060314326,Buy
11,VN:DGC,2024-05-23,883392.1498706943,119.008,168209.17275489852,Sell
12,VN:DGC,2026-03-23,4059122.6513535553,51.7,335770.62571996613,Buy
13,VN:DGC,2026-04-02,4059122.6513535553,54.0,350708.1970769472,Sell
14,VN:DGC,2026-04-14,3941274.7130348925,56.3,355030.0261501831,Buy
15,VN:DGC,2026-04-24,3941274.7130348925,53.3,336111.9075276156,Sell
16,VN:DGC,2026-05-21,5220224.3951449925,48.0,400913.2335471355,Buy
0,VN:DGW,2021-02-25,1067023.0598503973,18.656,31850.21152731042,Buy
1,VN:DGW,2021-03-09,1067023.0598503973,22.332,38126.01435612652,Sell
2,VN:DGW,2022-03-29,960818.2946069638,56.462,86799.55608015743,Buy
3,VN:DGW,2022-04-08,960818.2946069638,54.672,84047.77248440307,Sell
4,VN:DGW,2022-07-12,1405283.730368564,39.844,89587.39992449433,Buy
5,VN:DGW,2022-07-22,1405283.730368564,44.03,98999.4282370046,Sell
6,VN:DGW,2023-02-09,2527489.310070411,29.486,119240.87967477783,Buy
7,VN:DGW,2023-02-21,2527489.310070411,30.172,122015.05194151112,Sell
8,VN:DGW,2023-04-18,3129309.634873889,24.578,123059.47552948871,Buy
9,VN:DGW,2023-04-28,3129309.634873889,24.758,123960.71670433239,Sell
0,VN:DIG,2022-04-21,1208516.8683668366,45.9187546,88789.74321359563,Buy
1,VN:DIG,2022-05-09,1208516.8683668366,35.769787199999996,69165.42593454744,Sell
2,VN:DIG,2022-06-08,1391623.9474440177,39.03449,86914.12969642133,Buy
3,VN:DIG,2022-06-15,1391623.9474440177,29.7726701,66291.77710481676,Sell
4,VN:DIG,2022-06-30,2252256.3271523025,25.124017199999997,90537.16272349656,Buy
5,VN:DIG,2022-08-03,2252256.3271523025,34.177730499999996,123163.21562612994,Sell
6,VN:DIG,2022-11-15,6274621.63529298,8.7391159,87735.43311915662,Buy
7,VN:DIG,2022-12-07,6274621.63529298,14.4498253,145067.49832573422,Sell
8,VN:DIG,2023-01-11,5893951.727200722,13.4115145,126474.91048264405,Buy
9,VN:DIG,2023-02-09,5893951.727200722,12.805833199999999,120763.14033181497,Sell
10,VN:DIG,2023-03-15,7170425.478796885,10.166793250000001,116640.37337193632,Buy
11,VN:DIG,2023-04-06,7170425.478796885,13.7576181,157836.7605628755,Sell
0,VN:DPM,2021-10-04,2568456.345570655,14.837774999999999,60976.283764639404,Buy
1,VN:DPM,2021-11-05,2568456.345570655,19.9024022,81789.521956303,Sell
2,VN:DPM,2022-03-07,1955783.4678570514,26.162232,81868.25732454516,Buy
3,VN:DPM,2022-04-08,1955783.4678570514,25.8783008,80979.76460939506,Sell
0,VN:DXG,2021-01-05,1452404.8527402363,11.475221,26666.666666666668,Buy
1,VN:DXG,2021-01-27,1452404.8527402363,14.175272999999999,32941.17647058824,Sell
2,VN:DXG,2021-04-12,1373397.7170592526,16.8078237,36934.12271730304,Buy
3,VN:DXG,2021-04-23,1373397.7170592526,16.23406265,35673.31933137101,Sell
4,VN:DXG,2022-03-07,1571014.3483686226,32.569824,81868.25732454516,Buy
5,VN:DXG,2022-03-17,1571014.3483686226,32.2596352,81088.55963573996,Sell
6,VN:DXG,2024-07-18,8595210.679484943,11.538255600000001,158677.98040919515,Buy
7,VN:DXG,2024-07-30,8595210.679484943,11.2109292,154176.47741886336,Sell
8,VN:DXG,2026-04-02,17265482.18399355,12.697,350751.72366426577,Buy
9,VN:DXG,2026-04-14,17265482.18399355,13.488,372602.91791632795,Sell
0,VN:DXS,2022-08-03,5136071.871323079,12.8254395,105395.80648528949,Buy
1,VN:DXS,2022-08-15,5136071.871323079,13.43446875,110400.6352848703,Sell
2,VN:DXS,2022-11-25,14672867.995701876,4.5435628800000005,106667.35738945768,Buy
3,VN:DXS,2022-12-07,14672867.995701876,5.39548092,126667.48689998098,Sell
4,VN:DXS,2023-01-11,15229457.913028339,5.19038954,126474.91048264405,Buy
5,VN:DXS,2023-01-30,15229457.913028339,5.14306076,125321.64382170807,Sell
6,VN:DXS,2023-08-01,10078694.578355663,8.676943,139923.6133932818,Buy
7,VN:DXS,2023-08-11,10078694.578355663,8.95302755,144375.72836488622,Sell
8,VN:DXS,2023-11-01,15733062.555849612,5.6,140968.24050041253,Buy
9,VN:DXS,2023-11-13,15733062.555849612,7.0,176210.30062551567,Sell
10,VN:DXS,2024-07-30,17527515.359225135,5.6,157046.53761865722,Buy
11,VN:DXS,2024-08-09,17527515.359225135,5.58,156485.657127162,Sell
12,VN:DXS,2024-09-04,16931741.445618767,5.94,160919.27069916078,Buy
13,VN:DXS,2024-09-26,16931741.445618767,5.97,161731.99428855046,Sell
14,VN:DXS,2024-12-03,14192735.75727721,7.65,173719.08566907307,Buy
15,VN:DXS,2024-12-13,14192735.75727721,7.74,175762.83961812095,Sell
16,VN:DXS,2025-06-13,17122252.55969538,9.0,246560.43685961352,Buy
17,VN:DXS,2025-09-25,17122252.55969538,13.1,358882.4136512152,Sell
18,VN:DXS,2025-12-24,23184235.59722568,9.49,352029.4333082748,Buy
19,VN:DXS,2026-01-07,23184235.59722568,8.81,326804.98497849324,Sell
20,VN:DXS,2026-03-11,35160502.388794065,6.18,347667.0476203957,Buy
21,VN:DXS,2026-03-23,35160502.388794065,5.84,328539.73432089173,Sell
