Order Id,Column,Index,Size,Price,Fees,Side
0,VN:ACB,2026-01-07,5842586.122571365,21.255,198694.668856407,Buy
1,VN:ACB,2026-01-19,5842586.122571365,21.643,202321.7463212993,Sell
0,VN:ANV,2021-01-05,1536065.444154268,10.85023215,26666.66666666667,Buy
1,VN:ANV,2021-01-15,1536065.444154268,10.72028925,26347.305389221558,Sell
2,VN:ANV,2021-06-22,1748537.2477354736,13.1242329,36717.13611777127,Buy
3,VN:ANV,2021-07-14,1748537.2477354736,11.11011795,31082.328099695173,Sell
4,VN:ANV,2022-03-29,1913212.7552156823,19.4971758,59683.592689991,Buy
5,VN:ANV,2022-04-08,1913212.7552156823,17.7166118,54233.036279943466,Sell
6,VN:ANV,2022-06-08,1300465.1281448072,25.373037,52794.79970180616,Buy
7,VN:ANV,2022-06-30,1300465.1281448072,23.592473000000002,49089.901477116655,Sell
8,VN:ANV,2022-09-20,1657992.085182676,20.3874578,54083.589871034026,Buy
9,VN:ANV,2022-09-30,1657992.085182676,17.449527200000002,46289.88478044773,Sell
10,VN:ANV,2023-11-01,3795435.3583012545,12.397943999999999,75288.95204454222,Buy
11,VN:ANV,2023-11-13,3795435.3583012545,13.8046338,83831.35237267298,Sell
12,VN:ANV,2025-07-07,3968012.927187448,22.8460036,145045.18019099534,Buy
13,VN:ANV,2025-07-17,3968012.927187448,22.265172999999997,141357.59086410387,Sell
14,VN:ANV,2025-08-08,2825806.9613088993,26.524597399999998,119925.42716613412,Buy
15,VN:ANV,2025-08-20,2825806.9613088993,26.379389749999998,119268.90110500899,Sell
16,VN:ANV,2025-09-03,3820796.1889711134,25.99216935,158897.2505529225,Buy
17,VN:ANV,2025-10-17,3820796.1889711134,30.929229449999998,189078.851216597,Sell
0,VN:BCM,2022-02-11,504349.706896482,74.96,60489.68644633889,Buy
1,VN:BCM,2022-03-07,504349.706896482,72.591,58577.99931731603,Sell
2,VN:BCM,2022-08-15,527290.0360976069,76.192,64280.45188856125,Buy
3,VN:BCM,2022-09-08,527290.0360976069,83.394,70356.52043251813,Sell
4,VN:BCM,2025-06-13,1539050.5310823922,58.487,144023.11745826542,Buy
5,VN:BCM,2025-07-07,1539050.5310823922,64.876,159755.90760720207,Sell
6,VN:BCM,2026-04-24,169551.08326584424,54.2,14703.469940815121,Buy
7,VN:BCM,2026-05-11,169551.08326584424,52.0,14106.650127718241,Sell
0,VN:BID,2022-01-25,1032843.6619812185,35.543718,58737.7661752764,Buy
1,VN:BID,2022-02-11,1032843.6619812185,34.7457978,57419.163261137546,Sell
2,VN:BID,2022-05-17,1417567.3003519922,24.9894099,56678.672526931754,Buy
3,VN:BID,2022-05-27,1417567.3003519922,25.6059846,58077.1303396427,Sell
4,VN:BID,2022-06-20,1684058.4540594001,21.398769,57658.84454546275,Buy
5,VN:BID,2022-06-30,1684058.4540594001,24.300296999999997,65476.992958406845,Sell
0,VN:BMP,2023-04-28,742654.9325795197,53.523,63598.59193032582,Buy
1,VN:BMP,2023-05-25,742654.9325795197,57.82,68704.49312279653,Sell
2,VN:BMP,2023-12-27,633175.0429651318,83.853,84949.80300440831,Buy
3,VN:BMP,2024-01-31,633175.0429651318,81.638,82705.83065213989,Sell
4,VN:BMP,2024-09-26,197011.15707232157,106.138,33456.59230294824,Buy
5,VN:BMP,2024-10-08,197011.15707232157,101.386,31958.677073495033,Sell
6,VN:BMP,2024-10-18,583824.1119249663,107.056,100002.99860198272,Buy
7,VN:BMP,2024-11-21,583824.1119249663,104.55,97662.09744280837,Sell
8,VN:BMP,2024-12-25,546229.5578694887,119.796,104697.78578325361,Buy
9,VN:BMP,2025-01-07,546229.5578694887,117.531,102718.24986553422,Sell
10,VN:BMP,2025-10-29,893419.645586793,154.643,221057.7508039655,Buy
11,VN:BMP,2025-11-10,893419.645586793,151.459,216506.31376148813,Sell
12,VN:BMP,2026-03-23,834278.0413132894,114.61,152986.5701038658,Buy
13,VN:BMP,2026-04-02,834278.0413132894,122.459,163463.7674578946,Sell
14,VN:BMP,2026-04-14,695768.4176306343,135.509,150852.61200754344,Buy
15,VN:BMP,2026-04-24,695768.4176306343,139.008,154747.80191679875,Sell
0,VN:BSI,2021-05-31,1515714.7217444833,14.1899,34412.54452813044,Buy
1,VN:BSI,2021-06-10,1515714.7217444833,13.9770515,33896.356360209305,Sell
2,VN:BSI,2021-08-17,1342208.1741124839,19.227314500000002,41291.29390101039,Buy
3,VN:BSI,2021-09-22,1342208.1741124839,20.491402750000002,44005.96523212965,Sell
4,VN:BSI,2021-10-14,1286497.6872470204,22.874124,47084.012198082506,Buy
5,VN:BSI,2021-11-29,1286497.6872470204,36.62059275,75379.692605584,Sell
6,VN:BSI,2022-05-17,2100786.7729666354,16.862334999999998,56678.672526931754,Buy
7,VN:BSI,2022-06-08,2100786.7729666354,23.460639999999998,78857.28351573113,Sell
8,VN:BSI,2023-03-03,2624702.1959959096,12.897179099999999,54162.00688947608,Buy
9,VN:BSI,2023-03-15,2624702.1959959096,13.7268222,57646.11259581665,Sell
10,VN:BSI,2023-04-28,1804870.4973547522,22.0232532,63598.59193032582,Buy
11,VN:BSI,2023-07-20,1804870.4973547522,26.9408682,77799.64509968452,Sell
12,VN:BSI,2025-02-05,429316.02245896263,41.9860056,28840.423877011985,Buy
13,VN:BSI,2025-02-17,429316.02245896263,42.076884400000004,28902.849036917723,Sell
14,VN:BSI,2025-11-20,3176906.1208076905,41.0,208405.04152498452,Buy
15,VN:BSI,2025-12-02,3176906.1208076905,39.05,198493.0944280645,Sell
0,VN:BVH,2026-02-10,1340816.61601875,74.9,160683.46326369047,Buy
1,VN:BVH,2026-03-11,1340816.61601875,74.5,159825.340629435,Sell
0,VN:CII,2021-12-21,1251107.2344816334,31.89104425,63838.58588215824,Buy
1,VN:CII,2021-12-31,1251107.2344816334,35.959768,71983.24143212981,Sell
2,VN:CII,2022-04-08,1748180.7868600867,23.714847000000002,66332.54382196252,Buy
3,VN:CII,2022-04-21,1748180.7868600867,17.553636750000003,49099.08880939383,Sell
4,VN:CII,2022-05-27,2126973.1023194985,17.01114025,57891.580402456224,Buy
5,VN:CII,2022-06-08,2126973.1023194985,16.5073935,56177.251142245965,Sell
6,VN:CII,2022-11-15,3320325.369814601,8.331196250000001,44259.65163164683,Buy
7,VN:CII,2023-01-11,3320325.369814601,10.84993,57640.476543540055,Sell
8,VN:CII,2023-03-03,3359947.6627812036,10.074935,54162.00688947608,Buy
9,VN:CII,2023-03-15,3359947.6627812036,11.159928,59994.83840065042,Sell
10,VN:CII,2023-09-06,2137873.0120898476,18.0573835,61767.02856577188,Buy
11,VN:CII,2023-09-18,2137873.0120898476,17.5923865,60176.46130656604,Sell
12,VN:CII,2023-11-01,372640.8889441036,11.52399285,6870.897503695451,Buy
13,VN:CII,2023-11-13,372640.8889441036,13.42485765,8004.24142183048,Sell
14,VN:CII,2023-12-15,3939652.9566532373,13.226850899999999,83374.72360863445,Buy
15,VN:CII,2023-12-27,3939652.9566532373,13.306053599999998,83873.97345060232,Sell
16,VN:CII,2025-09-15,3924888.191432642,23.65,148517.76916381717,Buy
17,VN:CII,2025-10-29,3924888.191432642,25.05,157309.51871262028,Sell
18,VN:CII,2026-01-19,6299661.464466066,18.9,190501.76268545384,Buy
19,VN:CII,2026-02-10,6299661.464466066,17.05,171854.7647506343,Sell
20,VN:CII,2026-02-27,5918385.522527412,17.65,167135.20715618134,Buy
21,VN:CII,2026-03-11,5918385.522527412,15.8,149616.78600949296,Sell
0,VN:CMG,2022-04-08,1396874.554018888,29.679,66332.54382196252,Buy
1,VN:CMG,2022-04-21,1396874.554018888,32.148,71850.75706015875,Sell
2,VN:CMG,2022-09-30,1286478.8608404263,29.364,60441.86443154926,Buy
3,VN:CMG,2022-10-12,1286478.8608404263,26.03,53579.27159628208,Sell
4,VN:CMG,2024-09-04,1233386.2485063558,43.393,85632.52717030048,Buy
5,VN:CMG,2024-10-18,1233386.2485063558,42.657,84180.09152405699,Sell
6,VN:CMG,2024-11-21,1436467.6883519385,44.212,101614.57509986547,Buy
7,VN:CMG,2025-01-17,1436467.6883519385,43.13,99127.76223779058,Sell
8,VN:CMG,2025-04-02,573134.9959423105,34.95,32049.70897309482,Buy
9,VN:CMG,2025-04-09,573134.9959423105,26.224,24047.827413745847,Sell
10,VN:CMG,2025-05-12,2812766.294290558,30.814,138676.12894763082,Buy
11,VN:CMG,2025-05-22,2812766.294290558,30.178,135813.85796656075,Sell
12,VN:CMG,2026-05-11,3922003.2222251417,27.0,169430.53920012614,Buy
13,VN:CMG,2026-05-21,3922003.2222251417,27.9,175078.22384013032,Sell
0,VN:CTD,2022-04-21,1044143.3020460495,40.524,67700.58107538258,Buy
1,VN:CTD,2022-05-10,1044143.3020460495,32.313,53983.0440304224,Sell
2,VN:CTD,2022-07-12,883164.2576786758,41.053,58010.46763277054,Buy
3,VN:CTD,2022-07-22,883164.2576786758,38.405,54268.67730583928,Sell
4,VN:CTD,2022-10-12,1270747.2807815615,29.3,59572.6325230396,Buy
5,VN:CTD,2022-10-24,1270747.2807815615,26.685,54255.825900249554,Sell
6,VN:CTD,2022-12-07,1698333.4609863625,21.255,57756.92434122422,Buy
7,VN:CTD,2023-01-11,1698333.4609863625,23.407,63604.62611409246,Sell
8,VN:CTD,2023-02-21,1485179.2643789959,24.864,59083.995567230966,Buy
9,VN:CTD,2023-03-15,1485179.2643789959,24.897,59162.41303239018,Sell
10,VN:CTD,2023-04-28,187313.4453411671,39.067,11708.438990629278,Buy
11,VN:CTD,2023-08-01,187313.4453411671,44.298,13276.177602756834,Sell
12,VN:CTD,2023-12-27,862805.949001482,61.536,84949.80300440831,Buy
13,VN:CTD,2024-01-19,862805.949001482,60.918,84096.66048203566,Sell
0,VN:CTG,2022-05-05,2346779.2904695757,17.127,64309.26225259588,Buy
1,VN:CTG,2022-05-27,2346779.2904695757,16.575,62236.58678325315,Sell
2,VN:CTG,2022-06-20,2442967.662255332,13.874,54229.97335381061,Buy
3,VN:CTG,2022-06-30,2442967.662255332,16.053,62747.13581149576,Sell
0,VN:CTR,2022-07-22,626242.4527446235,60.8542347,60975.20831747997,Buy
1,VN:CTR,2022-08-03,626242.4527446235,64.82499659999999,64953.863791913405,Sell
2,VN:CTR,2024-04-26,497098.74495896825,118.60042,94329.79189377044,Buy
3,VN:CTR,2024-05-23,497098.74495896825,125.869478,100111.29526790474,Sell
4,VN:CTR,2024-10-30,500994.4693650529,124.89895440000001,100117.89661420471,Buy
5,VN:CTR,2024-11-11,500994.4693650529,126.36375840000001,101292.0705385308,Sell
6,VN:CTR,2025-01-07,504087.90191160835,126.94967999999999,102390.07654328644,Buy
7,VN:CTR,2025-02-17,504087.90191160835,113.8640976,91836.02249958816,Sell
0,VN:CTS,2021-08-27,1746009.3781893924,14.649501899999999,40925.068325125314,Buy
1,VN:CTS,2021-09-22,1746009.3781893924,14.07452145,39318.79431236443,Sell
2,VN:CTS,2021-11-29,1649666.5567451008,23.6991942,62553.22894967595,Buy
3,VN:CTS,2021-12-07,1649666.5567451008,19.2493455,50808.00241693089,Sell
4,VN:CTS,2021-12-21,1470036.990491896,20.874290249999998,49097.56610842422,Buy
5,VN:CTS,2022-01-13,1470036.990491896,21.6492639,50920.34999987336,Sell
6,VN:CTS,2022-04-21,2282932.8508323333,14.4722948,52862.843561362475,Buy
7,VN:CTS,2022-05-05,2282932.8508323333,12.825261249999999,46846.73636501113,Sell
8,VN:CTS,2022-05-27,3171008.2951863767,11.907242550000001,60412.7438381539,Buy
9,VN:CTS,2022-06-08,3171008.2951863767,11.3942321,57809.927210206224,Sell
10,VN:CTS,2022-07-22,3333696.032121931,9.53119415,50838.566590782255,Buy
11,VN:CTS,2022-08-03,3333696.032121931,11.232228800000001,59911.738531913106,Sell
12,VN:CTS,2022-11-15,5251053.365283086,5.26794918,44259.65163164684,Buy
13,VN:CTS,2022-12-07,5251053.365283086,8.7333375,73374.75403124475,Sell
