Order Id,Column,Index,Size,Price,Fees,Side
0,VN:ANV,2022-04-21,1463022.6459642986,21.144197499999997,49495.10363718672,Buy
1,VN:ANV,2022-05-05,1463022.6459642986,20.253915499999998,47411.09927351571,Sell
2,VN:ANV,2022-06-08,1135724.7350599926,25.373037,46106.85715918783,Buy
3,VN:ANV,2022-06-20,1135724.7350599926,27.4651997,49908.650644243666,Sell
4,VN:ANV,2022-09-30,1843628.1854981827,17.449527200000002,51472.7042712595,Buy
5,VN:ANV,2022-10-12,1843628.1854981827,14.1554838,41755.918260868675,Sell
6,VN:ANV,2023-11-01,2429544.754121217,12.397943999999999,48194.175691341785,Buy
7,VN:ANV,2023-11-13,2429544.754121217,13.8046338,53662.36101016711,Sell
8,VN:ANV,2025-10-07,2265399.4901644913,29.186737649999998,105791.39294699961,Buy
9,VN:ANV,2025-10-17,2265399.4901644913,30.929229449999998,112107.29700353692,Sell
0,VN:BCM,2022-02-11,352832.47065970954,74.96,42317.315201042926,Buy
1,VN:BCM,2022-02-23,352832.47065970954,78.845,44510.521838663684,Sell
2,VN:BCM,2022-08-15,422437.49802209885,76.192,51498.1725588796,Buy
3,VN:BCM,2022-09-30,422437.49802209885,85.858,58031.42192829019,Sell
4,VN:BCM,2026-04-24,1288314.307692036,54.2,111722.61676305337,Buy
5,VN:BCM,2026-05-11,1288314.307692036,52.0,107187.7503999774,Sell
0,VN:BID,2023-02-21,751397.2324545525,33.5489175,40333.702018153774,Buy
1,VN:BID,2023-03-15,751397.2324545525,33.9478776,40813.34604215344,Sell
0,VN:BMP,2024-09-26,309929.97832980345,106.138,52632.55686394989,Buy
1,VN:BMP,2024-10-08,309929.97832980345,101.386,50276.09725271272,Sell
2,VN:BMP,2024-10-18,306764.4877347349,107.056,52545.56639828765,Buy
3,VN:BMP,2024-11-11,306764.4877347349,110.891,54427.87329502799,Sell
4,VN:BMP,2024-12-25,296076.13368865784,119.796,56749.978418186336,Buy
5,VN:BMP,2025-01-07,296076.13368865784,117.531,55676.998509698635,Sell
0,VN:BSI,2021-01-05,1654287.7965141311,10.074829,26666.666666666668,Buy
1,VN:BSI,2021-01-27,1654287.7965141311,9.223435,24413.145539906105,Sell
2,VN:BSI,2021-07-02,1057491.3297270485,18.304971000000002,30971.7569974481,Buy
3,VN:BSI,2021-07-14,1057491.3297270485,14.615597,24729.387370055458,Sell
4,VN:BSI,2023-04-06,1396111.9849004226,18.855525,42119.07909454327,Buy
5,VN:BSI,2023-06-28,1396111.9849004226,25.304114549999998,56523.80414487705,Sell
6,VN:BSI,2023-12-05,788849.6525826948,39.46093425,49805.9908379217,Buy
7,VN:BSI,2023-12-15,788849.6525826948,37.3535964,47146.19446856672,Sell
8,VN:BSI,2024-01-19,745999.6902992302,42.3120384,50503.62806772661,Buy
9,VN:BSI,2024-02-19,745999.6902992302,44.625978,53265.54522768042,Sell
10,VN:BSI,2024-03-22,654884.9526308846,51.6504375,54120.15090488315,Buy
11,VN:BSI,2024-04-26,654884.9526308846,42.3120384,44335.227621280275,Sell
12,VN:BSI,2024-10-08,710726.8703452521,45.9846728,52292.06813279111,Buy
13,VN:BSI,2024-10-30,710726.8703452521,43.2128694,49140.07588368018,Sell
14,VN:BSI,2025-03-11,825968.5887554555,51.982673600000005,68697.68888500397,Buy
15,VN:BSI,2025-03-21,825968.5887554555,50.8012492,67136.37777398115,Sell
16,VN:BSI,2025-12-02,1794435.0959454991,39.05,112116.30479467478,Buy
17,VN:BSI,2025-12-12,1794435.0959454991,37.05,106374.11248764918,Sell
0,VN:BVH,2026-02-10,862492.9115547385,74.9,103361.15052071988,Buy
1,VN:BVH,2026-02-27,862492.9115547385,81.1,111917.08020334288,Sell
0,VN:CII,2021-07-14,1448496.8090855787,12.1674215,28199.153948078823,Buy
1,VN:CII,2021-07-26,1448496.8090855787,12.554919,29097.216175724643,Sell
2,VN:CII,2022-12-29,2557451.2894037482,10.074935,41225.84881025433,Buy
3,VN:CII,2023-01-11,2557451.2894037482,10.84993,44397.06794950466,Sell
4,VN:CII,2023-12-15,2345145.030298687,13.226850899999999,49630.213847418745,Buy
5,VN:CII,2023-12-27,2345145.030298687,13.306053599999998,49927.40075668472,Sell
6,VN:CII,2025-09-15,2894044.073078727,23.65,109510.62772529903,Buy
7,VN:CII,2025-11-10,2894044.073078727,22.3,103259.49252744898,Sell
0,VN:CMG,2024-09-16,779418.3645648222,41.265,51460.31810202782,Buy
1,VN:CMG,2024-09-26,779418.3645648222,42.165,52582.68054700116,Sell
2,VN:CMG,2025-01-07,818598.483810391,43.767,57324.15974548703,Buy
3,VN:CMG,2025-02-05,818598.483810391,41.631,54526.51756721662,Sell
4,VN:CMG,2025-04-02,1231376.5397909402,34.95,68858.57610510939,Buy
5,VN:CMG,2025-05-12,1231376.5397909402,30.814,60709.81871538885,Sell
0,VN:CTD,2022-05-27,853614.3490251307,32.71,44674.760570579245,Buy
1,VN:CTD,2022-06-08,853614.3490251307,37.478,51186.81371642217,Sell
2,VN:CTD,2023-04-28,684949.3656529264,39.067,42814.2669887406,Buy
3,VN:CTD,2023-06-06,684949.3656529264,44.033,48256.60066847249,Sell
4,VN:CTD,2023-06-28,623116.6496179501,45.887,45748.725921630205,Buy
5,VN:CTD,2023-08-01,623116.6496179501,44.298,44164.514151641524,Sell
6,VN:CTD,2023-11-13,567402.0480934818,55.003,49934.103762057246,Buy
7,VN:CTD,2023-12-05,567402.0480934818,56.857,51617.245197521755,Sell
8,VN:CTD,2023-12-27,509728.4470328628,61.536,50186.639546582795,Buy
9,VN:CTD,2024-01-19,509728.4470328628,60.918,49682.6200581567,Sell
10,VN:CTD,2025-02-05,534659.9107002411,71.602,61252.350281533865,Buy
11,VN:CTD,2025-02-27,534659.9107002411,83.879,71754.78183940085,Sell
0,VN:CTR,2025-04-15,515631.2380673117,81.83371679999999,67513.63313477402,Buy
1,VN:CTR,2025-05-22,515631.2380673117,88.5718152,73072.63156711223,Sell
0,VN:CTS,2021-01-05,1857073.354050212,8.97469485,26666.666666666668,Buy
1,VN:CTS,2021-01-15,1857073.354050212,9.0996906,27038.068709377905,Sell
2,VN:CTS,2021-07-02,1494826.7409744489,12.9495597,30971.7569974481,Buy
3,VN:CTS,2021-07-14,1494826.7409744489,9.8496651,23557.66844979643,Sell
4,VN:CTS,2021-11-17,1106975.22654127,21.3992724,37901.54306049336,Buy
5,VN:CTS,2021-12-09,1106975.22654127,20.2993098,35953.33290317828,Sell
6,VN:CTS,2021-12-31,1129066.3258731903,23.174212049999998,41864.355926879536,Buy
7,VN:CTS,2022-01-13,1129066.3258731903,21.6492639,39109.527759091354,Sell
8,VN:CTS,2022-07-22,3149807.4501334834,9.53119415,48034.28214774188,Buy
9,VN:CTS,2022-08-03,3149807.4501334834,11.232228800000001,56606.972729350215,Sell
10,VN:CTS,2023-04-06,2283519.42008438,11.528005499999999,42119.07909454327,Buy
11,VN:CTS,2023-04-18,2283519.42008438,12.33147255,45054.65127385993,Sell
12,VN:CTS,2023-06-28,1872998.15226228,15.26587395,45748.7259216302,Buy
13,VN:CTS,2023-07-10,1872998.15226228,15.82480755,47423.736481689884,Sell
14,VN:CTS,2023-08-01,1663226.4013672352,17.7461418,47225.36250266667,Buy
15,VN:CTS,2023-08-11,1663226.4013672352,18.060541949999998,48062.03231078478,Sell
16,VN:CTS,2023-09-06,1597979.3849208965,20.960009999999997,53589.86222037734,Buy
17,VN:CTS,2023-09-18,1597979.3849208965,22.0778772,56447.98820546414,Sell
18,VN:CTS,2024-03-12,1294600.276952647,25.745878949999998,53328.99523049491,Buy
19,VN:CTS,2024-04-26,1294600.276952647,24.802678500000003,51375.287128427946,Sell
20,VN:CTS,2024-05-23,1109023.8781730884,30.6016146,54300.674083280326,Buy
21,VN:CTS,2024-06-04,1109023.8781730884,30.6714813,54424.648225022975,Sell
22,VN:CTS,2024-06-14,1106994.9888558,29.9029476,52963.86103234811,Buy
23,VN:CTS,2024-06-26,1106994.9888558,27.702146550000002,49065.819858238385,Sell
24,VN:CTS,2024-10-08,1173862.635773431,27.84187995,52292.06813279111,Buy
25,VN:CTS,2024-10-18,1173862.635773431,27.8069466,52226.457005899276,Sell
26,VN:CTS,2026-02-10,2771968.2074855147,23.305,103361.15052071988,Buy
27,VN:CTS,2026-02-27,2771968.2074855147,24.83,110124.75294698453,Sell
28,VN:CTS,2026-03-11,2878699.5885873823,22.21,102297.46858004123,Buy
29,VN:CTS,2026-04-14,2878699.5885873823,21.937,101040.05259974625,Sell
0,VN:DBC,2021-01-15,873880.9014841776,19.892136999999998,27813.37378241082,Buy
1,VN:DBC,2021-01-27,873880.9014841776,15.6631,21900.294316858915,Sell
2,VN:DBC,2022-05-27,1494856.6647182992,18.6785302,44674.760570579245,Buy
3,VN:DBC,2022-06-08,1494856.6647182992,17.823025,42628.58833070539,Sell
4,VN:DBC,2022-12-19,2232006.6939368653,12.0736108,43117.40820094149,Buy
5,VN:DBC,2022-12-29,2232006.6939368653,10.7653248,38445.24322560728,Sell
6,VN:DBC,2023-07-10,1611861.722698794,18.1664856,46850.98043935814,Buy
7,VN:DBC,2023-08-01,1611861.722698794,18.577661199999998,47911.39357687447,Sell
8,VN:DBC,2024-06-04,1264325.1698441375,26.838552800000002,54292.25252356937,Buy
9,VN:DBC,2024-06-26,1264325.1698441375,26.913312,54443.48442474922,Sell
0,VN:DCM,2021-03-09,1331414.164757774,12.4147464,26446.670734136933,Buy
1,VN:DCM,2021-03-31,1331414.164757774,12.895078849999999,27469.905018493417,Sell
2,VN:DCM,2021-10-04,966805.2968401338,21.911878,33895.23154258368,Buy
3,VN:DCM,2021-11-05,966805.2968401338,27.081229500000003,41891.64180086927,Sell
