Order Id,Column,Index,Size,Price,Fees,Side
0,VN:ANV,2021-07-02,1766234.3685874376,14.01217605,39598.059069132425,Buy
1,VN:ANV,2021-07-14,1766234.3685874376,11.11011795,31396.915459760326,Sell
2,VN:ANV,2022-03-29,2267217.533912551,19.4971758,70726.94213685676,Buy
3,VN:ANV,2022-04-08,2267217.533912551,17.7166118,64267.860663171195,Sell
4,VN:ANV,2022-09-20,2324849.284466854,20.3874578,75836.42668548509,Buy
5,VN:ANV,2022-10-12,2324849.284466854,14.1554838,52654.98621393943,Sell
6,VN:ANV,2022-11-15,5079488.556745313,7.4156117,60268.023634266654,Buy
7,VN:ANV,2022-11-25,5079488.556745313,9.00467135,73182.60012732379,Sell
8,VN:ANV,2024-12-13,2849765.290030726,19.89344805,90706.6524030711,Buy
9,VN:ANV,2024-12-25,2849765.290030726,19.8450455,90485.95495196874,Sell
10,VN:ANV,2025-09-03,3391452.6425649826,25.99216935,141041.93828488648,Buy
11,VN:ANV,2025-09-25,3391452.6425649826,27.25063565,147870.78445882883,Sell
12,VN:ANV,2025-10-07,3011098.049571747,29.186737649999998,140614.60609804365,Buy
13,VN:ANV,2025-10-17,3011098.049571747,30.929229449999998,149009.50795464325,Sell
0,VN:BCM,2022-08-25,548493.9656246792,85.858,75348.15184096595,Buy
1,VN:BCM,2022-09-30,548493.9656246792,85.858,75348.15184096595,Sell
0,VN:BID,2023-02-21,1253978.2599289466,33.5489175,67311.38110263967,Buy
1,VN:BID,2023-03-15,1253978.2599289466,33.9478776,68111.8407698062,Sell
0,VN:BMP,2023-05-15,795026.9040391657,57.327,72922.4117245652,Buy
1,VN:BMP,2023-05-25,795026.9040391657,57.82,73549.5289464713,Sell
2,VN:BMP,2024-09-26,501198.6024143416,106.138,85113.94762088542,Buy
3,VN:BMP,2024-10-08,501198.6024143416,101.386,81303.2344070087,Sell
4,VN:BMP,2024-10-18,497573.89970509807,107.056,85229.23425092637,Buy
5,VN:BMP,2024-11-21,497573.89970509807,104.55,83234.16194266881,Sell
6,VN:BMP,2024-12-25,468382.84311884624,119.796,89776.62571882449,Buy
7,VN:BMP,2025-01-07,468382.84311884624,117.531,88079.2062953618,Sell
8,VN:BMP,2026-04-14,601001.6299024475,135.509,130305.8077863212,Buy
9,VN:BMP,2026-04-24,601001.6299024475,139.008,133670.45531116708,Sell
0,VN:BSI,2021-05-31,1669671.2958474811,14.1899,37907.949953513875,Buy
1,VN:BSI,2021-06-10,1669671.2958474811,13.9770515,37339.33070421117,Sell
2,VN:BSI,2023-04-06,2383492.9967241697,18.855525,71907.218859292,Buy
3,VN:BSI,2023-06-16,2383492.9967241697,24.17278305,92185.05457761235,Sell
4,VN:BSI,2023-12-05,1253623.6289866334,39.46093425,79150.6553563007,Buy
5,VN:BSI,2023-12-15,1253623.6289866334,37.3535964,74923.76171947208,Sell
6,VN:BSI,2024-01-19,1185527.608154052,42.3120384,80259.34348875904,Buy
7,VN:BSI,2024-01-31,1185527.608154052,43.4690082,82453.93491227979,Sell
8,VN:BSI,2024-03-12,1087466.080528987,48.4274502,84261.13513441075,Buy
9,VN:BSI,2024-03-22,1087466.080528987,51.6504375,89868.95812117188,Sell
10,VN:BSI,2024-04-15,1082701.356085361,48.344809500000004,83748.78528854152,Buy
11,VN:BSI,2024-04-26,1082701.356085361,42.3120384,73298.08216706538,Sell
0,VN:BVH,2026-02-10,1079248.8376111812,74.9,129337.18069932397,Buy
1,VN:BVH,2026-02-27,1079248.8376111812,81.1,140043.3291684269,Sell
0,VN:CII,2022-04-08,1789887.4585521016,23.714847000000002,67915.0515628511,Buy
1,VN:CII,2022-05-17,1789887.4585521016,15.4999,44388.92259009875,Sell
2,VN:CII,2023-09-18,3010070.167248027,17.5923865,84726.9084389551,Buy
3,VN:CII,2023-09-28,3010070.167248027,14.569906000000001,70170.30302433285,Sell
4,VN:CII,2023-12-15,3726792.0128154657,13.226850899999999,78869.95566211369,Buy
5,VN:CII,2023-12-27,3726792.0128154657,13.306053599999998,79342.23084571915,Sell
6,VN:CII,2025-10-07,3501359.713596704,25.1,140614.60609804365,Buy
7,VN:CII,2025-10-17,3501359.713596704,30.35,170026.02769225597,Sell
8,VN:CII,2026-01-19,4410251.681520627,18.9,133366.01084918375,Buy
9,VN:CII,2026-01-29,4410251.681520627,18.05,127368.0685623157,Sell
0,VN:CMG,2024-10-08,1297383.463802057,40.692,84469.0046544533,Buy
1,VN:CMG,2024-10-18,1297383.463802057,42.657,88547.97826464695,Sell
2,VN:CMG,2025-04-02,1989172.5615784673,34.95,111234.5296434679,Buy
3,VN:CMG,2025-05-22,1989172.5615784673,30.178,96046.79930130398,Sell
0,VN:CTD,2022-05-17,1299343.2651528225,30.558,63528.53039446392,Buy
1,VN:CTD,2022-05-27,1299343.2651528225,32.71,68002.42912503812,Sell
2,VN:CTD,2022-11-15,2257432.2648577644,16.686,60268.023634266654,Buy
3,VN:CTD,2022-12-07,2257432.2648577644,21.255,76770.75646328286,Sell
4,VN:CTD,2022-12-29,1920591.5727310944,22.017,67657.06345091281,Buy
5,VN:CTD,2023-01-11,1920591.5727310944,23.407,71928.45910866676,Sell
6,VN:CTD,2023-04-28,1153070.3744646271,39.067,72075.20051073535,Buy
7,VN:CTD,2023-06-06,1153070.3744646271,44.033,81237.03647808149,Sell
8,VN:CTD,2023-06-16,1081563.8207771964,43.503,75282.03343243261,Buy
9,VN:CTD,2023-06-28,1081563.8207771964,45.887,79407.55047040514,Sell
10,VN:CTD,2023-11-13,904505.7283934089,55.003,79600.84572611628,Buy
11,VN:CTD,2023-11-23,904505.7283934089,54.208,78450.31443959987,Sell
12,VN:CTD,2023-12-27,810035.449230005,61.536,79754.14624610815,Buy
13,VN:CTD,2024-01-19,810035.449230005,60.918,78953.18319390951,Sell
14,VN:CTD,2025-02-17,815181.0307087665,79.399,103559.29385159256,Buy
15,VN:CTD,2025-03-21,815181.0307087665,77.965,101688.9424947344,Sell
0,VN:CTR,2021-08-05,405779.96715938736,61.502917000000004,39930.64262474645,Buy
