,value
Start Index,2018-01-02 00:00:00
End Index,2026-05-29 00:00:00
Total Duration,2096 days 00:00:00
Start Value,100000000.0
Min Value,96017466.37429053
Max Value,1032677491.5122796
End Value,1004035344.8458642
Total Return [%],904.0353448458642
Benchmark Return [%],235.9527108503534
Position Coverage [%],64.07442748091603
Max Gross Exposure [%],79.69737722752383
Max Drawdown [%],23.49253867840753
Max Drawdown Duration,169 days 00:00:00
Total Orders,558
Total Fees Paid,55547407.39236763
Total Trades,280
Win Rate [%],55.95667870036101
Best Trade [%],403.893179907059
Worst Trade [%],-30.838777292576413
Avg Winning Trade [%],15.125829863963206
Avg Losing Trade [%],-6.5848146485489885
Avg Winning Trade Duration,15 days 21:31:21.290322580
Avg Losing Trade Duration,12 days 22:01:58.032786885
Profit Factor,2.7176765795939875
Expectancy,3071950.85173448
Sharpe Ratio,2.06806347865478
Calmar Ratio,2.104189448202247
Omega Ratio,1.426885651749005
Sortino Ratio,3.113530163268189
