,value
Start Index,2018-01-02 00:00:00
End Index,2026-05-29 00:00:00
Total Duration,2096 days 00:00:00
Start Value,100000000.0
Min Value,96017466.37429053
Max Value,955005909.6239939
End Value,928518047.1920251
Total Return [%],828.518047192025
Benchmark Return [%],233.30648921694396
Position Coverage [%],64.07442748091603
Max Gross Exposure [%],79.70274891702745
Max Drawdown [%],25.175202226029754
Max Drawdown Duration,190 days 00:00:00
Total Orders,558
Total Fees Paid,53131891.76681496
Total Trades,280
Win Rate [%],55.95667870036101
Best Trade [%],403.893179907059
Worst Trade [%],-36.817881780315446
Avg Winning Trade [%],14.953094605300876
Avg Losing Trade [%],-6.752908324121035
Avg Winning Trade Duration,16 days 01:14:19.354838709
Avg Losing Trade Duration,12 days 17:18:41.311475409
Profit Factor,2.579899832309151
Expectancy,2813744.812953111
Sharpe Ratio,2.005544774640467
Calmar Ratio,1.8832730969556526
Omega Ratio,1.4116034732590463
Sortino Ratio,2.999521023754364
