Order Id,Column,Index,Size,Price,Fees,Side
0,VN:ANV,2021-06-22,199354.28860669507,13.1242329,4186.195381260943,Buy
1,VN:ANV,2021-07-02,199354.28860669507,14.01217605,4469.419821247234,Sell
2,VN:ANV,2022-04-21,5612684.390459689,21.144197499999997,189881.1316112876,Buy
3,VN:ANV,2022-05-05,5612684.390459689,20.253915499999998,181886.13659606327,Sell
4,VN:ANV,2022-09-20,7776123.5566093065,20.3874578,253656.62537273765,Buy
5,VN:ANV,2022-10-12,7776123.5566093065,14.1554838,176119.6656518103,Sell
6,VN:ANV,2022-11-15,16973316.64066342,7.4156117,201388.04074929337,Buy
7,VN:ANV,2022-11-25,16973316.64066342,9.00467135,244542.62090985622,Sell
8,VN:ANV,2023-11-01,16252154.816754602,12.397943999999999,322389.2884759261,Buy
9,VN:ANV,2023-11-13,16252154.816754602,13.8046338,358968.0731299254,Sell
10,VN:ANV,2025-09-15,26946846.604165744,28.267089199999997,1218734.2665898723,Buy
11,VN:ANV,2025-09-25,26946846.604165744,27.25063565,1174909.9179624969,Sell
0,VN:BCM,2022-02-11,98883.24137915285,74.96,11859.660438050516,Buy
1,VN:BCM,2022-03-07,98883.24137915285,72.591,11484.853399926535,Sell
2,VN:BCM,2022-08-25,1857541.1755904856,85.858,255175.63240617514,Buy
3,VN:BCM,2022-09-30,1857541.1755904856,85.858,255175.63240615668,Sell
4,VN:BCM,2026-04-24,1088219.5143276332,54.2,94370.39628249407,Buy
5,VN:BCM,2026-05-11,1088219.5143276332,52.0,90539.86359205909,Sell
0,VN:BID,2023-02-21,3977274.5764994975,33.5489175,213493.21062693,Buy
1,VN:BID,2023-03-15,3977274.5764994975,33.9478776,216032.04880735485,Sell
0,VN:BMP,2023-05-15,2785652.7138661123,57.327,255508.98100450635,Buy
1,VN:BMP,2023-05-25,2785652.7138661123,57.82,257706.3038651818,Sell
2,VN:BMP,2024-09-26,279358.97446044825,106.138,47440.96453005448,Buy
3,VN:BMP,2024-10-08,279358.97446044825,101.386,45316.94237543521,Sell
4,VN:BMP,2024-10-18,262161.347644751,107.056,44905.5123735331,Buy
5,VN:BMP,2024-11-21,262161.347644751,104.55,43854.35023401395,Sell
6,VN:BMP,2024-12-25,1460727.8403673219,119.796,279982.963783443,Buy
7,VN:BMP,2025-01-07,1460727.8403673219,117.531,274689.2860899388,Sell
0,VN:BSI,2021-08-17,86750.77299164489,19.227314500000002,2668.775032685604,Buy
1,VN:BSI,2021-08-27,86750.77299164489,20.381431,2828.967830281398,Sell
2,VN:BSI,2021-10-14,2870489.8558061207,22.874124,105055.90544392169,Buy
3,VN:BSI,2021-10-26,2870489.8558061207,23.42398275,107581.2877863241,Sell
4,VN:BSI,2023-04-06,7056223.361188472,18.855525,212878.07358796895,Buy
5,VN:BSI,2023-06-16,7056223.361188472,24.17278305,272909.69033976115,Sell
6,VN:BSI,2023-11-23,77118.38509725757,35.4528603,4374.507733463775,Buy
7,VN:BSI,2023-12-15,77118.38509725757,37.3535964,4609.038451108375,Sell
8,VN:BSI,2024-01-19,4713578.161646156,42.3120384,319105.76028317213,Buy
9,VN:BSI,2024-02-19,4713578.161646156,44.625978,336556.8565486429,Sell
10,VN:BSI,2024-03-22,4598270.144162988,51.6504375,380004.2635027468,Buy
11,VN:BSI,2024-04-26,4598270.144162988,42.3120384,311299.4926614366,Sell
12,VN:BSI,2024-07-30,5057580.077055292,38.7598082,313649.3339884877,Buy
13,VN:BSI,2024-08-09,5057580.077055292,44.1216574,357038.1046926387,Sell
14,VN:BSI,2025-03-11,7750364.840899062,51.982673600000005,644615.4972885847,Buy
