,value
Start Index,2018-01-02 00:00:00
End Index,2026-05-29 00:00:00
Total Duration,2096 days 00:00:00
Start Value,100000000.0
Min Value,94577392.60760987
Max Value,1718306053.469934
End Value,1644161927.0956316
Total Return [%],1544.1619270956317
Benchmark Return [%],235.91964180561064
Position Coverage [%],64.07442748091603
Max Gross Exposure [%],100.0
Max Drawdown [%],32.50346148481192
Max Drawdown Duration,215 days 00:00:00
Total Orders,535
Total Fees Paid,101267337.76951373
Total Trades,268
Win Rate [%],53.20754716981132
Best Trade [%],403.8931799070591
Worst Trade [%],-28.995357377049185
Avg Winning Trade [%],15.945562860352153
Avg Losing Trade [%],-6.848119103175641
Avg Winning Trade Duration,15 days 07:39:34.468085106
Avg Losing Trade Duration,13 days 05:25:09.677419355
Profit Factor,2.5937598045033967
Expectancy,5804899.422548041
Sharpe Ratio,1.9082264941769453
Calmar Ratio,1.9331593044331805
Omega Ratio,1.3908728346532806
Sortino Ratio,2.8407428912971846
