,value
Start Index,2018-01-02 00:00:00
End Index,2026-05-29 00:00:00
Total Duration,2096 days 00:00:00
Start Value,100000000.0
Min Value,99540635.97041762
Max Value,974170765.804751
End Value,848954116.4901156
Total Return [%],748.9541164901157
Benchmark Return [%],249.92283605457243
Position Coverage [%],64.07442748091603
Max Gross Exposure [%],100.0
Max Drawdown [%],36.44322977824043
Max Drawdown Duration,398 days 00:00:00
Total Orders,378
Total Fees Paid,71025762.55666307
Total Trades,190
Win Rate [%],57.97872340425532
Best Trade [%],303.0884928596719
Worst Trade [%],-43.42273127753304
Avg Winning Trade [%],13.162144757452413
Avg Losing Trade [%],-7.406302637919279
Avg Winning Trade Duration,16 days 19:22:34.128440367
Avg Losing Trade Duration,10 days 12:45:34.177215189
Profit Factor,1.9584240596898281
Expectancy,4041727.1610532906
Sharpe Ratio,1.5007878192230302
Calmar Ratio,1.23836295044195
Omega Ratio,1.2935523474742086
Sortino Ratio,2.209521089948853
