execution_date,symbol,target_weight
2021-01-05,VN:VPB,0.5
2021-01-15,VN:EVF,0.5
2021-01-15,VN:VPB,0.0
2021-01-27,VN:EVF,0.0
2021-01-27,VN:NKG,0.5
2021-02-08,VN:DXG,0.5
2021-02-08,VN:NKG,0.0
2021-02-25,VN:DXG,0.0
2021-02-25,VN:VIB,0.5
2021-03-09,VN:DCM,0.5
2021-03-09,VN:VIB,0.0
2021-03-19,VN:DCM,0.0
2021-03-19,VN:VPB,0.5
2021-03-31,VN:LPB,0.5
2021-03-31,VN:VPB,0.0
2021-05-19,VN:FTS,0.5
2021-05-19,VN:LPB,0.0
2021-07-14,VN:CII,0.5
2021-07-14,VN:FTS,0.0
2021-07-26,VN:CII,0.0
2021-07-26,VN:HDC,0.5
2021-08-17,VN:FRT,0.5
2021-08-17,VN:HDC,0.0
2021-08-27,VN:FRT,0.0
2021-08-27,VN:SJS,0.5
2021-09-10,VN:FTS,0.5
2021-09-10,VN:SJS,0.0
2021-09-22,VN:FTS,0.0
2021-09-22,VN:HDC,0.5
2021-10-04,VN:DCM,0.5
2021-10-04,VN:HDC,0.0
2021-10-14,VN:DCM,0.0
2021-10-14,VN:EVF,0.5
2021-11-05,VN:EVF,0.0
2021-11-05,VN:VND,0.5
2021-11-17,VN:DGW,0.5
2021-11-17,VN:VND,0.0
2021-11-29,VN:DGW,0.0
2021-11-29,VN:EVF,0.5
2021-12-21,VN:EVF,0.0
2021-12-21,VN:HAG,0.5
2021-12-31,VN:FRT,0.5
2021-12-31,VN:HAG,0.0
2022-01-13,VN:EVF,0.5
2022-01-13,VN:FRT,0.0
2022-01-25,VN:EVF,0.0
2022-01-25,VN:HPG,0.5
2022-02-11,VN:HPG,0.0
2022-02-11,VN:SZC,0.5
2022-02-23,VN:FRT,0.5
2022-02-23,VN:SZC,0.0
2022-03-29,VN:DPM,0.5
2022-03-29,VN:FRT,0.0
2022-04-08,VN:DPM,0.0
2022-04-08,VN:FRT,0.5
2022-04-21,VN:FRT,0.0
2022-04-21,VN:VCG,0.5
2022-05-17,VN:MSB,0.5
2022-05-17,VN:VCG,0.0
2022-06-08,VN:HPG,0.5
2022-06-08,VN:MSB,0.0
2022-06-20,VN:HPG,0.0
2022-06-20,VN:VIB,0.5
2022-06-30,VN:HPG,0.5
2022-06-30,VN:VIB,0.0
2022-07-12,VN:HPG,0.0
2022-07-12,VN:OCB,0.5
2022-07-22,VN:CTR,0.5
2022-07-22,VN:OCB,0.0
2022-08-03,VN:CTR,0.0
2022-08-03,VN:HPG,0.5
2022-08-15,VN:HPG,0.0
2022-08-15,VN:VGC,0.5
2022-09-08,VN:DGC,0.5
2022-09-08,VN:VGC,0.0
2022-09-20,VN:BCM,0.5
2022-09-20,VN:DGC,0.0
2022-09-30,VN:BCM,0.0
2022-09-30,VN:DGC,0.5
2022-10-12,VN:DGC,0.0
2022-10-12,VN:TCB,0.5
2022-10-24,VN:KDH,0.5
2022-10-24,VN:TCB,0.0
2022-11-15,VN:KDH,0.0
2022-11-15,VN:MBB,0.5
2022-12-07,VN:MBB,0.0
2022-12-07,VN:SJS,0.5
2023-01-30,VN:EIB,0.5
2023-01-30,VN:SJS,0.0
2023-02-09,VN:DGW,0.5
2023-02-09,VN:EIB,0.0
2023-02-21,VN:DGW,0.0
2023-02-21,VN:PDR,0.5
2023-03-03,VN:BID,0.5
2023-03-03,VN:PDR,0.0
2023-03-15,VN:BID,0.0
2023-03-15,VN:VIC,0.5
2023-03-27,VN:DIG,0.5
2023-03-27,VN:VIC,0.0
2023-04-06,VN:BSI,0.5
2023-04-06,VN:DIG,0.0
2023-04-28,VN:BSI,0.0
2023-04-28,VN:CTD,0.5
2023-05-25,VN:CTD,0.0
2023-05-25,VN:FTS,0.5
2023-06-06,VN:FTS,0.0
2023-06-06,VN:VIX,0.5
2023-06-28,VN:CTS,0.5
2023-06-28,VN:VIX,0.0
2023-07-10,VN:BSI,0.5
2023-07-10,VN:CTS,0.0
2023-07-20,VN:BSI,0.0
2023-07-20,VN:VIX,0.5
2023-08-23,VN:LPB,0.5
2023-08-23,VN:VIX,0.0
2023-09-18,VN:LPB,0.0
2023-09-18,VN:SSI,0.5
2023-09-28,VN:SSI,0.0
2023-09-28,VN:VTP,0.5
2023-10-10,VN:FTS,0.5
2023-10-10,VN:VTP,0.0
2023-10-20,VN:FTS,0.0
2023-10-20,VN:VHM,0.5
2023-11-13,VN:VHM,0.0
2023-11-13,VN:VIC,0.5
2023-11-23,VN:EVF,0.5
2023-11-23,VN:VIC,0.0
2023-12-05,VN:EVF,0.0
2023-12-05,VN:HAG,0.5
2024-01-19,VN:BSI,0.5
2024-01-19,VN:HAG,0.0
2024-02-19,VN:BSI,0.0
2024-02-19,VN:SZC,0.5
2024-02-29,VN:GVR,0.5
2024-02-29,VN:SZC,0.0
2024-03-12,VN:FTS,0.5
2024-03-12,VN:GVR,0.0
2024-03-22,VN:FTS,0.0
2024-03-22,VN:GVR,0.5
2024-04-03,VN:GVR,0.0
2024-04-03,VN:TCH,0.5
2024-04-15,VN:CTS,0.5
2024-04-15,VN:TCH,0.0
2024-04-26,VN:CTS,0.0
2024-04-26,VN:FRT,0.5
2024-05-13,VN:FRT,0.0
2024-05-13,VN:TCH,0.5
2024-05-23,VN:FTS,0.5
2024-05-23,VN:TCH,0.0
2024-06-04,VN:FTS,0.0
2024-06-04,VN:TCH,0.5
2024-06-26,VN:GEE,0.5
2024-06-26,VN:TCH,0.0
2024-07-30,VN:GEE,0.0
2024-07-30,VN:LPB,0.5
2024-08-09,VN:LPB,0.0
2024-08-09,VN:VGC,0.5
2024-08-21,VN:HAG,0.5
2024-08-21,VN:VGC,0.0
2024-09-04,VN:DXS,0.5
2024-09-04,VN:HAG,0.0
2024-09-16,VN:CMG,0.5
2024-09-16,VN:DXS,0.0
2024-09-26,VN:BMP,0.5
2024-09-26,VN:CMG,0.0
2024-10-08,VN:BMP,0.0
2024-10-08,VN:CMG,0.5
2024-10-18,VN:BMP,0.5
2024-10-18,VN:CMG,0.0
2024-11-11,VN:BMP,0.0
2024-11-11,VN:VTP,0.5
2025-02-05,VN:GEE,0.5
2025-02-05,VN:VTP,0.0
2025-04-25,VN:GEE,0.0
2025-04-25,VN:SCS,0.5
2025-05-22,VN:PVD,0.5
2025-05-22,VN:SCS,0.0
2025-06-03,VN:GEE,0.5
2025-06-03,VN:PVD,0.0
2025-06-25,VN:DXS,0.5
2025-06-25,VN:GEE,0.0
2025-07-07,VN:DXS,0.0
2025-07-07,VN:GEE,0.5
2025-07-29,VN:DXS,0.5
