Order Id,Column,Index,Size,Price,Fees,Side
0,VN:ANV,2022-06-08,2185273.511657821,25.373037,88715.24106626213,Buy
1,VN:ANV,2022-06-13,2185273.511657821,22.7467051,79532.43541203499,Sell
2,VN:ANV,2025-09-03,4110136.633946055,25.99216935,170930.1879058637,Buy
3,VN:ANV,2025-09-15,4110136.633946055,28.267089199999997,185890.5581695054,Sell
4,VN:ANV,2025-10-07,3595769.016166243,29.186737649999998,167918.02707974837,Buy
5,VN:ANV,2025-10-17,3595769.016166243,30.929229449999998,177942.98392033036,Sell
0,VN:BCM,2022-02-11,785703.8950358569,74.96,94234.18235502392,Buy
1,VN:BCM,2022-02-15,785703.8950358569,77.708,97688.76524071419,Sell
2,VN:BCM,2022-08-15,758552.8686905171,76.192,92473.05627403408,Buy
3,VN:BCM,2022-09-08,758552.8686905171,83.394,101214.01269052319,Sell
4,VN:BCM,2025-06-13,1425639.6925671767,58.487,133410.22191868722,Buy
5,VN:BCM,2025-06-25,1425639.6925671767,60.748,138567.61607051335,Sell
0,VN:BID,2023-02-21,1684448.6577517525,33.5489175,90418.28648303886,Buy
1,VN:BID,2023-02-24,1684448.6577517525,32.3520372,87192.55301931962,Sell
0,VN:BMP,2023-05-15,1072089.9928426472,57.327,98335.5248315047,Buy
1,VN:BMP,2023-05-23,1072089.9928426472,55.976,96018.09510297605,Sell
2,VN:BMP,2024-09-26,705375.0522746306,106.138,119787.35567732155,Buy
3,VN:BMP,2024-10-01,705375.0522746306,97.551,110096.066759108,Sell
4,VN:BMP,2024-10-18,720333.1827108104,107.056,123385.58273326163,Buy
5,VN:BMP,2024-11-19,720333.1827108104,101.587,117082.37925126897,Sell
6,VN:BMP,2024-12-25,699228.1562039402,119.796,134023.57792097155,Buy
7,VN:BMP,2024-12-30,699228.1562039402,115.614,129344.90248217975,Sell
8,VN:BMP,2026-03-23,904063.7426194414,114.61,165783.59286658268,Buy
9,VN:BMP,2026-04-24,904063.7426194414,139.008,201075.34837446932,Sell
0,VN:BSI,2021-01-05,3308575.5930282623,10.074829,53333.333333333336,Buy
1,VN:BSI,2021-01-15,3308575.5930282623,12.345213,65352.11267605634,Sell
2,VN:BSI,2023-04-06,2709894.927337305,18.855525,81754.38647965342,Buy
3,VN:BSI,2023-05-31,2709894.927337305,24.738448799999997,107261.75506130182,Sell
4,VN:BSI,2023-07-10,2466115.157521469,26.6103054,104998.52398914465,Buy
5,VN:BSI,2023-07-20,2466115.157521469,26.9408682,106302.85347969302,Sell
6,VN:BSI,2023-09-06,2246981.38438298,31.61006775,113643.57406933606,Buy
7,VN:BSI,2023-09-26,2246981.38438298,30.0812148,108147.08748036128,Sell
8,VN:BSI,2024-01-19,1680908.3848489968,42.3120384,113796.25620258036,Buy
9,VN:BSI,2024-02-19,1680908.3848489968,44.625978,120019.48896365901,Sell
10,VN:BSI,2024-04-15,1661458.0253915403,48.344809500000004,128516.59476768029,Buy
11,VN:BSI,2024-04-17,1661458.0253915403,44.2127745,117532.27042856232,Sell
12,VN:BSI,2025-11-20,2235432.6776815457,41.0,146644.38365592062,Buy
13,VN:BSI,2025-12-02,2235432.6776815457,39.05,139669.833701543,Sell
14,VN:BSI,2026-01-07,3178211.2284386903,34.792,176922.12009574228,Buy
15,VN:BSI,2026-01-19,3178211.2284386903,37.245,189395.96352511842,Sell
0,VN:BVH,2026-02-10,1436725.730023319,74.9,172177.21148599457,Buy
1,VN:BVH,2026-03-10,1436725.730023319,71.3,163901.67128106023,Sell
