,value
Start Index,2018-01-02 00:00:00
End Index,2026-05-29 00:00:00
Total Duration,2096 days 00:00:00
Start Value,100000000.0
Min Value,94674109.98847382
Max Value,673516534.6896663
End Value,530298046.1645644
Total Return [%],430.2980461645643
Benchmark Return [%],240.49922558654453
Position Coverage [%],64.07442748091603
Max Gross Exposure [%],100.0
Max Drawdown [%],28.738609693999916
Max Drawdown Duration,179 days 00:00:00
Total Orders,461
Total Fees Paid,65953946.46941225
Total Trades,231
Win Rate [%],55.895196506550214
Best Trade [%],74.96541225410033
Worst Trade [%],-30.838777292576413
Avg Winning Trade [%],10.022835507261178
Avg Losing Trade [%],-7.230191487921308
Avg Winning Trade Duration,15 days 19:30:00
Avg Losing Trade Duration,12 days 14:15:26.732673267
Profit Factor,1.6113910740190898
Expectancy,1750585.0066274428
Sharpe Ratio,1.159508732365696
Calmar Ratio,1.173039098342261
Omega Ratio,1.2251075998095098
Sortino Ratio,1.6673328413544064
