,value
Start Index,2018-01-02 00:00:00
End Index,2026-05-29 00:00:00
Total Duration,2096 days 00:00:00
Start Value,100000000.0
Min Value,78235725.40032987
Max Value,696802703.7562752
End Value,548856113.4656769
Total Return [%],448.8561134656769
Benchmark Return [%],251.50825072342525
Position Coverage [%],63.69274809160306
Max Gross Exposure [%],100.0
Max Drawdown [%],36.02968389151254
Max Drawdown Duration,392 days 00:00:00
Total Orders,413
Total Fees Paid,62519454.2646253
Total Trades,208
Win Rate [%],55.60975609756098
Best Trade [%],68.23430119279571
Worst Trade [%],-27.98650602409638
Avg Winning Trade [%],11.645862725948493
Avg Losing Trade [%],-7.201738858620307
Avg Winning Trade Duration,18 days 08:00:00
Avg Losing Trade Duration,13 days 17:40:13.186813186
Profit Factor,1.7445852437532898
Expectancy,2299832.7505597216
Sharpe Ratio,1.1249493862095845
Calmar Ratio,0.9579557395126205
Omega Ratio,1.219954899459454
Sortino Ratio,1.6236486559588226
