execution_date,symbol,target_weight
2021-01-05,VN:DXG,0.2
2021-01-05,VN:PVD,0.2
2021-01-05,VN:VPB,0.2
2021-01-15,VN:DXG,0.0
2021-01-15,VN:EVF,0.2
2021-01-15,VN:FTS,0.2
2021-01-15,VN:LPB,0.2
2021-01-15,VN:PVD,0.0
2021-01-15,VN:VPB,0.0
2021-01-27,VN:DXG,0.2
2021-01-27,VN:EVF,0.0
2021-01-27,VN:FTS,0.0
2021-01-27,VN:HDG,0.2
2021-01-27,VN:LPB,0.0
2021-01-27,VN:NKG,0.2
2021-02-08,VN:HDG,0.0
2021-02-08,VN:KBC,0.2
2021-02-08,VN:NKG,0.0
2021-02-08,VN:VIB,0.2
2021-02-25,VN:DXG,0.0
2021-02-25,VN:KBC,0.0
2021-02-25,VN:NKG,0.2
2021-02-25,VN:SJS,0.2
2021-03-09,VN:DCM,0.2
2021-03-09,VN:NKG,0.0
2021-03-09,VN:PTB,0.2
2021-03-09,VN:PVD,0.2
2021-03-09,VN:SJS,0.0
2021-03-09,VN:VIB,0.0
2021-03-19,VN:DCM,0.0
2021-03-19,VN:NKG,0.2
2021-03-19,VN:PTB,0.0
2021-03-19,VN:PVD,0.0
2021-03-19,VN:VIB,0.2
2021-03-19,VN:VPB,0.2
2021-03-31,VN:LPB,0.2
2021-03-31,VN:SHB,0.2
2021-03-31,VN:VIB,0.0
2021-03-31,VN:VPB,0.0
2021-04-12,VN:NKG,0.0
2021-04-12,VN:SHB,0.0
2021-04-12,VN:VND,0.2
2021-04-12,VN:VPB,0.2
2021-04-23,VN:NKG,0.2
2021-04-23,VN:SHB,0.2
2021-04-23,VN:VND,0.0
2021-04-23,VN:VPB,0.0
2021-05-07,VN:HSG,0.2
2021-05-07,VN:SHB,0.0
2021-05-19,VN:FTS,0.2
2021-05-19,VN:HSG,0.0
2021-05-19,VN:LPB,0.0
2021-05-19,VN:NKG,0.0
2021-05-19,VN:SHB,0.2
2021-05-19,VN:STB,0.2
2021-05-31,VN:LPB,0.2
2021-05-31,VN:STB,0.0
2021-06-22,VN:HSG,0.2
2021-06-22,VN:LPB,0.0
2021-06-22,VN:SHB,0.0
2021-06-22,VN:VCI,0.2
2021-07-02,VN:HCM,0.2
2021-07-02,VN:HSG,0.0
2021-07-02,VN:SSI,0.2
2021-07-02,VN:VCI,0.0
2021-07-14,VN:CII,0.2
2021-07-14,VN:HCM,0.0
2021-07-14,VN:SJS,0.2
2021-07-14,VN:SSI,0.0
2021-07-26,VN:CII,0.0
2021-07-26,VN:FTS,0.0
2021-07-26,VN:HDC,0.2
2021-07-26,VN:HDG,0.2
2021-07-26,VN:SJS,0.0
2021-07-26,VN:VIC,0.2
2021-08-05,VN:HDG,0.0
2021-08-05,VN:NKG,0.2
2021-08-05,VN:VIC,0.0
2021-08-05,VN:VND,0.2
2021-08-17,VN:FRT,0.2
2021-08-17,VN:FTS,0.2
2021-08-17,VN:NKG,0.0
2021-08-17,VN:VND,0.0
2021-08-27,VN:FRT,0.0
2021-08-27,VN:NKG,0.2
2021-09-10,VN:DGW,0.2
2021-09-10,VN:HDC,0.0
2021-09-22,VN:DGW,0.0
2021-09-22,VN:EVF,0.2
2021-09-22,VN:FTS,0.0
2021-09-22,VN:HDC,0.2
2021-10-04,VN:DCM,0.2
2021-10-04,VN:EVF,0.0
2021-10-14,VN:DPM,0.2
2021-10-14,VN:EVF,0.2
2021-10-14,VN:HDC,0.0
2021-10-14,VN:NKG,0.0
2021-10-26,VN:DCM,0.0
2021-10-26,VN:HDC,0.2
2021-11-05,VN:DPM,0.0
2021-11-05,VN:GEX,0.2
2021-11-05,VN:HDC,0.0
2021-11-05,VN:VND,0.2
2021-11-17,VN:DGW,0.2
2021-11-17,VN:GEX,0.0
2021-11-17,VN:HAG,0.2
