,value
Start Index,2018-01-02 00:00:00
End Index,2026-05-29 00:00:00
Total Duration,2096 days 00:00:00
Start Value,100000000.0
Min Value,92372418.77569851
Max Value,830090844.0307353
End Value,801109569.9392016
Total Return [%],701.1095699392015
Benchmark Return [%],246.77345413028155
Position Coverage [%],64.07442748091603
Max Gross Exposure [%],91.3063761279884
Max Drawdown [%],27.008491334616675
Max Drawdown Duration,279 days 00:00:00
Total Orders,542
Total Fees Paid,55406237.5340299
Total Trades,272
Win Rate [%],56.50557620817844
Best Trade [%],403.8931799070591
Worst Trade [%],-36.817881780315446
Avg Winning Trade [%],13.59539192830948
Avg Losing Trade [%],-7.264900954133166
Avg Winning Trade Duration,16 days 13:53:41.052631578
Avg Losing Trade Duration,13 days 03:04:36.923076923
Profit Factor,2.263358418934663
Expectancy,2644842.9407451106
Sharpe Ratio,1.6466005538418873
Calmar Ratio,1.6169469522451754
Omega Ratio,1.3252818179391064
Sortino Ratio,2.4224276419926554
