Order Id,Column,Index,Size,Price,Fees,Side
0,VN:ANV,2022-06-08,1011529.5413976965,25.373037,41064.92236876286,Buy
1,VN:ANV,2022-06-30,1011529.5413976965,23.592473000000002,38183.17343060406,Sell
2,VN:ANV,2022-09-20,1383699.6868805783,20.3874578,45136.19035864161,Buy
3,VN:ANV,2022-10-12,1383699.6868805783,14.1554838,31339.10160272496,Sell
4,VN:ANV,2025-09-15,2447406.388545738,28.267089199999997,110689.68750987557,Buy
5,VN:ANV,2025-09-25,2447406.388545738,27.25063565,106709.40765078759,Sell
6,VN:ANV,2025-10-07,2314315.442883375,29.186737649999998,108075.70827324901,Buy
7,VN:ANV,2025-10-17,2314315.442883375,30.929229449999998,114527.98936418926,Sell
0,VN:BCM,2022-02-11,341976.9443787466,74.96,41015.34680100936,Buy
1,VN:BCM,2022-03-07,341976.9443787466,72.591,39719.11739103615,Sell
2,VN:BCM,2022-08-15,362654.2229750586,76.192,44210.16089106506,Buy
3,VN:BCM,2022-09-08,362654.2229750586,83.394,48389.09803325126,Sell
4,VN:BCM,2022-09-20,308479.2504472548,91.449,45136.19035864161,Buy
5,VN:BCM,2022-09-30,308479.2504472548,85.858,42376.65837584065,Sell
0,VN:BID,2023-02-21,785463.0404752857,33.5489175,42162.29559072724,Buy
1,VN:BID,2023-03-15,785463.0404752857,33.9478776,42663.685051806155,Sell
0,VN:BMP,2023-05-15,496184.9894446039,57.327,45511.67502382529,Buy
1,VN:BMP,2023-05-25,496184.9894446039,57.82,45903.065743499195,Sell
2,VN:BMP,2024-01-19,387375.5591375149,85.435,52952.68943186174,Buy
3,VN:BMP,2024-01-31,387375.5591375149,81.638,50599.30543498952,Sell
4,VN:BMP,2024-09-26,324583.2084280835,106.138,55120.980121823886,Buy
5,VN:BMP,2024-10-08,324583.2084280835,101.386,52653.10907150348,Sell
6,VN:BMP,2024-10-18,322412.14620541333,107.056,55225.84755866677,Buy
7,VN:BMP,2024-11-21,322412.14620541333,104.55,53933.10381724154,Sell
8,VN:BMP,2024-12-03,349359.92524262046,107.512,60096.61485229538,Buy
9,VN:BMP,2024-12-13,349359.92524262046,109.428,61167.61263911915,Sell
10,VN:BMP,2024-12-25,317355.9208804683,119.796,60828.75183647453,Buy
11,VN:BMP,2025-01-17,317355.9208804683,110.997,56360.888239950946,Sell
12,VN:BMP,2026-04-02,532567.436815133,122.459,104348.281191911,Buy
13,VN:BMP,2026-04-24,532567.436815133,139.008,118449.81481087682,Sell
0,VN:BSI,2021-05-31,1550933.9987146007,14.1899,35212.1573573765,Buy
1,VN:BSI,2021-06-10,1550933.9987146007,13.9770515,34683.97499701585,Sell
2,VN:BSI,2021-08-17,1183696.6231423416,19.227314500000002,36414.89159319325,Buy
3,VN:BSI,2021-08-27,1183696.6231423416,20.381431,38600.68967921382,Sell
4,VN:BSI,2021-11-29,746507.4925455471,36.62059275,43740.07499093463,Buy
5,VN:BSI,2021-12-09,746507.4925455471,31.525235000000002,37654.1186108146,Sell
6,VN:BSI,2023-04-06,1476943.2437848398,18.855525,44557.664410825826,Buy
7,VN:BSI,2023-06-28,1476943.2437848398,25.304114549999998,59796.385639328255,Sell
8,VN:BSI,2023-07-10,1168817.8549972835,26.6103054,49764.16012552101,Buy
9,VN:BSI,2023-07-20,1168817.8549972835,26.9408682,50382.34845006165,Sell
10,VN:BSI,2023-09-06,1060491.561263767,31.61006775,53635.53615976153,Buy
11,VN:BSI,2023-09-18,1060491.561263767,35.3702196,60015.71104935407,Sell
12,VN:BSI,2024-01-19,782175.2897377213,42.3120384,52952.68943186174,Buy
13,VN:BSI,2024-02-19,782175.2897377213,44.625978,55848.53963516669,Sell
14,VN:BSI,2024-03-12,719890.3228612356,48.4274502,55779.92441571906,Buy
15,VN:BSI,2024-03-22,719890.3228612356,51.6504375,59492.24020447852,Sell
16,VN:BSI,2024-04-03,683965.6719296044,52.890048,57879.96354993445,Buy
17,VN:BSI,2024-04-26,683965.6719296044,42.3120384,46303.97083994756,Sell
18,VN:BSI,2025-11-20,1667363.3975837806,41.0,109379.038881496,Buy
19,VN:BSI,2025-12-02,1667363.3975837806,39.05,104176.8650810346,Sell
0,VN:BVH,2026-02-10,855867.4756825905,74.9,102567.15828580165,Buy
1,VN:BVH,2026-03-11,855867.4756825905,74.5,102019.40310136479,Sell
0,VN:CII,2022-04-08,1201752.5320790997,23.714847000000002,45599.003888189516,Buy
1,VN:CII,2022-04-21,1201752.5320790997,17.553636750000003,33752.20385841479,Sell
2,VN:CII,2023-12-15,2493996.465213002,13.226850899999999,52780.35102479906,Buy
3,VN:CII,2023-12-27,2493996.465213002,13.306053599999998,53096.40103093558,Sell
0,VN:CMG,2024-09-16,817550.4591726683,41.265,53977.95151641625,Buy
1,VN:CMG,2024-09-26,817550.4591726683,42.165,55155.2241776249,Sell
2,VN:CMG,2024-10-08,840605.0699413266,40.692,54729.44240968394,Buy
3,VN:CMG,2024-10-18,840605.0699413266,42.657,57372.30474957947,Sell
4,VN:CMG,2025-04-02,1285354.4125774608,34.95,71877.01875133162,Buy
5,VN:CMG,2025-04-15,1285354.4125774608,29.132,59911.911595530546,Sell
0,VN:CTD,2023-04-28,719359.2768412133,39.067,44965.13418936909,Buy
1,VN:CTD,2023-08-01,719359.2768412133,44.298,50985.883592819315,Sell
2,VN:CTD,2023-12-27,542004.2921783439,61.536,53364.44179757851,Buy
3,VN:CTD,2024-01-19,542004.2921783439,60.918,52828.50795347257,Sell
4,VN:CTD,2025-02-05,570054.0137279644,71.602,65307.211985519534,Buy
5,VN:CTD,2025-03-21,570054.0137279644,77.965,71110.8178884812,Sell
0,VN:CTR,2022-06-30,426408.24513135565,57.252846,39060.93694661721,Buy
1,VN:CTR,2022-08-03,426408.24513135565,64.82499659999999,44227.060865363346,Sell
2,VN:CTR,2022-12-07,570325.8026635657,44.2324407,40363.04359359372,Buy
3,VN:CTR,2022-12-19,570325.8026635657,50.696471700000004,46261.6094632212,Sell
4,VN:CTR,2024-06-26,239562.67823633214,143.085668,54844.77734930344,Buy
5,VN:CTR,2024-07-08,239562.67823633214,141.172758,54111.558400783324,Sell
0,VN:CTS,2021-03-19,2222644.2442152617,8.62470675,30671.447705491224,Buy
1,VN:CTS,2021-03-31,2222644.2442152617,8.27471865,29426.809247877092,Sell
2,VN:CTS,2021-11-29,1153522.2100224039,23.6991942,43740.07499093462,Buy
3,VN:CTS,2021-12-09,1153522.2100224039,20.2993098,37465.12752388071,Sell
4,VN:CTS,2023-06-28,1985960.4775308375,15.26587395,48507.875711468114,Buy
5,VN:CTS,2023-07-10,1985960.4775308375,15.82480755,50283.90777413057,Sell
6,VN:CTS,2024-03-22,1338277.3013888847,26.58427935,56923.42020461801,Buy
7,VN:CTS,2024-04-03,1338277.3013888847,27.42267975,58718.63976429059,Sell
8,VN:CTS,2024-04-15,1320652.9120275592,26.3397459,55657.05939984155,Buy
9,VN:CTS,2024-04-26,1320652.9120275592,24.802678500000003,52409.16733937334,Sell
10,VN:CTS,2024-05-23,1152812.3515332604,30.6016146,56444.6708603849,Buy
11,VN:CTS,2024-06-04,1152812.3515332604,30.6714813,56573.53997193828,Sell
12,VN:CTS,2024-06-14,1150216.0559363756,29.9029476,55031.76071895059,Buy
13,VN:CTS,2024-06-26,1150216.0559363756,27.702146550000002,50981.52599313996,Sell
0,VN:DBC,2023-07-10,1712086.7934109739,18.1664856,49764.16012552102,Buy
1,VN:DBC,2023-07-20,1712086.7934109739,18.577661199999998,50890.50942877354,Sell
2,VN:DBC,2024-06-04,1314631.657313732,26.838552800000002,56452.497835785776,Buy
3,VN:DBC,2024-06-26,1314631.657313732,26.913312,56609.747133378485,Sell
4,VN:DBC,2026-03-11,2999765.0362039725,21.289,102179.1965691942,Buy
5,VN:DBC,2026-03-23,2999765.0362039725,19.394,93083.90897942374,Sell
6,VN:DBC,2026-04-02,3195691.6770356903,20.408,104348.281191911,Buy
7,VN:DBC,2026-04-14,3195691.6770356903,21.333,109077.9048739238,Sell
0,VN:DCM,2021-01-27,1678533.4359113371,9.7544436,26197.055570098168,Buy
