Order Id,Column,Index,Size,Price,Fees,Side
0,VN:ANV,2022-06-08,3825301.1620959686,25.373037,155295.21267520642,Buy
1,VN:ANV,2022-06-14,3825301.1620959686,24.3046986,148756.4668783556,Sell
2,VN:ANV,2025-09-03,9941621.834659975,25.99216935,413446.9093442237,Buy
3,VN:ANV,2025-09-15,9941621.834659975,28.267089199999997,449633.13790880184,Sell
4,VN:ANV,2025-10-07,8680161.436204247,29.186737649999998,405352.95135702495,Buy
5,VN:ANV,2025-10-17,8680161.436204247,30.929229449999998,429553.1275574443,Sell
0,VN:BCM,2022-08-15,1255827.6194403872,76.192,153094.4287686497,Buy
1,VN:BCM,2022-09-08,1255827.6194403872,83.394,167565.58159297865,Sell
2,VN:BCM,2025-06-13,3355273.8740581484,58.487,313983.8449152708,Buy
3,VN:BCM,2025-06-25,3355273.8740581484,60.748,326121.88368205505,Sell
0,VN:BID,2023-02-21,3222427.551093305,33.5489175,172974.32969817016,Buy
1,VN:BID,2023-03-15,3222427.551093305,33.9478776,175031.32172701322,Sell
0,VN:BMP,2023-05-15,1958179.2585205415,57.327,179610.46776513755,Buy
1,VN:BMP,2023-05-25,1958179.2585205415,57.82,181155.07956425234,Sell
2,VN:BMP,2024-09-26,1401833.9374905762,106.138,238060.5607317984,Buy
3,VN:BMP,2024-10-01,1401833.9374905762,97.551,218800.4838978291,Sell
4,VN:BMP,2024-10-18,1356188.2588756236,107.056,232300.944387502,Buy
5,VN:BMP,2024-11-20,1356188.2588756236,104.201,226105.87642095814,Sell
6,VN:BMP,2024-12-25,1387401.9483205134,119.796,265928.3260816068,Buy
7,VN:BMP,2025-01-07,1387401.9483205134,117.531,260900.38142089325,Sell
8,VN:BMP,2026-03-23,2069402.4851810466,114.61,379478.7501225596,Buy
9,VN:BMP,2026-04-24,2069402.4851810466,139.008,460261.60105607513,Sell
0,VN:BSI,2023-04-06,6378949.540630564,18.855525,192445.508059357,Buy
1,VN:BSI,2023-06-28,6378949.540630564,25.304114549999998,258261.87181565707,Sell
2,VN:BSI,2023-07-10,704758.462584899,26.6103054,30006.140676189214,Buy
3,VN:BSI,2023-07-20,704758.462584899,26.9408682,30378.887765335036,Sell
4,VN:BSI,2023-09-18,5122590.961627011,35.3702196,289899.46757395606,Buy
5,VN:BSI,2023-09-25,5122590.961627011,29.95725375,245534.01167186705,Sell
6,VN:BSI,2024-01-19,3915098.809590475,42.3120384,265049.29787391424,Buy
7,VN:BSI,2024-02-19,3915098.809590475,44.625978,279544.1813513772,Sell
8,VN:BSI,2024-04-15,3800786.6139924633,48.344809500000004,293997.2876857851,Buy
9,VN:BSI,2024-04-19,3800786.6139924633,41.1550686,250274.61413251449,Sell
10,VN:BSI,2025-11-20,4863161.668857309,41.0,319023.40547704697,Buy
11,VN:BSI,2025-12-10,4863161.668857309,39.2,305017.49987073045,Sell
12,VN:BSI,2026-01-07,7743679.725318376,34.792,431068.9680052431,Buy
13,VN:BSI,2026-01-19,7743679.725318376,37.245,461461.3621911726,Sell
0,VN:BVH,2026-02-10,3481010.4408794045,74.9,417164.2912349879,Buy
1,VN:BVH,2026-03-11,3481010.4408794045,74.5,414936.44455282507,Sell
0,VN:CII,2021-07-14,4520232.908869031,12.1674215,87999.32652860894,Buy
1,VN:CII,2021-07-26,4520232.908869031,12.554919,90801.85285117611,Sell
2,VN:CII,2022-04-08,4544098.015071464,23.714847000000002,172420.14268867756,Buy
3,VN:CII,2022-04-13,4544098.015071464,22.474854999999998,163404.71039123033,Sell
4,VN:CII,2023-12-15,28888.783886993602,13.226850899999999,611.3722194489674,Buy
5,VN:CII,2023-12-27,28888.783886993602,13.306053599999998,615.0331309426451,Sell
0,VN:CMG,2024-09-16,3567447.8430354493,41.265,235537.17638857252,Buy
1,VN:CMG,2024-10-18,3567447.8430354493,42.657,243482.59622458107,Sell
2,VN:CMG,2024-12-03,3573312.818949133,47.733,272903.9052590384,Buy
3,VN:CMG,2024-12-16,3573312.818949133,45.604,260731.77247257004,Sell
4,VN:CMG,2025-01-17,3802863.9718084703,43.13,262428.0369665623,Buy
5,VN:CMG,2025-02-04,3802863.9718084703,41.267,251092.46003939226,Sell
6,VN:CMG,2025-04-02,5709829.371371483,34.95,319293.6584471166,Buy
7,VN:CMG,2025-04-04,5709829.371371483,30.269,276529.3203872695,Sell
0,VN:CTD,2023-04-28,3239612.3685277193,39.067,202499.09824203586,Buy
1,VN:CTD,2023-06-28,3239612.3685277193,45.887,237849.74840741034,Sell
2,VN:CTD,2023-07-20,2877932.708170228,52.31,240871.45594301543,Buy
3,VN:CTD,2023-07-25,2877932.708170228,48.999,225625.31962821283,Sell
4,VN:CTD,2023-12-27,2768164.558739313,61.536,272546.8388585448,Buy
5,VN:CTD,2024-01-16,2768164.558739313,60.035,265898.81485426344,Sell
6,VN:CTD,2025-02-17,2503644.587928067,79.399,318059.00261904096,Buy
7,VN:CTD,2025-03-11,2503644.587928067,81.997,328466.15244214033,Sell
0,VN:CTG,2022-05-05,6031480.237614531,17.127,165281.8592473985,Buy
1,VN:CTG,2022-05-10,6031480.237614531,15.47,149291.1988414349,Sell
0,VN:CTR,2022-07-22,1541979.51954462,60.8542347,150137.5737359385,Buy
1,VN:CTR,2022-08-03,1541979.51954462,64.82499659999999,159934.1073787994,Sell
2,VN:CTR,2025-05-12,2149698.3706430215,91.1108088,313377.21156054735,Buy
3,VN:CTR,2025-05-22,2149698.3706430215,88.5718152,304644.2989125357,Sell
0,VN:CTS,2021-11-29,4044313.806841069,23.6991942,153355.16530250845,Buy
1,VN:CTS,2021-12-02,4044313.806841069,21.9492537,142031.47166202788,Sell
2,VN:CTS,2023-06-28,9508963.831628622,15.26587395,232260.22919800255,Buy
3,VN:CTS,2023-07-10,9508963.831628622,15.82480755,240764.0362166937,Sell
4,VN:CTS,2023-09-18,1760003.5531809393,22.0778772,62171.42770990729,Buy
