,value
Start Index,2018-01-02 00:00:00
End Index,2026-05-29 00:00:00
Total Duration,2096 days 00:00:00
Start Value,100000000.0
Min Value,99880000.0
Max Value,686911443.4366444
End Value,633168454.8272992
Total Return [%],533.1684548272992
Benchmark Return [%],245.35157970603169
Position Coverage [%],61.35496183206107
Max Gross Exposure [%],100.0
Max Drawdown [%],21.993584609436112
Max Drawdown Duration,306 days 00:00:00
Total Orders,546
Total Fees Paid,58933441.89390032
Total Trades,274
Win Rate [%],50.36764705882353
Best Trade [%],255.0088648648649
Worst Trade [%],-15.323682975904207
Avg Winning Trade [%],12.259581685713279
Avg Losing Trade [%],-6.019920968124289
Avg Winning Trade Duration,15 days 03:19:42.481751825
Avg Losing Trade Duration,7 days 05:20:00
Profit Factor,1.9661772018626917
Expectancy,1982881.535249661
Sharpe Ratio,1.5068899417981174
Calmar Ratio,1.7234214877564276
Omega Ratio,1.3106836490708276
Sortino Ratio,2.220610765732447
