execution_date,symbol,target_weight
2021-01-05,VN:BSI,0.25
2021-01-05,VN:DCM,0.25
2021-01-05,VN:LPB,0.25
2021-01-05,VN:VPB,0.25
2021-01-15,VN:BSI,0.0
2021-01-15,VN:DCM,0.0
2021-01-15,VN:EVF,0.25
2021-01-15,VN:FTS,0.25
2021-01-15,VN:VIX,0.25
2021-01-15,VN:VPB,0.0
2021-01-20,VN:EVF,0.0
2021-01-20,VN:FTS,0.0
2021-01-27,VN:DXG,0.25
2021-01-27,VN:EVF,0.0
2021-01-27,VN:FTS,0.0
2021-01-27,VN:HDC,0.25
2021-01-27,VN:HDG,0.25
2021-01-27,VN:LPB,0.0
2021-01-27,VN:SSI,0.25
2021-01-27,VN:VIX,0.0
2021-01-29,VN:DXG,0.0
2021-01-29,VN:HDC,0.0
2021-01-29,VN:HDG,0.0
2021-01-29,VN:SSI,0.0
2021-02-08,VN:HDC,0.0
2021-02-08,VN:HDG,0.0
2021-02-08,VN:SJS,0.25
2021-02-08,VN:SSI,0.0
2021-02-08,VN:VIB,0.25
2021-02-08,VN:VPB,0.25
2021-02-25,VN:NKG,0.25
2021-02-25,VN:VPB,0.0
2021-03-09,VN:DCM,0.25
2021-03-09,VN:DXG,0.0
2021-03-09,VN:LPB,0.25
2021-03-09,VN:SJS,0.0
2021-03-19,VN:VIB,0.0
2021-03-19,VN:VPB,0.25
2021-03-31,VN:DCM,0.0
2021-03-31,VN:HSG,0.25
2021-03-31,VN:SHB,0.25
2021-03-31,VN:VPB,0.0
2021-04-06,VN:SHB,0.0
2021-04-12,VN:EVF,0.25
2021-04-12,VN:HSG,0.0
2021-04-12,VN:NKG,0.0
2021-04-12,VN:SHB,0.0
2021-04-12,VN:VND,0.25
2021-04-12,VN:VPB,0.25
2021-04-15,VN:EVF,0.0
2021-04-23,VN:EVF,0.0
2021-04-23,VN:NKG,0.25
2021-04-23,VN:SHB,0.25
2021-04-23,VN:VND,0.0
2021-04-23,VN:VPB,0.0
2021-05-07,VN:HSG,0.25
2021-05-07,VN:SHB,0.0
2021-05-19,VN:FTS,0.25
2021-05-19,VN:HSG,0.0
2021-05-19,VN:LPB,0.0
2021-05-19,VN:NKG,0.0
2021-05-19,VN:STB,0.25
2021-05-19,VN:VCI,0.25
2021-05-31,VN:HSG,0.25
2021-05-31,VN:LPB,0.25
2021-05-31,VN:STB,0.0
2021-05-31,VN:VCI,0.0
2021-06-10,VN:VCI,0.25
2021-06-10,VN:VND,0.0
2021-06-17,VN:LPB,0.0
2021-06-22,VN:DCM,0.25
2021-06-22,VN:FTS,0.0
2021-06-22,VN:LPB,0.0
2021-06-22,VN:SJS,0.25
2021-06-25,VN:SJS,0.0
2021-07-02,VN:DCM,0.0
2021-07-02,VN:HCM,0.25
2021-07-02,VN:HSG,0.0
2021-07-02,VN:NKG,0.25
2021-07-02,VN:SJS,0.0
