Order Id,Column,Index,Size,Price,Fees,Side
0,VN:ANV,2022-06-08,2384115.3044370315,25.373037,96787.59333079531,Buy
1,VN:ANV,2022-06-14,2384115.3044370315,24.3046986,92712.32624318286,Sell
2,VN:ANV,2022-09-20,2667076.095149383,20.3874578,86999.842142798,Buy
3,VN:ANV,2022-09-27,2667076.095149383,18.829464299999998,80351.38259039793,Sell
4,VN:ANV,2025-09-03,8607668.030607028,25.99216935,357971.14425619016,Buy
5,VN:ANV,2025-09-15,8607668.030607028,28.267089199999997,389301.95204025146,Sell
6,VN:ANV,2025-10-07,7553737.712845371,29.186737649999998,352750.33744276623,Buy
7,VN:ANV,2025-10-17,7553737.712845371,30.929229449999998,373810.0590811403,Sell
0,VN:BCM,2022-08-15,817215.8480464859,76.192,99624.49583097256,Buy
1,VN:BCM,2022-09-08,817215.8480464859,83.394,109041.43749118186,Sell
2,VN:BCM,2026-04-24,4505979.432960883,54.2,390758.5364263654,Buy
3,VN:BCM,2026-05-11,4505979.432960883,52.0,374897.48882234545,Sell
0,VN:BID,2023-02-21,1939509.4959922084,33.5489175,104109.5105144147,Buy
1,VN:BID,2023-03-15,1939509.4959922084,33.9478776,105347.5695583699,Sell
0,VN:BMP,2023-05-15,1301517.7841323013,57.327,119379.37601752391,Buy
1,VN:BMP,2023-05-25,1301517.7841323013,57.82,120406.01324564745,Sell
2,VN:BMP,2024-09-26,783957.6068168379,106.138,133132.3079557209,Buy
3,VN:BMP,2024-10-01,783957.6068168379,97.551,122361.35760414298,Sell
4,VN:BMP,2024-10-18,751792.6179607317,107.056,128774.25681344655,Buy
5,VN:BMP,2024-11-20,751792.6179607317,104.201,125340.06813460193,Sell
6,VN:BMP,2024-12-25,769782.3298261163,119.796,147546.95037415912,Buy
7,VN:BMP,2025-01-07,769782.3298261163,117.531,144757.25921086923,Sell
8,VN:BMP,2026-03-23,1979428.2562135626,114.61,362979.63591141824,Buy
9,VN:BMP,2026-04-24,1979428.2562135626,139.008,440250.18086357584,Sell
0,VN:BSI,2023-04-06,3747706.475783042,18.855525,113063.95703486247,Buy
