execution_date,symbol,target_weight
2021-01-11,VN:FTS,0.25
2021-01-11,VN:LPB,0.25
2021-01-11,VN:VIX,0.25
2021-01-27,VN:DXG,0.25
2021-01-27,VN:FTS,0.0
2021-01-27,VN:HDG,0.25
2021-01-27,VN:LPB,0.0
2021-01-27,VN:NKG,0.25
2021-01-27,VN:VIX,0.0
2021-01-29,VN:DXG,0.0
2021-01-29,VN:HDG,0.0
2021-01-29,VN:NKG,0.0
2021-02-19,VN:DXG,0.0
2021-02-19,VN:HDG,0.0
2021-02-19,VN:NKG,0.0
2021-02-19,VN:SJS,0.25
2021-02-19,VN:VIB,0.25
2021-02-19,VN:VPB,0.25
2021-03-03,VN:SJS,0.0
2021-03-09,VN:DCM,0.25
2021-03-09,VN:PTB,0.25
2021-03-09,VN:PVD,0.25
2021-03-09,VN:SJS,0.0
2021-03-09,VN:VIB,0.0
2021-03-09,VN:VPB,0.0
2021-03-24,VN:PVD,0.0
2021-03-25,VN:DCM,0.0
2021-03-25,VN:DGW,0.25
2021-03-25,VN:LPB,0.25
2021-03-25,VN:NKG,0.25
2021-03-25,VN:PTB,0.0
2021-03-25,VN:PVD,0.0
2021-04-12,VN:DGW,0.0
2021-04-12,VN:NKG,0.0
2021-04-12,VN:VND,0.25
2021-04-12,VN:VPB,0.25
2021-04-23,VN:VND,0.0
2021-04-29,VN:NKG,0.25
2021-04-29,VN:SHB,0.25
2021-04-29,VN:VND,0.0
2021-04-29,VN:VPB,0.0
2021-05-12,VN:SHB,0.0
2021-05-19,VN:FTS,0.25
2021-05-19,VN:LPB,0.0
2021-05-19,VN:NKG,0.0
2021-05-19,VN:STB,0.25
2021-06-04,VN:BSI,0.25
2021-06-04,VN:CTS,0.25
2021-06-04,VN:FTS,0.0
2021-06-04,VN:STB,0.0
2021-06-08,VN:BSI,0.0
2021-06-08,VN:CTS,0.0
2021-06-22,VN:BSI,0.0
2021-06-22,VN:CTS,0.0
2021-06-22,VN:FTS,0.25
2021-06-22,VN:HSG,0.25
2021-06-22,VN:SHB,0.0
2021-06-22,VN:VCI,0.25
2021-07-07,VN:HSG,0.0
2021-07-08,VN:HSG,0.0
2021-07-08,VN:VND,0.25
2021-07-13,VN:FTS,0.0
2021-07-13,VN:VND,0.0
2021-07-20,VN:VCI,0.0
2021-07-26,VN:FTS,0.0
2021-07-26,VN:HDC,0.25
2021-07-26,VN:HDG,0.25
2021-07-26,VN:VCI,0.0
2021-07-26,VN:VIC,0.25
2021-07-26,VN:VND,0.0
2021-07-29,VN:HDG,0.0
2021-08-11,VN:FRT,0.25
2021-08-11,VN:FTS,0.25
