Order Id,Column,Index,Size,Price,Fees,Side
0,VN:ANV,2022-06-08,1724517.032194039,25.373037,70009.97514398328,Buy
1,VN:ANV,2022-06-14,1724517.032194039,24.3046986,67062.1867168682,Sell
2,VN:ANV,2022-09-20,2370704.4053461906,20.3874578,77332.21763243129,Buy
3,VN:ANV,2022-09-27,2370704.4053461906,18.829464299999998,71422.5503461101,Sell
0,VN:BCM,2022-08-15,611877.0468488729,76.192,74592.21752561492,Buy
1,VN:BCM,2022-10-24,611877.0468488729,78.324,76679.4525078258,Sell
2,VN:BCM,2025-06-19,1497504.5704708353,57.995,138956.44410312976,Buy
3,VN:BCM,2025-07-07,1497504.5704708353,64.876,155443.3704221855,Sell
0,VN:BMP,2024-09-26,477671.50778447685,106.138,81118.5575891661,Buy
1,VN:BMP,2024-10-01,477671.50778447685,97.551,74555.7332094136,Sell
2,VN:BMP,2024-10-30,443038.9978289288,114.476,81147.73170474313,Buy
3,VN:BMP,2024-11-05,443038.9978289288,108.556,76951.26631730751,Sell
4,VN:BMP,2026-03-27,1004864.1768781777,121.23,194911.49466070638,Buy
5,VN:BMP,2026-05-05,1004864.1768781777,142.317,228814.8080972346,Sell
0,VN:BSI,2021-06-04,2093959.7750352388,15.821738499999999,53008.1343842022,Buy
1,VN:BSI,2021-06-08,2093959.7750352388,12.912809,43262.244205940806,Sell
2,VN:BSI,2023-04-18,1998458.049602525,21.75927585,69575.99996153265,Buy
3,VN:BSI,2023-06-12,1998458.049602525,24.47447145,78257.92716643149,Sell
4,VN:BSI,2024-01-19,1146077.2632078337,42.3120384,77588.58427234684,Buy
5,VN:BSI,2024-02-29,1146077.2632078337,44.9565408,82437.87078936852,Sell
6,VN:BSI,2025-11-20,3184455.4671728914,41.0,208900.27864654167,Buy
7,VN:BSI,2025-12-08,3184455.4671728914,39.45,201002.82908795294,Sell
0,VN:CII,2023-12-15,3525373.2868960095,13.226850899999999,74607.33893218629,Buy
1,VN:CII,2024-01-03,3525373.2868960095,13.8604725,78181.3431924108,Sell
0,VN:CMG,2024-12-03,776642.7495114905,47.733,59314.38137989491,Buy
1,VN:CMG,2024-12-16,776642.7495114905,45.604,56668.82551795522,Sell
0,VN:CTD,2022-04-15,1087839.124775859,46.218,80444.39787022505,Buy
1,VN:CTD,2022-04-19,1087839.124775859,43.768,76180.06850110368,Sell
2,VN:CTD,2023-05-09,1226506.3895917884,38.339,75236.84555289532,Buy
3,VN:CTD,2023-06-28,1226506.3895917884,45.887,90049.11791871744,Sell
4,VN:CTD,2023-07-14,927576.6663004145,52.972,78616.94586762786,Buy
5,VN:CTD,2023-07-25,927576.6663004145,48.999,72720.52651528643,Sell
6,VN:CTD,2025-02-17,268198.62207383185,79.399,34071.52383046597,Buy
7,VN:CTD,2025-03-17,268198.62207383185,75.276,32302.27116036763,Sell
0,VN:CTG,2022-05-05,2805655.030980626,17.127,76883.92594496829,Buy
1,VN:CTG,2022-05-10,2805655.030980626,15.47,69445.57332683247,Sell
0,VN:CTR,2025-04-09,962315.540924434,72.1660104,111114.35733509493,Buy
1,VN:CTR,2025-04-25,962315.540924434,81.9313704,126150.12964024988,Sell
2,VN:CTR,2025-05-16,819980.6341955927,95.700528,125556.12742766738,Buy
3,VN:CTR,2025-05-23,819980.6341955927,88.86477599999999,116587.83261140686,Sell
0,VN:CTS,2021-06-04,2058150.911629279,11.999592,39515.153942368925,Buy
1,VN:CTS,2021-06-08,2058150.911629279,10.3996464,34246.46675005144,Sell
2,VN:CTS,2023-06-28,3302285.922730832,15.26587395,80659.64902922932,Buy
3,VN:CTS,2023-07-14,3302285.922730832,16.1392077,85274.04542678248,Sell
4,VN:CTS,2024-04-03,1517960.8881225353,27.42267975,66602.48849281669,Buy
5,VN:CTS,2024-04-08,1517960.8881225353,25.5013455,61936.072101599384,Sell
6,VN:CTS,2024-06-14,1740148.5292434245,29.9029476,83256.91245789311,Buy
7,VN:CTS,2024-06-25,1740148.5292434245,27.876813300000002,77615.67306238167,Sell
0,VN:DBC,2022-12-29,4148941.6173000047,10.7653248,71463.52653835496,Buy
1,VN:DBC,2023-01-17,4148941.6173000047,11.7371944,77915.0949064009,Sell
2,VN:DBC,2023-07-14,2733185.745388331,19.437392,85001.60438708216,Buy
3,VN:DBC,2023-08-01,2733185.745388331,18.577661199999998,81241.91803919019,Sell
4,VN:DBC,2024-06-14,1966276.9869332945,26.3152384,82788.87627453357,Buy
5,VN:DBC,2024-07-02,1966276.9869332945,25.8666832,81377.70224712651,Sell
6,VN:DBC,2026-03-11,5965241.0140096005,21.289,203190.42551560065,Buy
7,VN:DBC,2026-03-24,5965241.0140096005,19.659,187633.07695106356,Sell
0,VN:DCM,2021-03-09,1881154.5077942822,12.4147464,37366.48984557254,Buy
1,VN:DCM,2021-03-25,1881154.5077942822,12.3408491,37144.07026315842,Sell
2,VN:DCM,2021-10-04,1528636.7696323784,21.911878,53592.48384399805,Buy
3,VN:DCM,2021-11-05,1528636.7696323784,27.081229500000003,66235.78108888492,Sell
4,VN:DCM,2023-09-22,1359017.5731414352,30.2084441,65686.09022265673,Buy
5,VN:DCM,2023-09-26,1359017.5731414352,28.236379499999998,61397.977507824915,Sell
6,VN:DCM,2025-04-09,2917682.5437508794,23.8019292,111114.35733509493,Buy
7,VN:DCM,2025-04-25,2917682.5437508794,30.082993849999998,140436.2016318561,Sell
0,VN:DGC,2022-04-15,519774.09975075634,96.73,80444.39787022506,Buy
1,VN:DGC,2022-04-26,519774.09975075634,86.979,72335.09027555367,Sell
2,VN:DGC,2022-09-20,446409.1634667083,81.545,58243.89637582749,Buy
3,VN:DGC,2022-09-27,446409.1634667083,70.029,50018.53969345619,Sell
4,VN:DGC,2025-12-24,2186050.125536421,65.0,227349.21305578775,Buy
5,VN:DGC,2025-12-29,2186050.125536421,61.0,213358.49225235468,Sell
6,VN:DGC,2026-02-23,1805786.7412341896,70.2,202825.9667754242,Buy
7,VN:DGC,2026-03-11,1805786.7412341896,77.7,224495.40767023445,Sell
8,VN:DGC,2026-03-27,2351731.35449694,51.8,194911.49466070638,Buy
9,VN:DGC,2026-03-31,2351731.35449694,50.2,188891.06239319427,Sell
10,VN:DGC,2026-05-05,2513790.3570548655,53.0,213169.4222782526,Buy
11,VN:DGC,2026-05-12,2513790.3570548655,47.9,192656.8929646849,Sell
0,VN:DGW,2021-03-25,1000821.1602255163,23.301,37312.214167063605,Buy
