Order Id,Column,Index,Size,Price,Fees,Side
0,VN:ANV,2021-01-15,2317125.500233523,10.72028925,39744.408945687115,Buy
1,VN:ANV,2021-01-20,2317125.500233523,9.962289,36934.19821215348,Sell
2,VN:ANV,2021-11-05,2175142.204996374,16.459434,57282.57530200367,Buy
3,VN:ANV,2021-11-17,2175142.204996374,16.026291,55775.13910984567,Sell
4,VN:ANV,2022-03-07,2098426.566874833,17.47178425,58661.20998544991,Buy
5,VN:ANV,2022-03-17,2098426.566874833,17.87241115,60006.30779403198,Sell
6,VN:ANV,2024-07-18,2751022.4863426937,16.927962,74510.72657592743,Buy
7,VN:ANV,2024-07-24,2751022.4863426937,16.0219584,70522.82853383553,Sell
8,VN:ANV,2024-09-04,2753494.313685114,14.972901599999998,65964.47906395048,Buy
9,VN:ANV,2024-09-16,2753494.313685114,14.829848400000001,65334.245187539665,Sell
10,VN:ANV,2024-10-08,2847212.3614662797,15.8073786,72011.14200367605,Buy
11,VN:ANV,2024-10-18,2847212.3614662797,16.1180658,73426.48990189903,Sell
12,VN:ANV,2025-10-29,2030242.5566475852,29.6,96152.28748282965,Buy
13,VN:ANV,2025-11-06,2030242.5566475852,28.15,91442.12475140723,Sell
14,VN:ANV,2025-11-20,1909484.3025946915,30.2,92266.28150137514,Buy
15,VN:ANV,2025-12-02,1909484.3025946915,28.8,87989.03666356338,Sell
0,VN:BCM,2021-04-23,512559.16010154557,52.135,42755.63489903053,Buy
1,VN:BCM,2021-05-24,512559.16010154557,51.577,42298.02208089187,Sell
2,VN:BCM,2021-07-14,700250.3982819936,45.293,50746.30606301814,Buy
3,VN:BCM,2021-07-16,700250.3982819936,40.126,44957.195970341236,Sell
4,VN:BCM,2021-08-05,762579.4987077515,39.317,47971.741041108966,Buy
5,VN:BCM,2021-08-27,762579.4987077515,41.198,50266.80030041912,Sell
6,VN:BCM,2022-04-08,475856.83254421194,70.127,53392.659353327006,Buy
7,VN:BCM,2022-05-05,475856.83254421194,81.499,62050.969592833164,Sell
8,VN:BCM,2022-08-15,485082.02193258744,76.192,59134.99106413871,Buy
9,VN:BCM,2022-08-25,485082.02193258744,85.858,66637.07558254096,Sell
10,VN:BCM,2022-09-08,452134.0762160969,83.394,60328.430643144304,Buy
11,VN:BCM,2022-09-20,452134.0762160969,91.449,66155.53461741735,Sell
12,VN:BCM,2024-07-30,630724.4790584431,70.972,71622.04436437732,Buy
13,VN:BCM,2024-08-02,630724.4790584431,66.615,67225.1378759651,Sell
0,VN:BID,2022-07-12,1411640.2831829125,26.4039048,59636.505038410665,Buy
1,VN:BID,2022-07-22,1411640.2831829125,25.751061,58161.976067680735,Sell
2,VN:BID,2022-12-29,1225976.034274802,29.015279999999997,56915.26065243676,Buy
3,VN:BID,2023-01-11,1225976.034274802,29.9220075,58693.862547825425,Sell
4,VN:BID,2023-01-30,1091003.360405519,32.279499,56347.26700992882,Buy
5,VN:BID,2023-03-15,1091003.360405519,33.9478776,59259.59766437639,Sell
0,VN:BMP,2023-11-23,573778.2565102925,68.111,62528.97732667606,Buy
1,VN:BMP,2023-12-05,573778.2565102925,71.908,66014.79499062739,Sell
2,VN:BMP,2026-04-24,336369.7282201168,139.008,74812.93308867514,Buy
3,VN:BMP,2026-05-11,336369.7282201168,149.41,80411.20174938824,Sell
0,VN:BSI,2021-02-25,2632009.5081292414,9.89745525,41680.3141188547,Buy
1,VN:BSI,2021-03-09,2632009.5081292414,10.784324,45415.10929079419,Sell
2,VN:BSI,2021-04-12,2433038.1909624846,11.316445250000001,44053.349566698074,Buy
3,VN:BSI,2021-04-16,2433038.1909624846,10.2876775,40048.49960608873,Sell
4,VN:BSI,2023-04-18,1642683.3997136767,21.75927585,57189.76196573675,Buy
5,VN:BSI,2023-04-28,1642683.3997136767,22.0232532,57883.571902929776,Sell
6,VN:BSI,2024-01-09,1051777.1285369575,38.675847600000004,65085.39509193758,Buy
7,VN:BSI,2024-01-19,1051777.1285369575,42.3120384,71204.53480143598,Sell
