Order Id,Column,Index,Size,Price,Fees,Side
0,VN:ANV,2022-09-20,2646746.647405881,20.3874578,86336.69693004621,Buy
1,VN:ANV,2022-09-27,2646746.647405881,18.829464299999998,79738.91441355796,Sell
2,VN:ANV,2025-10-07,5152053.515103167,29.186737649999998,240594.6148865223,Buy
3,VN:ANV,2025-10-17,5152053.515103167,30.929229449999998,254958.47249168783,Sell
0,VN:BCM,2022-08-15,712812.5559822414,76.192,86896.9828246383,Buy
1,VN:BCM,2022-09-08,712812.5559822414,83.394,95110.86446973287,Sell
2,VN:BCM,2022-09-20,585758.0867383431,91.449,85707.18603862077,Buy
3,VN:BCM,2022-09-29,585758.0867383431,80.267,75227.27095716255,Sell
4,VN:BCM,2026-04-24,2649328.037355187,54.2,229749.72739944182,Buy
5,VN:BCM,2026-05-11,2649328.037355187,52.0,220424.09270795155,Sell
0,VN:BID,2023-02-21,1533601.019022541,33.5489175,82321.04650416506,Buy
1,VN:BID,2023-03-15,1533601.019022541,33.9478776,83299.99948962,Sell
0,VN:BMP,2024-09-26,621135.4132899924,106.138,105481.71279323714,Buy
1,VN:BMP,2024-10-01,621135.4132899924,97.551,96947.80912296328,Sell
2,VN:BMP,2024-10-18,604432.8335921285,107.056,103533.05829286225,Buy
3,VN:BMP,2024-11-11,604432.8335921285,110.891,107241.85815978356,Sell
4,VN:BMP,2024-12-25,619075.915357803,119.796,118660.5093699254,Buy
5,VN:BMP,2025-01-07,619075.915357803,117.531,116416.97825266872,Sell
6,VN:BMP,2026-03-23,1178606.4749323477,114.61,216128.14094719422,Buy
7,VN:BMP,2026-04-24,1178606.4749323477,139.008,262137.16618783327,Sell
0,VN:BSI,2023-04-06,2823512.8546060403,18.855525,85182.1075485529,Buy
1,VN:BSI,2023-04-28,2823512.8546060403,22.0232532,99492.70161670979,Sell
2,VN:BSI,2023-05-15,2534305.4282284677,21.872409,88690.18377141311,Buy
3,VN:BSI,2023-05-25,2534305.4282284677,23.0791626,93583.43528983589,Sell
4,VN:BSI,2023-06-06,2273999.420646398,25.2664035,91929.259073309,Buy
5,VN:BSI,2023-06-28,2273999.420646398,25.304114549999998,92066.46692267213,Sell
6,VN:BSI,2023-07-10,2231577.9709116793,26.6103054,95012.75412779539,Buy
7,VN:BSI,2023-07-20,2231577.9709116793,26.9408682,96193.03678776798,Sell
8,VN:BSI,2023-09-18,1863637.823470615,35.3702196,105467.6465136347,Buy
9,VN:BSI,2023-09-25,1863637.823470615,29.95725375,89327.15388129107,Sell
10,VN:BSI,2024-01-19,1406800.215470026,42.3120384,95239.33558095363,Buy
11,VN:BSI,2024-02-19,1406800.215470026,44.625978,100447.73674553704,Sell
12,VN:BSI,2025-11-20,3495853.254315763,41.0,229327.97348311407,Buy
13,VN:BSI,2025-12-10,3495853.254315763,39.2,219259.9161106847,Sell
14,VN:BSI,2026-01-07,4015202.6812778893,34.792,223515.09069923253,Buy
15,VN:BSI,2026-01-19,4015202.6812778893,37.245,239273.958182712,Sell
0,VN:BVH,2026-02-10,1866910.4145293985,74.9,223730.54407720314,Buy
1,VN:BVH,2026-02-27,1866910.4145293985,81.1,242250.29538933473,Sell
0,VN:CII,2021-07-14,2556138.369656576,12.1674215,49762.58072949499,Buy
1,VN:CII,2021-07-26,2556138.369656576,12.554919,51347.37629412859,Sell
2,VN:CII,2023-12-15,4469733.080427399,13.226850899999999,94592.78882817745,Buy
3,VN:CII,2023-12-27,4469733.080427399,13.306053599999998,95159.21271337612,Sell
0,VN:CMG,2024-09-16,1572269.5669104941,41.265,103807.52588569847,Buy
1,VN:CMG,2024-09-26,1572269.5669104941,42.165,106071.59406204957,Sell
2,VN:CMG,2024-10-08,1578296.2216057065,40.692,102758.44775932706,Buy
3,VN:CMG,2024-10-18,1578296.2216057065,42.657,107720.61108005539,Sell
4,VN:CMG,2024-12-03,1580991.0253711883,47.733,120744.71138246868,Buy
5,VN:CMG,2024-12-16,1580991.0253711883,45.604,115359.22355364427,Sell
6,VN:CMG,2025-04-02,2806163.537942669,34.95,156920.66504175405,Buy
7,VN:CMG,2025-04-04,2806163.537942669,30.269,135903.62260797864,Sell
0,VN:CTD,2023-04-28,1395244.0123904005,39.067,87212.79653128925,Buy
1,VN:CTD,2023-06-06,1395244.0123904005,44.033,98298.84735613842,Sell
2,VN:CTD,2023-07-20,1143304.8556134605,52.31,95690.04319542421,Buy
3,VN:CTD,2023-07-25,1143304.8556134605,48.999,89633.27139232634,Sell
4,VN:CTD,2023-12-27,977433.661211403,61.536,96235.77244208784,Buy
5,VN:CTD,2024-01-16,977433.661211403,60.035,93888.36776132253,Sell
6,VN:CTD,2025-02-27,1099484.111340572,83.879,147557.80444021733,Buy
7,VN:CTD,2025-03-11,1099484.111340572,81.997,144247.0378841486,Sell
0,VN:CTG,2022-05-05,3201936.356257307,17.127,87743.30235779023,Buy
1,VN:CTG,2022-05-10,3201936.356257307,15.47,79254.32869008086,Sell
0,VN:CTR,2022-07-22,851616.4360676764,60.8542347,82919.14635974389,Buy
1,VN:CTR,2022-08-03,851616.4360676764,64.82499659999999,88329.65211614597,Sell
0,VN:CTS,2023-06-28,3826472.0702459537,15.26587395,93463.10447611244,Buy
1,VN:CTS,2023-07-10,3826472.0702459537,15.82480755,96885.09457134768,Sell
2,VN:CTS,2024-03-22,2495684.882793544,26.58427935,106153.57455000893,Buy
3,VN:CTS,2024-04-03,2495684.882793544,27.42267975,109501.38767642184,Sell
4,VN:CTS,2024-04-15,2468173.7313738326,26.3397459,104017.71027430658,Buy
5,VN:CTS,2024-04-22,2468173.7313738326,25.2917454,99879.07458699995,Sell
6,VN:CTS,2024-05-23,2121457.008799819,30.6016146,103872.0156380174,Buy
7,VN:CTS,2024-06-04,2121457.008799819,30.6714813,104109.16635865213,Sell
0,VN:DBC,2022-12-29,4697097.435458302,10.7653248,80905.24721592905,Buy
1,VN:DBC,2023-01-11,4697097.435458302,11.8119536,88771.03513969993,Sell
2,VN:DBC,2023-07-10,3268819.992892412,18.1664856,95012.75412779539,Buy
3,VN:DBC,2023-07-20,3268819.992892412,18.577661199999998,97163.24856278663,Sell
4,VN:DBC,2024-06-04,2404051.0436513266,26.838552800000002,103234.00139029,Buy
5,VN:DBC,2024-06-26,2404051.0436513266,26.913312,103521.56128274204,Sell
6,VN:DBC,2026-03-11,6677865.083469811,21.289,227464.11161918213,Buy
7,VN:DBC,2026-03-23,6677865.083469811,19.394,207216.8246861016,Sell
8,VN:DBC,2026-04-02,6673887.109130712,20.408,217921.10099702334,Buy
9,VN:DBC,2026-04-14,6673887.109130712,21.333,227798.45391853678,Sell
0,VN:DCM,2021-03-09,2141482.1910076463,12.4147464,42537.53331436207,Buy
1,VN:DCM,2021-03-19,2141482.1910076463,12.784232900000001,43803.53132967046,Sell
2,VN:DCM,2021-10-04,1606805.1833334272,21.911878,56332.99063515151,Buy
3,VN:DCM,2021-10-14,1606805.1833334272,24.7665945,63672.14786578744,Sell
0,VN:DGC,2022-04-08,647878.3962532453,84.249,87332.97120950346,Buy
1,VN:DGC,2022-04-21,647878.3962532453,96.34,99866.56751206025,Sell
2,VN:DGC,2022-09-08,659067.2963837715,81.968,86435.88503997597,Buy
3,VN:DGC,2022-09-20,659067.2963837715,81.545,85989.82829378343,Sell
4,VN:DGC,2022-09-30,778679.590714975,65.71,81867.2574494096,Buy
5,VN:DGC,2022-10-07,778679.590714975,56.988,71000.628025064,Sell
6,VN:DGC,2025-12-24,2185383.5211149547,65.0,227279.88619595527,Buy
7,VN:DGC,2025-12-29,2185383.5211149547,61.0,213293.4316608196,Sell
8,VN:DGC,2026-01-19,2182847.5569683444,65.1,227365.40153382273,Buy
9,VN:DGC,2026-01-29,2182847.5569683444,67.8,236795.30297992597,Sell
10,VN:DGC,2026-03-23,2612767.661353895,51.7,216128.14094719422,Buy
11,VN:DGC,2026-03-31,2612767.661353895,50.2,209857.49855994488,Sell
12,VN:DGC,2026-05-21,2971387.0648836247,48.0,228202.52658306237,Buy
0,VN:DGW,2021-11-17,877789.4477498824,49.662,69748.44728664745,Buy
1,VN:DGW,2021-12-09,877789.4477498824,51.849,72820.00812221384,Sell
2,VN:DGW,2023-02-09,1736870.3045929507,29.486,81941.3724819644,Buy
3,VN:DGW,2023-02-21,1736870.3045929507,30.172,83847.76132828563,Sell
4,VN:DGW,2023-03-27,2204534.268191596,23.603,83253.795731402,Buy
5,VN:DGW,2023-03-31,2204534.268191596,20.716,73070.61103977136,Sell
0,VN:DIG,2021-12-31,671700.942724202,68.6297306,73757.84758868483,Buy
1,VN:DIG,2022-01-13,671700.942724202,73.5977566,79097.09198497017,Sell
