execution_date,symbol,target_weight
2021-01-05,VN:DCM,0.25
2021-01-05,VN:EVF,0.25
2021-01-05,VN:LPB,0.25
2021-01-05,VN:VIB,0.25
2021-01-15,VN:DCM,0.0
2021-01-15,VN:DXG,0.25
2021-01-15,VN:SHB,0.25
2021-01-15,VN:VIB,0.0
2021-01-20,VN:SHB,0.0
2021-01-27,VN:DGC,0.25
2021-01-27,VN:EVF,0.0
2021-01-27,VN:SHB,0.0
2021-01-27,VN:VIB,0.25
2021-01-29,VN:DGC,0.0
2021-01-29,VN:LPB,0.0
2021-01-29,VN:VIB,0.0
2021-02-08,VN:DGC,0.0
2021-02-08,VN:DXG,0.0
2021-02-08,VN:HSG,0.25
2021-02-08,VN:LPB,0.0
2021-02-08,VN:NKG,0.25
2021-02-08,VN:PC1,0.25
2021-02-08,VN:SJS,0.25
2021-02-08,VN:VIB,0.0
2021-02-25,VN:DIG,0.25
2021-02-25,VN:MBB,0.25
2021-02-25,VN:PC1,0.0
2021-02-25,VN:SJS,0.0
2021-03-09,VN:BSI,0.25
2021-03-09,VN:CTS,0.25
2021-03-09,VN:DIG,0.0
2021-03-09,VN:HSG,0.0
2021-03-09,VN:LPB,0.25
2021-03-09,VN:NKG,0.0
2021-03-19,VN:ACB,0.25
2021-03-19,VN:BSI,0.0
2021-03-19,VN:CTS,0.0
2021-03-19,VN:DXG,0.25
2021-03-24,VN:DXG,0.0
2021-03-26,VN:ACB,0.0
2021-03-31,VN:ACB,0.0
2021-03-31,VN:DXG,0.0
2021-03-31,VN:EVF,0.25
2021-03-31,VN:MBB,0.0
2021-03-31,VN:SHB,0.25
2021-03-31,VN:VPB,0.25
2021-04-06,VN:SHB,0.0
2021-04-12,VN:PTB,0.25
2021-04-12,VN:SHB,0.0
2021-04-12,VN:VND,0.25
2021-04-12,VN:VPB,0.0
2021-04-23,VN:EVF,0.0
2021-04-23,VN:PTB,0.0
2021-04-23,VN:SHB,0.25
2021-04-23,VN:VND,0.0
2021-04-23,VN:VTP,0.25
2021-05-07,VN:DGC,0.25
2021-05-07,VN:MBB,0.25
2021-05-07,VN:SHB,0.0
2021-05-07,VN:TCB,0.25
2021-05-07,VN:VND,0.0
2021-05-07,VN:VTP,0.0
2021-05-19,VN:DGC,0.0
2021-05-19,VN:FTS,0.25
2021-05-19,VN:HDB,0.25
2021-05-19,VN:LPB,0.0
2021-05-19,VN:TCB,0.0
2021-05-19,VN:VCI,0.25
2021-05-31,VN:BSI,0.25
2021-05-31,VN:FTS,0.0
2021-05-31,VN:MBB,0.0
2021-05-31,VN:SSI,0.25
2021-05-31,VN:TPB,0.25
2021-05-31,VN:VCI,0.0
2021-06-09,VN:BSI,0.0
2021-06-09,VN:TPB,0.0
2021-06-10,VN:ACB,0.25
2021-06-10,VN:BSI,0.0
2021-06-10,VN:FTS,0.25
2021-06-10,VN:HDB,0.0
2021-06-10,VN:MBB,0.25
2021-06-10,VN:SSI,0.0
2021-06-10,VN:TPB,0.0
2021-06-10,VN:VCI,0.25
2021-06-22,VN:DPM,0.25
2021-06-22,VN:FTS,0.0
2021-06-22,VN:HPG,0.25
2021-06-22,VN:VCI,0.0
2021-07-02,VN:ACB,0.0
2021-07-02,VN:HDB,0.25
2021-07-02,VN:HPG,0.0
2021-07-02,VN:MBB,0.0
2021-07-02,VN:SHB,0.25
2021-07-02,VN:TCB,0.25
2021-07-07,VN:DPM,0.0
2021-07-07,VN:HDB,0.0
2021-07-12,VN:SHB,0.0
2021-07-14,VN:CII,0.25
2021-07-14,VN:DPM,0.0
2021-07-14,VN:FTS,0.25
2021-07-14,VN:HDB,0.0
2021-07-14,VN:HDC,0.25
2021-07-14,VN:SHB,0.0
2021-07-14,VN:SJS,0.25
2021-07-14,VN:TCB,0.0
