Order Id,Column,Index,Size,Price,Fees,Side
0,VN:ANV,2022-04-21,4076384.4092614893,21.144197499999997,137907.0032565532,Buy
1,VN:ANV,2022-04-25,4076384.4092614893,18.31755215,119471.01440015086,Sell
2,VN:ANV,2022-06-08,3290454.1419773293,25.373037,133582.10350590944,Buy
3,VN:ANV,2022-06-14,3290454.1419773293,24.3046986,127957.59388460894,Sell
4,VN:ANV,2025-07-07,6548867.562502358,22.8460036,239384.7230541706,Buy
5,VN:ANV,2025-07-11,6548867.562502358,21.82955005,228734.1315623468,Sell
6,VN:ANV,2025-09-15,10581196.855101053,28.267089199999997,478559.41655344144,Buy
7,VN:ANV,2025-09-19,10581196.855101053,26.6214025,450698.0806582069,Sell
8,VN:ANV,2025-10-07,9923249.648060672,29.186737649999998,463403.65458144265,Buy
9,VN:ANV,2025-10-17,9923249.648060672,30.929229449999998,491069.5444072005,Sell
0,VN:BCM,2022-02-11,881250.7475024768,74.96,105693.68965245783,Buy
1,VN:BCM,2022-03-07,881250.7475024768,72.591,102353.39681912366,Sell
2,VN:BCM,2022-08-25,1113785.278680859,85.858,153003.80233117938,Buy
3,VN:BCM,2022-09-08,1113785.278680859,83.394,148612.8152484985,Sell
4,VN:BCM,2025-06-13,3274563.7614673465,58.487,306431.05714711547,Buy
5,VN:BCM,2025-06-25,3274563.7614673465,60.748,318277.1190105894,Sell
0,VN:BID,2023-02-21,2644184.8519186107,33.5489175,141935.2631228275,Buy
1,VN:BID,2023-03-15,2644184.8519186107,33.9478776,143623.1419275314,Sell
0,VN:BMP,2023-05-15,1434846.5333542437,57.327,131608.7155481577,Buy
1,VN:BMP,2023-05-25,1434846.5333542437,57.82,132740.5224936678,Sell
2,VN:BMP,2023-12-27,1473615.5024201372,83.853,197707.32915909588,Buy
3,VN:BMP,2024-01-09,1473615.5024201372,82.983,195656.0563797284,Sell
4,VN:BMP,2024-10-18,1160630.0157697147,107.056,198803.85114918812,Buy
5,VN:BMP,2024-11-11,1160630.0157697147,110.891,205925.4769259511,Sell
6,VN:BMP,2024-12-25,1136587.4933083123,119.796,217853.81655738017,Buy
7,VN:BMP,2025-01-07,1136587.4933083123,117.531,213734.82348163082,Sell
8,VN:BMP,2026-04-14,2179048.6194388643,135.509,472449.1189944657,Buy
9,VN:BMP,2026-04-24,2179048.6194388643,139.008,484648.3047855323,Sell
0,VN:BSI,2023-04-06,5003000.289996258,18.855525,150934.7152688507,Buy
1,VN:BSI,2023-07-10,5003000.289996258,26.6103054,213010.18501294238,Sell
2,VN:BSI,2023-09-18,4034808.6291547287,35.3702196,228339.30761148434,Buy
3,VN:BSI,2023-09-25,4034808.6291547287,29.95725375,193394.85749804458,Sell
4,VN:BSI,2024-01-19,3004253.56883994,42.3120384,203385.74778894812,Buy
5,VN:BSI,2024-03-22,3004253.56883994,51.6504375,248273.61790643082,Sell
6,VN:BSI,2024-04-03,2655153.943609763,52.890048,224689.9512398541,Buy
7,VN:BSI,2024-04-09,2655153.943609763,50.3281863,213806.53172667496,Sell
8,VN:BSI,2025-03-11,601778.1929374334,51.982673600000005,50051.263012904674,Buy
9,VN:BSI,2025-03-21,601778.1929374334,50.8012492,48913.73430806438,Sell
10,VN:BSI,2025-11-20,5560794.552951027,41.0,364788.1226736009,Buy
11,VN:BSI,2025-12-10,5560794.552951027,39.2,348773.0343610884,Sell
0,VN:BVH,2026-02-10,4280515.494258451,74.9,512976.97683193284,Buy
1,VN:BVH,2026-03-11,4280515.494258451,74.5,510237.4469156074,Sell
0,VN:CII,2022-04-08,3685559.8170792456,23.714847000000002,139843.9794742117,Buy
1,VN:CII,2022-04-13,3685559.8170792456,22.474854999999998,132531.8759722921,Sell
2,VN:CII,2023-12-15,9057123.152570873,13.226850899999999,191675.5480351895,Buy
3,VN:CII,2023-12-27,9057123.152570873,13.306053599999998,192823.30580785443,Sell
4,VN:CII,2025-09-25,11278426.438307898,26.1,470987.0880637379,Buy
5,VN:CII,2025-10-03,11278426.438307898,24.5,442114.31638166966,Sell
0,VN:CMG,2024-09-16,2924496.455213417,41.265,193086.95395901063,Buy
1,VN:CMG,2024-09-26,2924496.455213417,42.165,197298.22885451798,Sell
2,VN:CMG,2024-10-08,3041309.584454476,40.692,198011.15137699444,Buy
3,VN:CMG,2024-10-18,3041309.584454476,42.657,207573.0287105193,Sell
4,VN:CMG,2024-12-03,2182733.8565142117,47.733,166701.49627679586,Buy
5,VN:CMG,2024-12-16,2182733.8565142117,45.604,159266.23166795858,Sell
6,VN:CMG,2025-01-07,3230066.644253716,43.767,226192.52291048385,Buy
7,VN:CMG,2025-01-13,3230066.644253716,40.722,210455.63821967973,Sell
8,VN:CMG,2025-04-02,5020551.699794869,34.95,280749.2510525291,Buy
9,VN:CMG,2025-04-04,5020551.699794869,30.269,243147.32704174545,Sell
0,VN:CTD,2022-12-29,3827624.0490389504,22.017,134836.47790030492,Buy
1,VN:CTD,2023-01-11,3827624.0490389504,23.407,143349.11378536755,Sell
2,VN:CTD,2023-04-28,2499458.047042919,39.067,156234.12403812114,Buy
3,VN:CTD,2023-06-28,2499458.047042919,45.887,183508.21024745348,Sell
4,VN:CTD,2023-11-23,2096969.3330500636,54.208,181876.02176956832,Buy
5,VN:CTD,2023-12-05,2096969.3330500636,56.857,190763.81659076395,Sell
6,VN:CTD,2023-12-27,1952183.040288508,61.536,192207.25690752268,Buy
7,VN:CTD,2024-01-16,1952183.040288508,60.035,187518.89411795294,Sell
8,VN:CTD,2025-02-27,1982172.130744765,83.879,266020.1858475843,Buy
9,VN:CTD,2025-03-14,1982172.130744765,74.38,235894.340935673,Sell
0,VN:CTR,2025-04-02,440214.7708972561,96.28644960000001,67818.74776188284,Buy
1,VN:CTR,2025-04-04,440214.7708972561,83.29852079999999,58670.78280008371,Sell
0,VN:CTS,2023-04-06,8183045.804673818,11.528005499999999,150934.7152688507,Buy
1,VN:CTS,2023-04-18,8183045.804673818,12.33147255,161454.40754516458,Sell
2,VN:CTS,2023-06-28,7029094.18954467,15.26587395,171688.42540842615,Buy
3,VN:CTS,2023-07-10,7029094.18954467,15.82480755,177974.5004805882,Sell
4,VN:CTS,2024-03-12,5239123.642695519,25.745878949999998,215817.3489742875,Buy
5,VN:CTS,2024-04-22,5239123.642695519,25.2917454,212010.53006428105,Sell
6,VN:CTS,2024-05-23,4343392.52026386,30.6016146,212663.71833862364,Buy
7,VN:CTS,2024-06-25,4343392.52026386,27.876813300000002,193727.90780161938,Sell
8,VN:CTS,2026-04-02,13356930.453442346,21.819,466295.78490185365,Buy
9,VN:CTS,2026-04-14,13356930.453442346,21.937,468817.57337146363,Sell
0,VN:DBC,2021-11-29,2971263.6848845216,28.33857,134722.18227609276,Buy
1,VN:DBC,2021-12-06,2971263.6848845216,26.342394,125232.31786419188,Sell
2,VN:DBC,2022-08-15,4515082.031302383,21.3811312,154460.098064062,Buy
3,VN:DBC,2022-08-25,4515082.031302383,20.8951964,150949.6412898788,Sell
4,VN:DBC,2023-07-10,6132947.302165359,18.1664856,178262.55816055337,Buy
5,VN:DBC,2023-07-20,6132947.302165359,18.577661199999998,182297.3074193313,Sell
6,VN:DBC,2026-03-11,14450213.379857793,21.289,492208.94823006814,Buy
7,VN:DBC,2026-03-23,14450213.379857793,19.394,448395.9012623392,Sell
8,VN:DBC,2026-04-02,14280422.656000515,20.408,466295.78490185365,Buy
9,VN:DBC,2026-04-14,14280422.656000515,21.333,487430.81043273443,Sell
0,VN:DCM,2021-03-09,2279967.50513998,12.4147464,45288.34940248728,Buy
1,VN:DCM,2021-03-31,2279967.50513998,12.895078849999999,47040.577206748516,Sell
2,VN:DCM,2021-04-12,2704453.6349093067,13.41235995,58036.96899118321,Buy
3,VN:DCM,2021-04-19,2704453.6349093067,12.8581302,55638.74713204341,Sell
4,VN:DCM,2021-08-17,2991206.805798962,18.2856165,87513.69683684767,Buy
5,VN:DCM,2021-10-26,2991206.805798962,24.535131,117423.44132539054,Sell
6,VN:DCM,2022-03-17,2727053.4081228664,31.479036,137352.01985315586,Buy
7,VN:DCM,2022-03-29,2727053.4081228664,36.879851,160917.31737698163,Sell
0,VN:DGC,2022-03-29,1011058.0853203072,89.124,144175.2652737393,Buy
1,VN:DGC,2022-04-06,1011058.0853203072,84.561,136793.7324044328,Sell
2,VN:DGC,2022-05-05,880921.1121590936,92.361,130180.40774420169,Buy
3,VN:DGC,2022-05-10,880921.1121590936,82.688,116546.56787553783,Sell
4,VN:DGC,2022-09-08,1170941.6766047997,81.968,153567.59575670757,Buy
5,VN:DGC,2022-09-27,1170941.6766047997,70.029,131199.79947353204,Sell
6,VN:DGC,2023-02-09,1824667.8358888053,48.896,142750.33360579045,Buy
7,VN:DGC,2023-02-14,1824667.8358888053,46.947,137060.2894263548,Sell
8,VN:DGC,2023-09-28,1516724.4937083859,84.776,205730.9370857954,Buy
9,VN:DGC,2023-10-20,1516724.4937083859,82.068,199159.2731994557,Sell
10,VN:DGC,2026-03-23,5455187.628988214,51.7,451253.1206699051,Buy
11,VN:DGC,2026-03-31,5455187.628988214,50.2,438160.67036033334,Sell
12,VN:DGC,2026-05-21,6687642.155772735,48.0,513610.9175633461,Buy
