date,symbol,open,high,low,close,volume
2021-01-04,VN:E1VFVN30,18.5,18.5,18.14,18.33,606600.0
2021-01-05,VN:E1VFVN30,18.33,18.55,18.29,18.51,573800.0
2021-01-06,VN:E1VFVN30,18.6,19.1,18.55,18.7,905000.0
2021-01-07,VN:E1VFVN30,18.7,18.98,18.7,18.98,858500.0
2021-01-08,VN:E1VFVN30,18.98,19.41,18.98,19.22,355500.0
2021-01-11,VN:E1VFVN30,19.8,19.8,19.43,19.55,892000.0
2021-01-12,VN:E1VFVN30,19.99,19.99,19.44,19.8,617500.0
2021-01-13,VN:E1VFVN30,19.8,19.8,19.53,19.59,570800.0
2021-01-14,VN:E1VFVN30,19.59,20.5,19.38,19.58,417500.0
2021-01-15,VN:E1VFVN30,19.58,19.88,19.58,19.8,1568800.0
2021-01-18,VN:E1VFVN30,20.1,20.1,19.69,19.69,248000.0
2021-01-19,VN:E1VFVN30,19.7,19.7,18.41,18.7,158300.0
2021-01-20,VN:E1VFVN30,18.7,19.5,18.0,18.85,350800.0
2021-01-21,VN:E1VFVN30,19.29,19.3,18.79,19.3,2093900.0
2021-01-22,VN:E1VFVN30,19.3,19.58,19.26,19.39,1094900.0
2021-01-25,VN:E1VFVN30,19.39,19.54,19.26,19.36,739800.0
2021-01-26,VN:E1VFVN30,19.36,19.36,18.59,18.7,772500.0
2021-01-27,VN:E1VFVN30,18.98,18.99,18.07,18.35,2449500.0
2021-01-28,VN:E1VFVN30,17.52,17.7,17.07,17.07,609600.0
2021-01-29,VN:E1VFVN30,16.0,17.79,16.0,17.5,1435100.0
2021-02-01,VN:E1VFVN30,17.5,18.0,17.31,17.31,1177800.0
2021-02-02,VN:E1VFVN30,17.3,18.24,17.29,18.2,1491400.0
2021-02-03,VN:E1VFVN30,18.25,18.85,18.25,18.85,788800.0
2021-02-04,VN:E1VFVN30,18.88,19.0,18.58,18.75,2113200.0
2021-02-05,VN:E1VFVN30,18.51,19.49,18.51,19.49,509200.0
2021-02-08,VN:E1VFVN30,19.49,19.49,18.17,18.59,1286100.0
2021-02-09,VN:E1VFVN30,18.59,19.47,18.35,19.47,1593600.0
2021-02-17,VN:E1VFVN30,19.27,19.71,19.1,19.6,878000.0
2021-02-18,VN:E1VFVN30,19.8,19.85,18.6,19.76,803300.0
2021-02-19,VN:E1VFVN30,19.49,19.95,19.49,19.85,442800.0
2021-02-22,VN:E1VFVN30,19.85,20.0,19.7,19.81,438100.0
2021-02-23,VN:E1VFVN30,19.8,20.0,19.7,19.9,894400.0
2021-02-24,VN:E1VFVN30,20.0,20.0,19.48,19.55,704200.0
2021-02-25,VN:E1VFVN30,19.85,19.85,19.44,19.72,222600.0
2021-02-26,VN:E1VFVN30,19.69,19.72,19.4,19.7,475100.0
2021-03-01,VN:E1VFVN30,19.72,20.03,19.72,20.03,385100.0
2021-03-02,VN:E1VFVN30,20.04,20.21,19.97,20.03,340400.0
2021-03-03,VN:E1VFVN30,20.03,20.14,19.92,20.06,588700.0
2021-03-04,VN:E1VFVN30,20.2,20.2,19.57,20.1,202500.0
2021-03-05,VN:E1VFVN30,19.2,19.74,19.0,19.74,681600.0
2021-03-08,VN:E1VFVN30,19.8,19.8,19.5,19.66,314100.0
2021-03-09,VN:E1VFVN30,19.45,19.65,19.33,19.65,146200.0
2021-03-10,VN:E1VFVN30,19.37,19.72,19.37,19.72,65700.0
