date,symbol,open,high,low,close,volume
2024-08-16,VN:FUEABVND,10.0,10.0,10.0,10.0,1400.0
2024-08-22,VN:FUEABVND,10.0,10.0,10.0,10.0,200.0
2024-09-04,VN:FUEABVND,10.39,10.39,10.2,10.2,200.0
2024-09-30,VN:FUEABVND,9.5,9.5,9.5,9.5,100.0
2024-10-02,VN:FUEABVND,10.1,10.1,10.1,10.1,100.0
2024-10-15,VN:FUEABVND,10.3,10.3,10.3,10.3,100.0
2024-10-28,VN:FUEABVND,10.1,10.1,10.1,10.1,100.0
2024-11-11,VN:FUEABVND,10.1,10.1,10.1,10.1,100.0
2024-11-19,VN:FUEABVND,9.8,9.8,9.8,9.8,100.0
2024-11-27,VN:FUEABVND,10.0,10.0,10.0,10.0,100.0
2024-12-09,VN:FUEABVND,10.2,10.2,10.2,10.2,100.0
2024-12-23,VN:FUEABVND,10.2,10.2,10.2,10.2,100.0
2024-12-31,VN:FUEABVND,9.6,9.6,9.6,9.6,100.0
2025-01-02,VN:FUEABVND,10.25,10.25,10.25,10.25,100.0
2025-01-13,VN:FUEABVND,9.85,9.85,9.85,9.85,200.0
2025-01-24,VN:FUEABVND,10.1,10.1,10.1,10.1,100.0
2025-02-24,VN:FUEABVND,10.15,10.15,10.15,10.15,100.0
2025-03-06,VN:FUEABVND,10.2,10.2,10.2,10.2,100.0
2025-03-24,VN:FUEABVND,10.0,10.0,10.0,10.0,100.0
2025-03-31,VN:FUEABVND,9.4,9.4,9.4,9.4,100.0
2025-04-09,VN:FUEABVND,8.8,8.8,8.8,8.8,100.0
2025-04-10,VN:FUEABVND,8.6,8.6,8.6,8.6,100.0
2025-04-14,VN:FUEABVND,9.0,9.0,9.0,9.0,100.0
2025-04-29,VN:FUEABVND,9.1,9.1,9.1,9.1,100.0
2025-05-13,VN:FUEABVND,9.7,9.7,9.7,9.7,100.0
2025-06-16,VN:FUEABVND,10.0,10.0,10.0,10.0,100.0
2025-06-30,VN:FUEABVND,9.9,10.25,9.9,10.25,200.0
2025-07-07,VN:FUEABVND,10.5,10.5,10.5,10.5,100.0
2025-07-17,VN:FUEABVND,10.8,10.8,10.8,10.8,100.0
2025-07-25,VN:FUEABVND,11.1,11.1,11.1,11.1,100.0
2025-07-30,VN:FUEABVND,10.75,10.75,10.75,10.75,100.0
2025-08-07,VN:FUEABVND,11.4,11.4,11.4,11.4,100.0
2025-08-14,VN:FUEABVND,11.8,11.8,11.8,11.8,100.0
2025-08-21,VN:FUEABVND,12.1,12.1,12.1,12.1,100.0
2025-09-24,VN:FUEABVND,11.3,11.5,11.3,11.5,200.0
2025-09-29,VN:FUEABVND,10.7,10.7,10.7,10.7,100.0
2025-09-30,VN:FUEABVND,10.0,10.0,10.0,10.0,100.0
2025-10-01,VN:FUEABVND,10.68,10.68,10.68,10.68,100.0
2025-10-02,VN:FUEABVND,11.41,11.41,11.41,11.41,100.0
2025-10-06,VN:FUEABVND,12.09,12.09,12.09,12.09,100.0
2025-10-20,VN:FUEABVND,11.7,11.7,11.7,11.7,100.0
2025-11-28,VN:FUEABVND,11.5,11.5,11.5,11.5,100.0
2025-12-30,VN:FUEABVND,10.96,10.96,10.96,10.96,100.0
2025-12-31,VN:FUEABVND,10.81,10.81,10.81,10.81,100.0
2026-01-05,VN:FUEABVND,11.55,11.55,11.55,11.55,100.0
2026-01-07,VN:FUEABVND,11.9,11.9,11.9,11.9,100.0
2026-02-25,VN:FUEABVND,12.25,12.25,12.25,12.25,100.0
2026-03-13,VN:FUEABVND,11.5,11.5,11.5,11.5,100.0
2026-03-27,VN:FUEABVND,10.8,10.8,10.8,10.8,100.0
2026-03-30,VN:FUEABVND,10.5,10.5,10.5,10.5,100.0
2026-04-01,VN:FUEABVND,11.2,11.2,11.2,11.2,100.0
2026-05-21,VN:FUEABVND,11.0,11.0,11.0,11.0,100.0
