date,symbol,open,high,low,close,volume
2022-09-29,VN:FUEDCMID,10.0,10.0,9.5,10.0,98900.0
2022-09-30,VN:FUEDCMID,9.72,10.0,9.39,10.0,144900.0
2022-10-03,VN:FUEDCMID,10.0,10.0,9.3,9.5,59700.0
2022-10-04,VN:FUEDCMID,9.37,9.37,8.84,8.84,76500.0
2022-10-05,VN:FUEDCMID,8.97,9.12,8.95,9.12,13400.0
2022-10-06,VN:FUEDCMID,9.13,9.13,8.78,8.78,48400.0
2022-10-07,VN:FUEDCMID,8.49,8.49,8.22,8.22,42700.0
2022-10-11,VN:FUEDCMID,8.38,8.38,8.1,8.1,19200.0
2022-10-12,VN:FUEDCMID,8.1,8.35,8.05,8.25,11400.0
2022-10-13,VN:FUEDCMID,8.2,8.5,8.16,8.5,417100.0
2022-10-14,VN:FUEDCMID,8.77,8.77,8.45,8.6,6700.0
2022-10-17,VN:FUEDCMID,8.53,8.56,8.48,8.51,10800.0
2022-10-18,VN:FUEDCMID,8.8,8.88,8.8,8.8,336000.0
2022-10-19,VN:FUEDCMID,8.77,8.79,8.71,8.75,182600.0
2022-10-20,VN:FUEDCMID,8.7,8.78,8.7,8.72,91300.0
2022-10-21,VN:FUEDCMID,8.62,8.62,8.25,8.4,348200.0
2022-10-24,VN:FUEDCMID,8.98,8.98,7.82,7.84,366700.0
2022-10-25,VN:FUEDCMID,8.38,8.38,7.79,7.86,344900.0
2022-10-26,VN:FUEDCMID,8.02,8.04,7.8,7.86,226000.0
2022-10-27,VN:FUEDCMID,7.93,8.2,7.73,8.2,238400.0
2022-10-28,VN:FUEDCMID,8.22,8.37,8.22,8.22,231600.0
2022-10-31,VN:FUEDCMID,8.22,8.45,8.02,8.45,217100.0
2022-11-01,VN:FUEDCMID,8.43,8.43,8.14,8.16,103800.0
2022-11-02,VN:FUEDCMID,8.07,8.28,8.06,8.15,104400.0
2022-11-03,VN:FUEDCMID,8.02,8.25,8.02,8.25,101800.0
2022-11-04,VN:FUEDCMID,8.0,8.0,7.8,7.99,133300.0
2022-11-07,VN:FUEDCMID,7.9,7.92,7.51,7.76,114200.0
2022-11-08,VN:FUEDCMID,7.5,7.82,7.45,7.82,116800.0
2022-11-09,VN:FUEDCMID,7.82,7.82,7.59,7.79,117700.0
2022-11-10,VN:FUEDCMID,7.48,7.48,7.25,7.25,133100.0
2022-11-11,VN:FUEDCMID,7.33,7.35,7.24,7.24,3200.0
2022-11-14,VN:FUEDCMID,7.01,7.2,6.9,6.91,13500.0
2022-11-15,VN:FUEDCMID,6.91,6.91,6.5,6.59,20500.0
2022-11-16,VN:FUEDCMID,6.55,6.93,6.35,6.91,8400.0
2022-11-17,VN:FUEDCMID,6.99,7.05,6.94,7.0,25700.0
2022-11-18,VN:FUEDCMID,7.14,7.2,7.0,7.2,22900.0
2022-11-21,VN:FUEDCMID,7.48,7.48,7.1,7.12,3500.0
2022-11-22,VN:FUEDCMID,7.1,7.44,7.1,7.18,8000.0
2022-11-23,VN:FUEDCMID,7.08,7.17,7.07,7.07,700.0
2022-11-24,VN:FUEDCMID,7.0,7.0,7.0,7.0,200.0
2022-11-25,VN:FUEDCMID,7.21,7.35,7.18,7.35,8100.0
2022-11-28,VN:FUEDCMID,7.86,7.86,7.35,7.58,17500.0
