date,symbol,open,high,low,close,volume
2022-11-11,VN:FUEKIVFS,8.87,8.87,7.92,7.92,2700.0
2022-11-15,VN:FUEKIVFS,7.48,7.48,7.48,7.48,25000.0
2022-11-17,VN:FUEKIVFS,7.57,7.64,7.57,7.64,50600.0
2022-11-21,VN:FUEKIVFS,7.55,7.55,7.5,7.55,50400.0
2022-11-22,VN:FUEKIVFS,7.35,7.35,7.35,7.35,25000.0
2022-11-23,VN:FUEKIVFS,7.43,7.43,7.36,7.36,74100.0
2022-11-24,VN:FUEKIVFS,7.39,7.39,7.33,7.33,50800.0
2022-11-25,VN:FUEKIVFS,7.51,7.53,7.51,7.51,62300.0
2022-11-28,VN:FUEKIVFS,7.83,7.9,7.83,7.9,57800.0
2022-11-29,VN:FUEKIVFS,8.45,8.45,7.94,7.94,52400.0
2022-11-30,VN:FUEKIVFS,8.09,8.23,8.07,8.23,52500.0
2022-12-01,VN:FUEKIVFS,8.38,8.41,8.26,8.26,51200.0
2022-12-02,VN:FUEKIVFS,8.21,8.73,8.21,8.73,53400.0
2022-12-05,VN:FUEKIVFS,8.83,9.02,8.81,8.82,53200.0
2022-12-06,VN:FUEKIVFS,8.84,8.85,8.59,8.59,54400.0
2022-12-07,VN:FUEKIVFS,8.3,8.48,8.3,8.34,52000.0
2022-12-08,VN:FUEKIVFS,8.56,8.65,8.45,8.45,52700.0
2022-12-09,VN:FUEKIVFS,8.52,8.66,8.52,8.6,53300.0
2022-12-12,VN:FUEKIVFS,8.59,8.7,8.49,8.49,56800.0
2022-12-13,VN:FUEKIVFS,8.44,8.52,8.42,8.42,51700.0
2022-12-14,VN:FUEKIVFS,8.73,8.73,8.72,8.72,50600.0
2022-12-15,VN:FUEKIVFS,8.81,8.81,8.81,8.81,50000.0
2022-12-16,VN:FUEKIVFS,8.82,8.82,8.8,8.8,50900.0
2022-12-19,VN:FUEKIVFS,8.97,8.97,8.81,8.81,50300.0
2022-12-20,VN:FUEKIVFS,8.49,8.65,8.49,8.65,52000.0
2022-12-21,VN:FUEKIVFS,8.65,8.65,8.48,8.48,50400.0
2022-12-22,VN:FUEKIVFS,8.77,8.77,8.65,8.65,51300.0
2022-12-23,VN:FUEKIVFS,8.58,8.61,8.58,8.61,53200.0
2022-12-26,VN:FUEKIVFS,8.55,8.55,8.48,8.48,50200.0
2022-12-27,VN:FUEKIVFS,8.41,8.46,8.41,8.46,50100.0
2022-12-28,VN:FUEKIVFS,8.52,8.52,8.52,8.52,100.0
2022-12-29,VN:FUEKIVFS,8.45,8.48,8.45,8.48,52100.0
2022-12-30,VN:FUEKIVFS,8.48,8.5,8.42,8.42,50500.0
2023-01-03,VN:FUEKIVFS,8.6,8.6,8.57,8.57,50600.0
2023-01-04,VN:FUEKIVFS,8.8,8.81,8.77,8.77,50900.0
2023-01-05,VN:FUEKIVFS,8.8,8.81,8.79,8.81,50900.0
2023-01-06,VN:FUEKIVFS,8.9,8.98,8.9,8.97,51200.0
2023-01-09,VN:FUEKIVFS,9.0,9.0,9.0,9.0,50000.0
2023-01-10,VN:FUEKIVFS,8.92,8.92,8.92,8.92,50000.0
2023-01-11,VN:FUEKIVFS,9.04,9.06,9.04,9.06,51000.0
2023-01-12,VN:FUEKIVFS,8.99,8.99,8.99,8.99,50000.0
2023-01-13,VN:FUEKIVFS,9.01,9.01,9.01,9.01,50000.0
2023-01-16,VN:FUEKIVFS,9.04,9.04,9.04,9.04,50000.0
2023-01-17,VN:FUEKIVFS,9.14,9.34,9.14,9.34,51200.0
2023-01-18,VN:FUEKIVFS,9.42,9.47,9.41,9.46,52100.0
2023-01-19,VN:FUEKIVFS,9.52,9.52,9.52,9.52,50000.0
2023-01-27,VN:FUEKIVFS,9.61,9.65,9.53,9.53,56400.0
2023-01-30,VN:FUEKIVFS,9.46,9.46,9.46,9.46,50000.0
2023-01-31,VN:FUEKIVFS,9.35,9.35,9.27,9.27,51100.0
2023-02-01,VN:FUEKIVFS,9.52,9.52,9.27,9.27,52700.0
2023-02-02,VN:FUEKIVFS,9.27,9.27,9.1,9.13,57500.0
2023-02-03,VN:FUEKIVFS,9.18,9.18,9.12,9.12,50100.0
2023-02-06,VN:FUEKIVFS,9.03,9.13,9.03,9.13,50100.0
2023-02-07,VN:FUEKIVFS,9.12,9.12,9.0,9.0,51400.0
2023-02-08,VN:FUEKIVFS,9.0,9.08,9.0,9.08,52400.0
2023-02-09,VN:FUEKIVFS,9.0,9.05,8.98,8.98,52100.0
2023-02-10,VN:FUEKIVFS,8.98,8.98,8.9,8.9,51000.0
2023-02-13,VN:FUEKIVFS,8.81,8.82,8.74,8.74,54200.0
2023-02-14,VN:FUEKIVFS,8.81,8.81,8.81,8.81,50000.0
2023-02-15,VN:FUEKIVFS,8.86,8.86,8.82,8.82,53100.0
2023-02-16,VN:FUEKIVFS,8.82,8.88,8.82,8.82,51800.0
2023-02-17,VN:FUEKIVFS,8.9,8.9,8.84,8.84,53000.0
2023-02-20,VN:FUEKIVFS,9.07,9.07,9.07,9.07,50700.0
2023-02-21,VN:FUEKIVFS,9.14,9.17,9.14,9.17,50300.0
2023-02-22,VN:FUEKIVFS,9.01,9.01,8.98,8.98,50400.0
2023-02-23,VN:FUEKIVFS,8.79,8.8,8.79,8.8,50100.0
2023-02-24,VN:FUEKIVFS,8.79,8.79,8.72,8.72,50600.0
2023-02-27,VN:FUEKIVFS,8.58,8.58,8.58,8.58,50100.0
2023-02-28,VN:FUEKIVFS,8.68,8.68,8.67,8.67,53600.0
2023-03-01,VN:FUEKIVFS,8.51,8.79,8.51,8.79,54800.0
2023-03-02,VN:FUEKIVFS,8.77,8.77,8.71,8.71,50400.0
2023-03-03,VN:FUEKIVFS,8.76,8.76,8.65,8.65,50500.0
2023-03-06,VN:FUEKIVFS,8.82,8.82,8.82,8.82,50200.0
2023-03-07,VN:FUEKIVFS,8.75,8.76,8.75,8.76,52900.0
2023-03-08,VN:FUEKIVFS,8.72,8.72,8.7,8.7,51900.0
2023-03-09,VN:FUEKIVFS,8.97,9.09,8.97,9.09,51100.0
2023-03-10,VN:FUEKIVFS,9.02,9.02,8.93,8.95,53300.0
2023-03-13,VN:FUEKIVFS,9.0,9.04,9.0,9.04,54200.0
2023-03-14,VN:FUEKIVFS,8.93,8.93,8.93,8.93,50000.0
2023-03-15,VN:FUEKIVFS,9.12,9.12,9.12,9.12,50000.0
2023-03-16,VN:FUEKIVFS,9.06,9.06,9.06,9.06,50000.0
2023-03-17,VN:FUEKIVFS,9.01,9.01,9.01,9.01,50000.0
2023-03-20,VN:FUEKIVFS,8.95,8.95,8.83,8.83,51000.0
2023-03-21,VN:FUEKIVFS,8.71,8.82,8.71,8.82,50500.0
2023-03-22,VN:FUEKIVFS,8.85,8.85,8.85,8.85,50000.0
2023-03-23,VN:FUEKIVFS,8.9,8.9,8.9,8.9,50000.0
2023-03-24,VN:FUEKIVFS,9.06,9.06,9.06,9.06,100.0
2023-03-27,VN:FUEKIVFS,9.13,9.13,9.08,9.09,51000.0
2023-03-28,VN:FUEKIVFS,9.22,9.22,9.21,9.21,52000.0
2023-03-29,VN:FUEKIVFS,9.17,9.17,9.17,9.17,50000.0
2023-03-30,VN:FUEKIVFS,9.3,9.3,9.3,9.3,50000.0
2023-03-31,VN:FUEKIVFS,9.3,9.35,9.3,9.35,52000.0
2023-04-03,VN:FUEKIVFS,9.37,9.41,9.37,9.41,50100.0
2023-04-04,VN:FUEKIVFS,9.41,9.44,9.39,9.44,51200.0
2023-04-05,VN:FUEKIVFS,9.4,9.48,9.4,9.48,50800.0
2023-04-06,VN:FUEKIVFS,9.5,9.5,9.44,9.45,51100.0
2023-04-07,VN:FUEKIVFS,9.36,9.36,9.36,9.36,50000.0
2023-04-10,VN:FUEKIVFS,9.45,9.45,9.45,9.45,50100.0
2023-04-11,VN:FUEKIVFS,9.37,9.37,9.37,9.37,50000.0
2023-04-12,VN:FUEKIVFS,9.42,9.47,9.39,9.47,51800.0
2023-04-13,VN:FUEKIVFS,9.43,9.43,9.43,9.43,50000.0
2023-04-14,VN:FUEKIVFS,9.4,9.4,9.35,9.35,51100.0
2023-04-17,VN:FUEKIVFS,9.4,9.4,9.4,9.4,50800.0
2023-04-18,VN:FUEKIVFS,9.3,9.3,9.3,9.3,50000.0
2023-04-19,VN:FUEKIVFS,9.28,9.29,9.28,9.29,50900.0
2023-04-20,VN:FUEKIVFS,9.18,9.2,9.18,9.2,50100.0
