date,symbol,open,high,low,close,volume
2024-04-24,VN:FUEKIVND,11.04,11.22,11.04,11.22,2100.0
2024-04-25,VN:FUEKIVND,11.2,11.2,11.2,11.2,100.0
2024-04-26,VN:FUEKIVND,11.25,11.37,11.25,11.35,4000.0
2024-05-02,VN:FUEKIVND,11.37,11.37,11.37,11.37,17400.0
2024-05-03,VN:FUEKIVND,11.45,11.45,11.45,11.45,1100.0
2024-05-06,VN:FUEKIVND,11.56,11.73,11.56,11.62,4100.0
2024-05-08,VN:FUEKIVND,11.7,11.7,11.7,11.7,5200.0
2024-05-09,VN:FUEKIVND,11.77,11.77,11.77,11.77,1000.0
2024-05-10,VN:FUEKIVND,11.82,11.82,11.7,11.79,15600.0
2024-05-13,VN:FUEKIVND,11.84,11.84,11.84,11.84,100.0
2024-05-15,VN:FUEKIVND,11.7,11.92,11.7,11.92,10300.0
2024-05-16,VN:FUEKIVND,11.96,12.2,11.96,12.2,1300.0
2024-05-17,VN:FUEKIVND,12.23,12.23,12.23,12.23,100.0
2024-05-20,VN:FUEKIVND,12.37,12.37,12.37,12.37,500.0
2024-05-21,VN:FUEKIVND,12.36,12.36,12.36,12.36,100.0
2024-05-22,VN:FUEKIVND,11.98,12.13,11.98,12.13,9900.0
2024-05-24,VN:FUEKIVND,11.95,11.95,11.8,11.91,10800.0
2024-05-27,VN:FUEKIVND,11.93,11.93,11.93,11.93,100.0
2024-05-30,VN:FUEKIVND,11.9,11.9,11.81,11.81,4500.0
2024-05-31,VN:FUEKIVND,11.75,11.91,11.75,11.91,400.0
2024-06-03,VN:FUEKIVND,11.92,11.92,11.92,11.92,800.0
2024-06-04,VN:FUEKIVND,11.98,12.14,11.98,12.14,1100.0
2024-06-05,VN:FUEKIVND,12.23,12.23,12.23,12.23,100.0
2024-06-06,VN:FUEKIVND,12.23,12.23,12.23,12.23,100.0
2024-06-10,VN:FUEKIVND,12.24,12.24,12.24,12.24,200.0
2024-06-11,VN:FUEKIVND,12.28,12.28,12.28,12.28,100.0
2024-06-12,VN:FUEKIVND,12.22,12.22,12.22,12.22,4000.0
2024-06-13,VN:FUEKIVND,12.47,12.47,12.47,12.47,5800.0
2024-06-14,VN:FUEKIVND,12.35,12.35,12.35,12.35,100.0
2024-06-17,VN:FUEKIVND,12.28,12.28,12.28,12.28,1000.0
2024-06-18,VN:FUEKIVND,12.3,12.3,12.3,12.3,100.0
