date,symbol,open,high,low,close,volume
2021-01-04,VN:FUESSV30,13.43,13.43,13.41,13.41,800.0
2021-01-05,VN:FUESSV30,13.58,13.58,13.58,13.58,1700.0
2021-01-06,VN:FUESSV30,13.6,13.8,13.6,13.8,15800.0
2021-01-07,VN:FUESSV30,13.92,13.96,13.92,13.96,3300.0
2021-01-08,VN:FUESSV30,14.04,14.25,14.04,14.17,102100.0
2021-01-11,VN:FUESSV30,14.35,14.39,14.35,14.38,47500.0
2021-01-12,VN:FUESSV30,14.35,14.46,14.24,14.46,19400.0
2021-01-13,VN:FUESSV30,14.8,14.8,14.5,14.5,6700.0
2021-01-14,VN:FUESSV30,14.44,14.44,14.35,14.35,500.0
2021-01-15,VN:FUESSV30,14.53,14.54,14.53,14.54,1600.0
2021-01-18,VN:FUESSV30,14.6,14.61,14.58,14.59,39600.0
2021-01-19,VN:FUESSV30,14.91,14.91,13.96,13.96,15800.0
2021-01-20,VN:FUESSV30,13.71,13.82,13.5,13.8,2100.0
2021-01-21,VN:FUESSV30,13.8,14.23,13.8,14.23,42900.0
2021-01-22,VN:FUESSV30,14.23,14.34,14.23,14.26,3200.0
2021-01-25,VN:FUESSV30,14.23,14.34,14.23,14.34,21400.0
2021-01-26,VN:FUESSV30,14.23,14.23,13.81,13.81,23000.0
2021-01-27,VN:FUESSV30,13.81,13.81,13.52,13.52,300.0
2021-01-28,VN:FUESSV30,13.56,13.56,12.7,12.9,700.0
2021-01-29,VN:FUESSV30,12.38,13.17,12.38,13.17,400.0
2021-02-01,VN:FUESSV30,13.97,13.97,13.05,13.2,5300.0
2021-02-02,VN:FUESSV30,12.74,13.12,12.74,13.12,700.0
2021-02-03,VN:FUESSV30,13.5,13.81,13.5,13.81,500.0
2021-02-04,VN:FUESSV30,13.6,13.89,13.6,13.85,92800.0
2021-02-05,VN:FUESSV30,14.13,14.19,13.85,14.19,24900.0
2021-02-08,VN:FUESSV30,13.5,14.21,13.5,13.56,62400.0
2021-02-09,VN:FUESSV30,13.91,13.97,13.91,13.97,10700.0
2021-02-17,VN:FUESSV30,14.12,14.5,14.12,14.5,10900.0
2021-02-18,VN:FUESSV30,14.61,14.76,14.61,14.75,9500.0
2021-02-19,VN:FUESSV30,14.64,14.8,14.64,14.75,4200.0
2021-02-22,VN:FUESSV30,14.8,14.87,14.69,14.69,12300.0
2021-02-23,VN:FUESSV30,14.76,14.81,14.76,14.76,3800.0
2021-02-24,VN:FUESSV30,14.88,14.88,14.5,14.5,44200.0
2021-02-25,VN:FUESSV30,14.67,14.67,14.5,14.5,3200.0
2021-02-26,VN:FUESSV30,14.5,14.51,14.47,14.47,1500.0
2021-03-01,VN:FUESSV30,14.54,14.85,14.54,14.84,28000.0
2021-03-02,VN:FUESSV30,15.0,15.1,14.87,14.92,49800.0
2021-03-03,VN:FUESSV30,14.92,14.95,14.9,14.9,1400.0
2021-03-04,VN:FUESSV30,14.52,15.0,14.52,14.59,1200.0
2021-03-05,VN:FUESSV30,14.52,14.54,14.48,14.54,1900.0
2021-03-08,VN:FUESSV30,14.7,14.7,14.64,14.64,1200.0
2021-03-09,VN:FUESSV30,14.17,14.54,14.17,14.54,2400.0
2021-03-10,VN:FUESSV30,14.54,14.65,14.48,14.65,11800.0
2021-03-11,VN:FUESSV30,14.8,14.84,14.76,14.78,2800.0
2021-03-12,VN:FUESSV30,14.31,14.91,14.31,14.84,33600.0
2021-03-15,VN:FUESSV30,14.81,14.9,14.81,14.81,118500.0
2021-03-16,VN:FUESSV30,14.86,14.86,14.67,14.73,4200.0
2021-03-17,VN:FUESSV30,14.78,14.81,14.78,14.81,500.0
2021-03-18,VN:FUESSV30,15.03,15.07,15.0,15.07,24500.0
2021-03-19,VN:FUESSV30,15.0,15.11,14.97,14.97,45100.0
2021-03-22,VN:FUESSV30,15.01,15.01,14.88,15.0,3600.0
2021-03-23,VN:FUESSV30,14.9,14.92,14.8,14.85,3800.0
2021-03-24,VN:FUESSV30,14.5,14.67,14.5,14.5,7700.0
2021-03-25,VN:FUESSV30,14.55,14.63,14.5,14.58,5700.0
2021-03-26,VN:FUESSV30,14.21,14.58,14.21,14.3,1700.0
2021-03-29,VN:FUESSV30,14.3,14.58,14.3,14.58,600.0
2021-03-30,VN:FUESSV30,15.59,15.59,14.76,14.83,3900.0
2021-03-31,VN:FUESSV30,14.93,15.0,14.92,15.0,2500.0
2021-04-01,VN:FUESSV30,14.98,15.2,14.98,15.2,2300.0
2021-04-02,VN:FUESSV30,15.46,15.46,15.34,15.34,1500.0
2021-04-05,VN:FUESSV30,15.37,15.6,15.37,15.6,2500.0
2021-04-06,VN:FUESSV30,15.6,15.74,15.55,15.64,27400.0
2021-04-07,VN:FUESSV30,15.7,15.7,15.6,15.6,5600.0
2021-04-08,VN:FUESSV30,15.6,15.69,15.6,15.69,400.0
2021-04-09,VN:FUESSV30,15.58,15.6,15.51,15.6,24800.0
